date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,2.23699998855591,,,,,,,
2018,1.96599996089935,,,75.8617304903457,13.654066582652,10.4842029270023,,
2017,2.0,,,76.9215448492977,13.2804356031707,9.79801954753166,,
2016,1.89999997615814,,96.53849,77.906650392601,12.9292339222892,9.16411568510988,,
2015,1.80999994277954,,,78.7935258310704,12.6154944899806,8.59097967894899,,
2014,1.70000004768372,,,79.4023462914769,12.4991528410323,8.09850086749078,,
2013,1.82000005245209,,,79.8448833680885,12.4865771114637,7.66853952044782,,
2012,1.97000002861023,,,80.1134318726187,12.5833497329085,7.30321839447272,,
2011,2.55999994277954,,95.64004,80.2313591076771,12.7581549365324,7.01048595579051,,
2010,2.83999991416931,,,80.2331392983154,12.9673980294267,6.79946267225795,,
2009,3.57999992370605,,,79.7378419452888,13.4821428571429,6.78001519756839,,
2008,3.0,,,79.0421532531505,14.1202432269296,6.83760351991988,,
2007,3.20000004768372,,,78.1620222353923,14.9023509893739,6.93562677523384,,
2006,3.79999995231628,,93.49975,77.1028292888402,15.8681973839558,7.02897332720398,,
2005,4.09999990463257,,,75.886699609409,17.0163899117339,7.09691047885714,,
2004,4.90000009536743,,,74.6798643757276,18.1907433677483,7.12939225652411,,
2003,6.0,,,73.3658578987972,19.4586724327144,7.17546966848848,,
2002,6.30000019073486,,,72.0304976817038,20.7354379585625,7.23406435973361,,
2001,6.40000009536743,,91.29537,70.7990628810471,21.8948800971827,7.3060570217702,,
2000,6.80000019073486,,,69.7675451515024,22.8450472436896,7.38740760480806,,
1999,6.30000019073486,,,69.0582552350358,23.5800689798582,7.36167578510599,,
1998,4.59999990463257,,,68.4865825553689,24.1887523924847,7.3246650521464,,
1997,3.20000004768372,,,68.0238294564372,24.6955291116028,7.28064143195998,,
1996,4.19999980926514,,,67.6528384001952,25.116365383491,7.23079621631378,,
1995,3.59999990463257,,,67.3749004573127,25.4533569555372,7.17174258715011,,
1994,2.5,,,67.1949030963637,25.7582094134961,7.04688749014024,,
1993,2.09999990463257,,,67.2495063465866,25.8358342405031,6.91465941291035,,
1992,2.20000004768372,,,67.48925646751,25.7298287934951,6.78091473899495,,
1991,3.00999999046326,,,67.7608546882865,25.5900301448423,6.64911516687122,,
1990,,,,67.9643870997766,25.5095867460908,6.52602615413254,,
1989,,,,68.2165254835734,25.1358993698596,6.64757514656698,,
1988,,,,68.2947130837072,24.9188678598261,6.78641905646672,,
1987,,,,68.2519955869946,24.8043351288208,6.94366928418457,,
1986,,,,68.4029622011496,24.4713134026408,7.12572439620963,,
1985,,,,69.0550011816453,23.6039830266346,7.34101579172002,,
1984,,,,68.9439463367633,23.628079053244,7.42797460999272,,
1983,,,,69.0952780620164,23.395073793455,7.50964814452863,,
1982,,,,69.3889901974056,23.0372912668519,7.57371853574244,,
1981,,,90.37818,69.3930715403927,23.0029625307655,7.60396592884174,,
1980,,,,68.7576395277039,23.6631089044865,7.5792515678096,,
1979,,,,69.243119266055,23.541454298335,7.21542643560992,,
1978,,,,69.107585544136,24.0352764584069,6.85713799745717,,
1977,,,,68.4326384370326,25.067813653994,6.49954790897337,,
1976,,,,67.5227439088152,26.3327407717244,6.14451531946042,,
1975,,,,66.5845845680137,27.6097968778453,5.80561855414108,,
1974,,,,64.9765642589598,29.4811388337393,5.5422969073009,,
1973,,,,63.2892887947616,31.4144330564858,5.29627814875257,,
1972,,,,61.4892650552525,33.4401267049086,5.07060823983888,,
1971,,,,59.4384452717317,35.7026268603913,4.85892786787704,,
1970,,,,57.0939990414064,38.2478858136267,4.65811514496698,,
1969,,,,55.3103940806929,40.0483310427298,4.6412748765773,,
1968,,,,53.525321888412,41.8472103004292,4.6274678111588,,
1967,,,,51.9139012971202,43.4665067273004,4.61959197557941,,
1966,,,,50.81569664903,44.5570190251041,4.62728432586589,,
1965,,,,50.4526935264826,44.8894837325565,4.65782274096089,,
1964,,,,50.4631614839766,44.8153295343587,4.72150898166469,,
1963,,,,51.0114250047491,44.1944150451844,4.79415995006649,,
1962,,,,51.8273613231697,43.3055402621138,4.86709841471652,,
1961,,,,52.5906067041335,42.4821954453192,4.92719785054734,,
1960,,,,53.2209713274252,41.8133272940742,4.96570137850064,,
