date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,7.22399997711182,,,,,
2018,7.1100001335144,49.9492838489489,47.5434863934943,2.50722975755683,70.0,71.0
2017,7.32999992370605,49.7622678384199,47.7228165076114,2.51491565396871,67.0,70.0
2016,7.55299997329712,49.6235801143339,47.8545171416035,2.52190274406259,66.0,69.0
2015,7.72900009155273,49.5209756096442,47.9480614983458,2.53096289200998,62.0,67.0
2014,6.375,49.4580616496284,47.9723121486477,2.56962620172392,61.0,66.0
2013,7.30000019073486,49.4372533640724,47.9474711447287,2.61527549119889,62.0,64.0
2012,7.09600019454956,49.4677804606603,47.8678739304419,2.6643456088978,67.0,65.0
2011,6.90000009536743,49.5711907307895,47.7194176578305,2.70939161138,72.0,66.0
2010,8.06999969482422,49.7669833380877,47.4888255993464,2.74419106256595,78.0,73.0
2009,9.28499984741211,49.7609733586468,47.4437519121068,2.79527472924636,73.0,73.0
2008,10.2089996337891,49.8042983717027,47.3602475120234,2.835454116274,71.0,74.0
2007,11.710000038147,49.891887053286,47.2415778996304,2.8665350470836,66.0,74.0
2006,10.7290000915527,50.0224790958799,47.0822921225159,2.89522878160422,68.0,78.0
2005,9.78400039672852,50.20361604181,46.8693945512651,2.92698940692493,73.0,77.0
2004,8.75,50.1682422364818,46.8339252668147,2.99783249670347,63.0,69.0
2003,7.875,50.1407988770473,46.7841499762783,3.07505114667443,57.0,63.0
2002,6.98099994659424,50.1239015237042,46.7205370939736,3.15556138232213,56.0,61.0
2001,6.09499979019165,50.1185368536854,46.6491891124596,3.232274033855,54.0,49.0
2000,5.32200002670288,50.133079735019,46.5676025412817,3.29931772369934,49.0,43.0
1999,4.61299991607666,50.0008832149324,46.6137539490983,3.38536283596932,51.0,40.0
1998,3.91199994087219,49.8584777407324,46.6776075156548,3.46391474361282,54.0,52.0
1997,3.29999995231628,49.7308102894604,46.7341095549518,3.53508015558775,56.0,52.0
1996,3.30599999427795,49.6614052391591,46.7387630544166,3.59983170642428,57.0,53.0
1995,3.29800009727478,49.685973402125,46.6559346556776,3.65809194219736,52.0,49.0
1994,3.29500007629395,49.5269998114598,46.7638684160911,3.70913177244914,46.0,39.0
1993,3.28600001335144,49.4230550833394,46.8242719190208,3.75267299763975,51.0,46.0
1992,3.23600006103516,49.3737185511869,46.8385938880951,3.78768756071805,35.0,38.0
1991,3.21000003814697,49.3778665737482,46.8095346120741,3.81259881417776,42.0,34.0
1990,,49.447917392759,46.7262325659448,3.82585004129628,43.0,42.0
1989,,49.6792723560504,46.522954616264,3.79777302768559,40.0,26.0
1988,,49.9547452726677,46.2893203983297,3.7559343290026,23.0,18.0
1987,,50.2944660768952,46.0029800728559,3.70255385024892,11.0,8.0
1986,,50.7312270483656,45.6295561410888,3.63921681054563,27.0,8.0
1985,,51.287537399981,45.1465668116594,3.56589578835962,19.0,8.0
1984,,51.3801234721122,45.0901024125861,3.52977411530172,,
1983,,51.5662213395968,44.9555516737471,3.47822698665609,,
1982,,51.8436746650411,44.7441541560671,3.41217117889178,,
1981,,52.2130617764759,44.4526179837031,3.33432023982104,,
1980,,52.6866941433763,44.0664524156552,3.24685344096847,,
1979,,52.8406495196799,43.9548634480871,3.20448703223304,,
1978,,53.0545879607705,43.7949901077208,3.15042193150868,,
1977,,53.3416802400739,43.573579537286,3.08474022264013,,
1976,,53.7258471169343,43.2666467375948,3.00750614547091,,
1975,,54.2329409506967,42.848116048093,2.91894300121038,,
1974,,54.3148709838093,42.8110869569314,2.87404205925932,,
1973,,54.4563805397761,42.7259926853209,2.81762677490299,,
1972,,54.6625613383613,42.5881884837603,2.7492501778784,,
1971,,54.9468031426761,42.3843210307501,2.66887582657378,,
1970,,55.338529125263,42.0842168785074,2.57725399622965,,
1969,,55.3026472119687,42.1543989741721,2.54295381385919,,
1968,,55.2928599415136,42.2116182177834,2.49552184070294,,
1967,,55.3530993223335,42.210953385958,2.43594729170854,,
1966,,55.5586291282305,42.0736927591695,2.36767811260005,,
1965,,55.9639930724413,41.7424562951065,2.29355063245221,,
1964,,55.925793894783,41.7698871606133,2.30431894460361,,
1963,,56.0390641524857,41.6494521017941,2.31148374572025,,
1962,,56.2788123763326,41.4089502892201,2.3122373344473,,
1961,,56.5771985090561,41.1226533961286,2.30014809481525,,
1960,,56.9042350742334,40.8247150833828,2.27104984238372,,
