date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,,,,,,
2018,,,,,83.0,81.0
2017,,,,,83.0,80.0
2016,,,,,75.0,71.0
2015,,,,,75.0,85.0
2014,,,,,79.0,78.0
2013,,,,,79.0,79.0
2012,,,,,78.0,80.0
2011,,,,,88.0,87.0
2010,,,,,97.0,94.0
2009,,,,,78.0,96.0
2008,,,,,86.0,95.0
2007,,,,,94.0,93.0
2006,,,,,96.0,74.0
2005,,,,,86.0,77.0
2004,,,,,70.0,64.0
2003,,,,,90.0,68.0
2002,,,,,80.0,80.0
2001,,,,,64.0,48.0
2000,,,,,94.0,39.0
1999,,,,,93.0,66.0
1998,,,,,93.0,86.0
1997,,,,,52.0,78.0
1996,,,,,69.0,78.0
1995,,,,,57.0,70.0
1994,,,,,59.0,67.0
1993,,,,,36.0,56.0
1992,,,,,86.0,82.0
1991,,,,,74.0,71.0
1990,,,,,52.0,92.0
1989,,,,,39.0,92.0
1988,,,,,25.0,92.0
1987,,,,,31.0,
1986,,,,,,
1985,,,,,,
1984,,,,,,
1983,,,,,,
1982,,,,,,
1981,,,,,,
1980,,,,,,
1979,,,,,,
1978,,,,,,
1977,,,,,,
1976,,,,,,
1975,,,,,,
1974,,,,,,
1973,,,,,,
1972,,,,,,
1971,,,,,,
1970,,,,,,
1969,,,,,,
1968,,,,,,
1967,,,,,,
1966,,,,,,
1965,,,,,,
1964,,,,,,
1963,,,,,,
1962,,,,,,
1961,,,,,,
1960,,,,,,
