date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,9.54800033569336,,,,,,,
2018,9.46399974822998,19.2,,56.7757050202881,40.0831828216618,3.14111215805009,78.0,81.0
2017,9.57699966430664,,53.49759,56.6067338070364,40.26255262611,3.13071356685355,78.0,81.0
2016,9.69200038909912,,,56.4674280232677,40.409455143024,3.1231168337083,72.0,74.0
2015,9.75800037384033,24.9,,56.3763793153302,40.5074165268476,3.11620415782217,70.0,73.0
2014,9.81099987030029,,,56.1962209124841,40.6832945974658,3.12048449005011,75.0,81.0
2013,9.88799953460693,,,56.0327534241049,40.8395140896096,3.12773248628551,80.0,80.0
2012,9.86499977111816,20.2,,55.8823489736426,40.9812885550059,3.13636247135143,75.0,80.0
2011,9.8459997177124,24.4,,55.7392109481116,41.1163303551778,3.14445869671054,67.0,75.0
2010,9.84200000762939,,,55.6031360585199,41.2467249251974,3.15013901628272,67.0,64.0
2009,9.75399971008301,,,55.4029590892227,41.433702804466,3.16333810631138,59.0,64.0
2008,9.39500045776367,16.5,,55.1986234003734,41.6256047045147,3.17577189511194,65.0,74.0
2007,9.44900035858154,25.5,45.50378,54.9910273700343,41.8225102317958,3.18646239816994,67.0,75.0
2006,9.60700035095215,,,54.7802215105469,42.0250161797946,3.19476230965845,62.0,68.0
2005,9.79100036621094,,,54.5712345173623,42.2289046271502,3.19986085548745,65.0,71.0
2004,9.87899971008301,,,54.3005402404085,42.4884332619885,3.21102649760296,73.0,70.0
2003,9.94699954986572,,,54.012567777378,42.7671230191786,3.22030920344343,84.0,76.0
2002,9.93900012969971,,,53.7206917392073,43.0524614133622,3.22684684743056,87.0,89.0
2001,9.86400032043457,,,53.4521166370634,43.3177915926584,3.23009177027827,58.0,75.0
2000,9.86800003051758,29.7,51.20768,53.2287235397509,43.5418495570141,3.22942690323505,46.0,51.0
1999,9.89400005340576,,,53.01510588171,43.7601719248044,3.22472219348567,62.0,53.0
1998,9.82600021362305,,,52.8373345896349,43.946076781817,3.21658862854817,62.0,16.0
1997,9.83300018310547,,,52.6938073926995,44.1014265913806,3.20476601591987,64.0,28.0
1996,9.85000038146973,20.3,,52.571388355435,44.2405308944621,3.18808075010293,66.0,50.0
1995,9.82999992370605,,,52.4589497888599,44.3762399346481,3.16481027649192,67.0,55.0
1994,9.82199954986572,,,52.3158780518515,44.5290567657246,3.15506518242389,53.0,50.0
1993,9.79699993133545,,,52.1922810311608,44.6665775162699,3.14114145256926,49.0,44.0
1992,9.66300010681152,,,52.0964042106835,44.7804465975465,3.12314919176999,43.0,39.0
1991,9.59500026702881,,,52.0464464019556,44.8518424148144,3.10171118322994,32.0,29.0
1990,,43.1,,52.0572213379632,44.865770129565,3.07700853247186,38.0,33.0
1989,,,,51.973738318653,44.9625838652726,3.06367781607438,42.0,28.0
1988,,,,51.9299038091454,45.0213501323278,3.04874605852677,45.0,28.0
1987,,,,51.9236201584987,45.0455722343721,3.0308076071292,27.0,30.0
1986,,,,51.9522866082774,45.0390369874431,3.00867640427945,40.0,32.0
1985,,,,52.0181120542912,45.0005336988702,2.98135424683854,41.0,27.0
1984,,,,51.8827806403973,45.1518947408562,2.96532461874645,42.0,21.0
1983,,,,51.7685447625639,45.2843067479337,2.94714848950241,43.0,20.0
1982,,,,51.6816310940151,45.3921643042704,2.92620460171444,44.0,20.0
1981,,,,51.6347692678127,45.4632954573389,2.90193527484836,45.0,18.0
1980,,,,51.6404221622183,45.4859668709108,2.87361096687091,,
1979,,,,51.4989790701016,45.6466947603405,2.85432616955791,,
1978,,,,51.3897147481955,45.7782760462261,2.8320092055784,,
1977,,,,51.319713139731,45.8736907748345,2.80659608543447,,
1976,,,,51.2990410528059,45.9238723923766,2.77708655481747,,
1975,,,,51.341426937362,45.9155958448758,2.74297721776224,,
1974,,,,51.2446830333126,46.0393774843152,2.71593948237225,,
1973,,,,51.1848197633948,46.1293920936534,2.6857881429518,,
1972,,,,51.1768078419905,46.1712470204017,2.65194513760775,,
1971,,,,51.2463674414432,46.1384442748169,2.61518828373985,,
1970,,,,51.4178831162036,46.0081271037165,2.57398978007988,,
1969,,,,51.4507816256195,46.0093732166849,2.53984515769561,,
1968,,,,51.5621815891365,45.9346227236518,2.50319568721169,,
1967,,,,51.7453673291679,45.790781252387,2.46385141844513,,
1966,,,,51.9855329199882,45.5953154217105,2.41915165830135,,
1965,,,,52.2809384223712,45.3510969561116,2.36796462151718,,
1964,,,,52.4297161681816,45.2478524747622,2.32243135705618,,
1963,,,,52.6050516078877,45.1234691526314,2.27147923948084,,
1962,,,,52.8200504388446,44.9645441983129,2.2154053628425,,
1961,,,,53.1080505401556,44.7358953654773,2.15605409436705,,
1960,,,,53.5053575796346,44.3994712976726,2.09517112269281,,
