date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,,,,,,,,
2018,,,,,,,87.0,99.0
2017,,,,,,,87.0,99.0
2016,,,,,,,88.0,99.0
2015,,,,,,,88.0,99.0
2014,,,,,,,89.0,99.0
2013,,,,,,,90.0,99.0
2012,,,,,,,90.0,99.0
2011,,,,,,,91.0,99.0
2010,,,,,,,92.0,99.0
2009,,,,,,,92.0,99.0
2008,,,,,,,93.0,99.0
2007,,,,,,,94.0,99.0
2006,,,,,,,94.0,99.0
2005,,,,,,,95.0,99.0
2004,,,,,,,96.0,99.0
2003,,,,,,,96.0,99.0
2002,,,,,,,97.0,99.0
2001,,,,,,,98.0,99.0
2000,,,,,,,98.0,99.0
1999,,,,,,,99.0,99.0
1998,,,,,,,99.0,99.0
1997,,,,,,,99.0,99.0
1996,,,,,,,99.0,99.0
1995,,,,,,,99.0,99.0
1994,,,,,,,99.0,99.0
1993,,,,,,,99.0,99.0
1992,,,,,,,98.0,98.0
1991,,,,,,,98.0,98.0
1990,,,,,,,99.0,99.0
1989,,,,,,,99.0,99.0
1988,,,,,,,99.0,99.0
1987,,,,,,,,
1986,,,,,,,,
1985,,,,,,,,
1984,,,,,,,,
1983,,,,,,,,
1982,,,,,,,,
1981,,,,,,,,
1980,,,,,,,,
1979,,,,,,,,
1978,,,,,,,,
1977,,,,,,,,
1976,,,,,,,,
1975,,,,,,,,
1974,,,,,,,,
1973,,,,,,,,
1972,,,,,,,,
1971,,,,,,,,
1970,,,,,,,,
1969,,,,,,,,
1968,,,,,,,,
1967,,,,,,,,
1966,,,,,,,,
1965,,,,,,,,
1964,,,,,,,,
1963,,,,,,,,
1962,,,,,,,,
1961,,,,,,,,
1960,,,,,,,,
