date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,9.01900005340576,,,,,,,
2018,9.07800006866455,,73.75001,65.7807150460324,27.2063801328554,7.0129048211122,99.0,99.0
2017,9.1870002746582,2.6,,65.7940536386364,27.4525982852488,6.7533480761148,99.0,99.0
2016,9.30000019073486,,,65.8188485243372,27.643098474154,6.53805300150887,99.0,99.0
2015,9.46000003814697,,,65.8865986896977,27.736741619156,6.37665969114636,99.0,99.0
2014,9.69999980926514,,,65.8666116524228,27.8738842133638,6.25950413421339,99.0,99.0
2013,9.22999954223633,,,65.8337540818888,27.9648595789327,6.20138633917851,99.0,99.0
2012,8.98999977111816,,69.42539,65.7610696139511,28.0555503746777,6.18338001137119,99.0,99.0
2011,8.90999984741211,2.9,67.08416,65.6034758010781,28.2245057959353,6.17201840298655,99.0,99.0
2010,9.09000015258789,,,65.3425836111361,28.5137466577791,6.14366973108477,98.0,99.0
2009,8.96000003814697,,56.08367,65.078381351775,28.8335867542971,6.08803189392794,98.0,99.0
2008,9.56999969482422,,55.14792,64.7152846240541,29.269582774238,6.01513260170789,96.0,99.0
2007,9.5600004196167,,,64.2888051097186,29.7821986516159,5.92899623866545,95.0,95.0
2006,9.67000007629395,,,63.8663738237462,30.2920565681523,5.84156960810147,95.0,97.0
2005,11.0100002288818,,,63.4872068191422,30.7535494092524,5.75924377160546,97.0,98.0
2004,10.8299999237061,,52.30626,63.0782500831639,31.2583699388621,5.66337997797392,95.0,97.0
2003,11.9200000762939,9.8,,62.6980147389353,31.7314568998758,5.57052836118893,90.0,91.0
2002,11.5900001525879,,,62.3137245555626,32.2091316421165,5.4771438023209,94.0,94.0
2001,12.460000038147,,,61.8455878238006,32.7759796720012,5.37843250419809,96.0,96.0
2000,13.5799999237061,,,61.2421427633475,33.4872768429488,5.27058039370377,93.0,95.0
1999,13.9399995803833,,,60.657576007514,34.1688106861838,5.17361330630213,90.0,91.0
1998,13.8500003814697,,,59.9895135057103,34.9411889382177,5.06929755607195,91.0,93.0
1997,13.8570003509521,7.7,,59.2943302924769,35.7487744991627,4.95689520836045,92.0,94.0
1996,13.878999710083,,,58.6825016680682,36.4803398020405,4.83715852989137,93.0,95.0
1995,13.8520002365112,,,58.2218064958278,37.0687201904109,4.70947331376126,88.0,90.0
1994,13.8409996032715,,41.59411,57.7306276241347,37.7057507015936,4.56362167427173,87.0,87.0
1993,13.8079996109009,,,57.3649724683842,38.2228920188461,4.41213551276968,83.0,86.0
1992,13.6300001144409,8.1,,57.0841672369065,38.6601067246186,4.25572603847491,81.0,87.0
1991,13.539999961853,,,56.7924448080878,39.1111717769835,4.09638341492876,80.0,81.0
1990,,,,56.4210236419993,39.64271717921,3.93625917879064,79.0,81.0
1989,,,,56.1271877343787,40.0727117631459,3.80010050247543,82.0,80.0
1988,,,,55.8111559133037,40.5145845862831,3.67425950041316,81.0,82.0
1987,,10.4,,55.492157460499,40.9473314825976,3.56051105690338,73.0,85.0
1986,,,,55.218302953373,41.3200721399405,3.46162490668652,58.0,63.0
1985,,,,55.0221097634529,41.5984187818985,3.37947145464865,45.0,51.0
1984,,,,54.7035326619625,41.9670264158719,3.32944092216558,42.0,45.0
1983,,,,54.3956465212561,42.3031198851682,3.30123359357576,35.0,41.0
1982,,,30.2578,54.082720799443,42.6269880078683,3.29029119268868,17.0,32.0
1981,,,,53.7510702663587,42.9593917688796,3.28953796476172,,
1980,,,,53.4021490332272,43.3040110231049,3.29383994366787,,
1979,,,,52.8883520789271,43.7907383236575,3.32090959741541,,
1978,,,,52.3386641076991,44.3045587643502,3.35677712795065,,
1977,,,,51.7745856586216,44.8284925322339,3.39692180914456,,
1976,,,,51.224940441272,45.340649109361,3.434410449367,,
1975,,,,50.7099563703728,45.8273086267355,3.46273500289163,,
1974,,,,50.2219300546759,46.2923295184373,3.48574042688672,,
1973,,,,49.7936125591679,46.7112156024354,3.49517183839674,,
1972,,,,49.438018131639,47.0709606956169,3.49102117274408,,
1971,,,,49.1605559357933,47.3648484139784,3.47459565022827,,
1970,,,,48.9700139290064,47.5837175895052,3.44626848148838,,
1969,,,,48.7828421093575,47.8026381180421,3.41451977260039,,
1968,,,,48.6483908662242,47.9839485452438,3.367660588532,,
1967,,,,48.6007217719423,48.0901704697549,3.30910775830276,,
1966,,,,48.7232577498998,48.0297286464525,3.24701360364774,,
1965,,,,49.0668097055529,47.7468248255484,3.1863654688987,,
1964,,,,49.3731079492633,47.4806296508159,3.14626239992079,,
1963,,,,49.9514520355979,46.936744751222,3.11180321318006,,
1962,,,,50.7325377658824,46.1884897373693,3.07897249674835,,
1961,,,,51.5574858458477,45.4045649054123,3.03794924874009,,
1960,,,,52.3127652181136,44.7054685829586,2.98176619892782,,
