date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,1.57700002193451,,,,,
2018,1.49399995803833,67.8443097829163,26.3710482845116,5.78464193257209,93.0,91.0
2017,1.55099999904633,67.5922492460688,26.8466928773674,5.56105787656383,83.0,89.0
2016,1.14100003242493,67.3171848288406,27.3298314017134,5.35298376944599,91.0,90.0
2015,0.765999972820282,67.0140954397629,27.8173899881334,5.16851457210366,84.0,89.0
2014,0.777999997138977,66.6403230369896,28.3069486433496,5.05272831966076,88.0,88.0
2013,0.796000003814697,66.2630600340952,28.7656529675694,4.97128699833535,86.0,75.0
2012,0.790000021457672,65.8896157335795,29.1958443608731,4.91453990554736,84.0,84.0
2011,0.78600001335144,65.5190659881601,29.6170136556692,4.86392035617063,88.0,84.0
2010,0.785000026226044,65.1485159785362,30.0461328510539,4.80535117040993,88.0,90.0
2009,0.764999985694885,64.9026941435075,30.3166581848049,4.78064767168765,87.0,90.0
2008,0.686999976634979,64.6794543409704,30.5689614197514,4.75158423927814,82.0,85.0
2007,0.698000013828278,64.4835567665008,30.7994935660417,4.71694966745749,81.0,86.0
2006,0.73199999332428,64.3199100222003,31.0022808844842,4.67780909331546,78.0,82.0
2005,0.773999989032745,64.187245724835,31.1786857932609,4.63406848190408,84.0,73.0
2004,0.794000029563904,63.959853871813,31.4135263951327,4.6266197330543,86.0,82.0
2003,0.810999989509583,63.7323796085734,31.6576253389953,4.60999505243131,80.0,78.0
2002,0.809000015258789,63.4953490900865,31.9220691234368,4.58258178647676,77.0,79.0
2001,0.791000008583069,63.2473967244551,32.2088202211027,4.54378305444221,73.0,73.0
2000,0.791999995708466,62.9940332880127,32.5130484032849,4.49291830870236,84.0,82.0
1999,0.799000024795532,62.5478548280717,32.9806513607294,4.4714938111989,86.0,75.0
1998,0.782999992370605,62.0815404630703,33.4807553930809,4.43770414384882,89.0,90.0
1997,0.783999979496002,61.6031857875877,34.0054051289361,4.39140908347621,88.0,90.0
1996,0.788999974727631,61.1241093411652,34.5422969559711,4.3335937028637,86.0,88.0
1995,0.783999979496002,60.6501840775819,35.085212615723,4.26460330669512,82.0,84.0
1994,0.782000005245209,60.1498088163987,35.629065550099,4.22112563350227,77.0,77.0
1993,0.77700001001358,59.6776120458096,36.1514905035444,4.17089745064596,71.0,73.0
1992,0.745000004768372,59.2349822709872,36.6507966994896,4.11422102952326,68.0,71.0
1991,0.730000019073486,58.8054622899004,37.1435612966919,4.05097641340765,67.0,66.0
1990,,58.3730611772306,37.6462515639516,3.98068725881784,68.0,88.0
1989,,57.877762492283,38.1696923648094,3.95254514290759,50.0,50.0
1988,,57.4036729502036,38.6717107326011,3.9246163171954,32.0,28.0
1987,,56.965580056103,39.1396860269308,3.89473391696624,17.0,23.0
1986,,56.5965223132008,39.5438275847616,3.85965010203759,5.0,20.0
1985,,56.3236763347246,39.8598091491275,3.81651451614797,,16.0
1984,,55.9536750466757,40.2462740048226,3.80005094850166,,12.0
1983,,55.6458656465288,40.5790478956916,3.77508645777956,,11.0
1982,,55.3966483492374,40.8615628156633,3.74178883509926,,9.0
1981,,55.2003887643067,41.0966952575135,3.70291597817984,,5.0
1980,,55.0556354484018,41.2837592970822,3.66060525451599,,4.0
1979,,54.8213640793233,41.5245409719475,3.65409494872914,,
1978,,54.6342178689749,41.7170970378625,3.64868509316254,,
1977,,54.4926112059728,41.8659319140236,3.64145688000359,,
1976,,54.386180440457,41.9870276050197,3.62679195452333,,
1975,,54.3095175131762,42.0904413906134,3.60004109621038,,
1974,,54.162177660141,42.2336095429508,3.60421279690824,,
1973,,54.0407422243418,42.3603831813265,3.59887459433163,,
1972,,53.9541185316942,42.4625614676772,3.58332000062863,,
1971,,53.9224468228024,42.5192530562895,3.55830012090815,,
1970,,53.9702730591939,42.5054188685356,3.52430807227045,,
1969,,53.8721630386176,42.6063347933832,3.52150216799923,,
1968,,53.8006403014109,42.6916975767442,3.50766212184485,,
1967,,53.7870630765925,42.7302965833217,3.48264034008578,,
1966,,53.8908368292866,42.6606976974646,3.44846547324881,,
1965,,54.1518718610826,42.4415748165481,3.40655332236932,,
1964,,54.3316434062064,42.2665595965357,3.40179699725792,,
1963,,54.6814131295558,41.9244976375579,3.39408923288624,,
1962,,55.1682426215875,41.4509121135666,3.38084526484594,,
1961,,55.6925688999598,40.9519583079562,3.355472792084,,
1960,,56.1842737584707,40.5025325089426,3.31319373258667,,
