date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,20.2730007171631,,,,,,,
2018,19.8770008087158,,91.52727,59.4537191301233,36.9102491891316,3.63603168074514,82.0,89.0
2017,21.5739994049072,,,59.4485716295414,36.8825367836037,3.66889158685492,80.0,88.0
2016,23.3519992828369,,,59.4236155050542,36.8719158760396,3.70446861890618,75.0,85.0
2015,20.8819999694824,,,59.3534764292601,36.9052021163729,3.74132145436701,85.0,92.0
2014,18.5209999084473,,,59.2538212202481,36.9252884307056,3.82089034904635,83.0,88.0
2013,19.0279998779297,13.2,,59.0733053116443,37.0255221830412,3.90117250531451,82.0,89.0
2012,16.7709999084473,,,58.8353837258626,37.1849973323103,3.97961894182705,76.0,84.0
2011,19.3349990844727,,88.27463,58.6135842848651,37.332579712134,4.05383600300088,74.0,82.0
2010,22.1000003814697,,,58.4639766215452,37.4143530950873,4.12167028336749,75.0,83.0
2009,21.9529991149902,,,58.18819784685,37.7549922058351,4.05680994731491,76.0,83.0
2008,21.3819999694824,,,57.9213308838139,38.08942377241,3.98924534377609,73.0,83.0
2007,21.4570007324219,17.4,76.48659,57.6405646808345,38.4406986445148,3.91873667465066,69.0,86.0
2006,21.6949996948242,,,57.2815533980583,38.8738594553793,3.84458714656243,63.0,86.0
2005,21.9669990539551,,,56.7987741962111,39.4366771224566,3.76454868133229,73.0,86.0
2004,22.0900001525879,,,56.3951681173322,39.9481586899717,3.65667319269609,70.0,81.0
2003,21.7399997711182,,,55.9443611015174,40.5086005820819,3.54703831640074,70.0,79.0
2002,21.2810001373291,,,55.4859972033834,41.074834069034,3.43916872758264,68.0,77.0
2001,20.7310009002686,,84.94426,55.0758031049443,41.5883448339394,3.33585206111625,58.0,78.0
2000,20.2999992370605,20.2,,54.7415510447901,42.021909414562,3.23653954064788,69.0,79.0
1999,21.6979999542236,,,54.2998051431549,42.4048634272921,3.29533142955304,65.0,72.0
1998,22.9969997406006,,,53.9550680020489,42.6968323074267,3.34809969052441,64.0,74.0
1997,24.4500007629395,,,53.6926277007736,42.9149156199648,3.39245667926164,59.0,66.0
1996,22.7329998016357,,,53.4863993632235,43.0886425093995,3.42495812737694,61.0,70.0
1995,21.0230007171631,,,53.3237707058018,43.2338062431467,3.44242305105153,68.0,74.0
1994,19.3999996185303,,,53.0338819290097,43.5089476084638,3.45717046252659,70.0,79.0
1993,19.382999420166,,,52.7732282340504,43.7650673493233,3.46170441662632,71.0,73.0
1992,19.2180004119873,21.4,,52.5419952299273,44.0004930920962,3.45751167797658,76.0,70.0
1991,19.1399993896484,,75.81658,52.3482986857113,44.2025402536461,3.4491610606426,76.0,69.0
1990,,,,52.1989943506373,44.3612102686501,3.43979538071261,,
1989,,,,51.6552550125901,44.8884207184652,3.45632426894467,,
1988,,,,51.1059185835623,45.4147886775964,3.4792927388413,,
1987,,,,50.559567670736,45.9353728676707,3.5050594615934,,
1986,,,,50.0373408778574,46.433502590473,3.52915653166958,,
1985,,,,49.5635764529925,46.8899501564081,3.54647339059949,,
1984,,,,49.50119549609,46.9336536236136,3.56515088029638,,
1983,,,,49.5195434558231,46.9029684561766,3.57748808800034,,
1982,,,,49.6157827679567,46.8011155511156,3.58310168092777,,
1981,,,,49.756184657627,46.6621212443602,3.58169409801275,,
1980,,,,49.910515662359,46.518430559114,3.57105377852697,,
1979,,,,50.2130133738208,46.1999012923745,3.58708533380466,,
1978,,,,50.5341415719235,45.8698081074338,3.59605032064272,,
1977,,,,50.8949037016746,45.5065481249924,3.59854817333296,,
1976,,,,51.3514793728073,45.0508227090136,3.59769791817909,,
1975,,,,51.9443075952532,44.460878068953,3.59481433579381,,
1974,,,,52.0774122524252,44.2865609928671,3.6360267547077,,
1973,,,,52.2887178583144,44.0321288546034,3.67915328708218,,
1972,,,,52.5515617555739,43.7291560696835,3.71928217474262,,
1971,,,,52.8114070806336,43.4395752854501,3.74901763391638,,
1970,,,,53.0376075423044,43.2013935696644,3.76099888803123,,
1969,,,,53.1403696003463,43.0635750854531,3.79605531420057,,
1968,,,,53.2133815691821,42.9708490319644,3.81576939885341,,
1967,,,,53.2891594399805,42.8880385517615,3.82280200825806,,
1966,,,,53.4244972219463,42.7531784663075,3.82232431174621,,
1965,,,,53.6552588391591,42.5267658781106,3.81797528273029,,
1964,,,,53.7515956015776,42.4016451153126,3.84675928310981,,
1963,,,,53.9200483541827,42.2064823359061,3.87346930991129,,
1962,,,,54.1492824549138,41.9519932643227,3.89872428076348,,
1961,,,,54.4041929586511,41.6773066740184,3.91850036733053,,
1960,,,,54.6677242636507,41.399402657449,3.93287307890031,,
