date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,1.40699994564056,,,,,
2018,1.35000002384186,63.8580639025582,30.4142653217498,5.72767077569198,91.0,91.0
2017,1.39600002765656,62.9988020344461,31.336510561534,5.6646874040199,90.0,90.0
2016,1.44599997997284,62.0769438683676,32.3226535704436,5.60040256118883,83.0,87.0
2015,1.47500002384186,61.1060301948201,33.3534135126478,5.54055629253211,85.0,91.0
2014,1.49899995326996,60.5982841433974,33.9628836387215,5.4388322178811,88.0,92.0
2013,1.53400003910065,60.0463955717161,34.6104493206156,5.34315510766829,88.0,92.0
2012,1.52499997615814,59.5031902249062,35.2492146570088,5.24759511808499,86.0,90.0
2011,1.51699995994568,59.0430350405788,35.8165718854401,5.14039307398113,88.0,92.0
2010,1.51600003242493,58.6989766341004,36.2890092448095,5.01201412109008,86.0,82.0
2009,1.47899997234344,58.2173772905981,36.9302065371983,4.85241617220354,90.0,89.0
2008,1.32799994945526,57.7962840073656,37.5058762699793,4.69783972265506,79.0,82.0
2007,1.38300001621246,57.3941382005043,38.0526567889624,4.55320501053328,81.0,82.0
2006,1.48300004005432,56.949184156195,38.6278151969642,4.42300064684078,85.0,89.0
2005,1.59500002861023,56.4279282953641,39.2676260948941,4.30444560974189,74.0,75.0
2004,1.66700005531311,56.1539983093191,39.6728255457733,4.1731761449076,73.0,80.0
2003,1.73099994659424,55.891561505517,40.0553178533824,4.05312064110052,75.0,78.0
2002,1.76199996471405,55.6422411451892,40.4128113717804,3.94494748303046,71.0,72.0
2001,1.76499998569489,55.4301361319904,40.7202769807631,3.84958688724648,71.0,72.0
2000,1.80299997329712,55.2694382173592,40.9649844973771,3.76557728526372,71.0,74.0
1999,1.85000002384186,55.0797908495309,41.1812582954189,3.73895085505022,81.0,65.0
1998,1.82200002670288,54.9606266976027,41.3232906073814,3.71608269501584,67.0,71.0
1997,1.82299995422363,54.8899911555462,41.4167597419058,3.69324910254807,73.0,78.0
1996,1.83000004291534,54.8424715006805,41.492625377812,3.66490312150752,65.0,65.0
1995,1.82099997997284,54.8095480405121,41.5634106877012,3.62704127178669,56.0,54.0
1994,1.81700003147125,54.5672134619311,41.8099716628145,3.62281487525441,58.0,54.0
1993,1.807000041008,54.3561473354653,42.033467585978,3.61038507855671,58.0,51.0
1992,1.75100004673004,54.1884872948172,42.2216967126619,3.58981599252093,58.0,49.0
1991,1.72399997711182,54.0796518348609,42.3577042884328,3.56264387670632,57.0,46.0
1990,,54.0442722474407,42.4261952012004,3.52953255135892,57.0,43.0
1989,,54.0652743926439,42.4175176096236,3.51720799773251,57.0,44.0
1988,,54.1331874422784,42.3686180039203,3.49819455380139,58.0,45.0
1987,,54.2485448424459,42.2794189617352,3.47203619581889,37.0,46.0
1986,,54.4116004984549,42.1498656035993,3.43853389794574,37.0,38.0
1985,,54.6257068472462,41.9767639816803,3.39752917107349,34.0,32.0
1984,,54.682529293175,41.9289353409955,3.38853536582946,24.0,27.0
1983,,54.7660875356516,41.8590914869908,3.37482097735758,11.0,23.0
1982,,54.8845600327183,41.760525221796,3.35491474548571,2.0,18.0
1981,,55.0567864214956,41.616192378197,3.32702120030741,2.0,16.0
1980,,55.3009236167226,41.4095267295055,3.28954965377192,,8.0
1979,,55.3602255621731,41.3588769149186,3.28089752290823,,
1978,,55.4576602523021,41.2792388658177,3.26310088188016,,
1977,,55.5905477235828,41.1743748599284,3.23507741648879,,
1976,,55.7531992304951,41.0507956174112,3.19600515209369,,
1975,,55.9474929489644,40.9072582132429,3.14524883779276,,
1974,,55.9424990442654,40.9316775389414,3.12582341679321,,
1973,,55.9493210737519,40.9554671003562,3.09521182589199,,
1972,,55.9692731702898,40.9775223036539,3.05320452605629,,
1971,,56.007619939724,40.9916859664352,3.00069409384077,,
1970,,56.0837163817745,40.9776335929577,2.93865002526786,,
1969,,55.9250063415458,41.1629017629075,2.91209189554676,,
1968,,55.7408232798411,41.3840382325709,2.875138487588,,
1967,,55.5835486477295,41.5879269438276,2.8285244084429,,
1966,,55.5551388588922,41.6699209283771,2.77494021273071,,
1965,,55.7222458359276,41.5614651789789,2.71628898509347,,
1964,,55.7648868918089,41.5398526349348,2.69526047325627,,
1963,,56.0108748818086,41.3173558960759,2.67176922211553,,
1962,,56.3987944191325,40.9584454160275,2.64276016484004,,
1961,,56.7749597166295,40.6241429070101,2.60089737636044,,
1960,,57.0446459938348,40.4139316480374,2.54142235812787,,
