date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,3.19600009918213,,,,,,,
2018,3.82999992370605,,,64.6956486568235,16.1081587098378,19.1961926333387,93.0,93.0
2017,4.83900022506714,,,64.85473799459,16.3531299843661,18.7921320210439,93.0,94.0
2016,6.00600004196167,,,65.0519291962127,16.5764095141154,18.371661289672,94.0,95.0
2015,6.87200021743774,,,65.3242002139623,16.7556109900883,17.9201887959494,95.0,95.0
2014,7.41599988937378,,,65.6163321488448,16.9421228551827,17.4415449959725,96.0,96.0
2013,7.24300003051758,,,65.9935148878185,17.0814834112289,16.9250017009527,96.0,97.0
2012,5.82100009918213,,,66.4099110043926,17.1960785714966,16.3940104241108,96.0,97.0
2011,4.97700023651123,,,66.7767960376607,17.3342486850283,15.888955277311,96.0,97.0
2010,4.98899984359741,,,67.0402783877664,17.5222474582832,15.4374741539504,96.0,97.0
2009,4.34700012207031,,,67.2387236831509,17.6920185779544,15.0692577388947,96.0,97.0
2008,3.65400004386902,,,67.3342948595687,17.8919929522413,14.77371218819,96.0,97.0
2007,4.15299987792969,,,67.3681917990047,18.0961012391669,14.5357069618284,96.0,97.0
2006,5.0019998550415,,,67.4204902805622,18.2506648227197,14.3288448967181,96.0,96.0
2005,5.87200021743774,,,67.5459783549471,18.3203583664311,14.1336632786217,95.0,96.0
2004,4.64599990844727,,,67.5957265044377,18.3957851026654,14.0084883928969,96.0,98.0
2003,3.59299993515015,,,67.6776628730005,18.421418594501,13.9009185324985,96.0,98.0
2002,2.55399990081787,,,67.7787236842391,18.4199541226745,13.8013221930864,95.0,97.0
2001,2.11899995803833,,,67.8734587605008,18.4284928924841,13.6980483470151,95.0,97.0
2000,2.72499990463257,,,67.9500706634883,18.4678467942235,13.5820825422882,96.0,97.0
1999,3.62299990653992,,,68.0245230927959,18.4711676399952,13.5043092672089,96.0,97.0
1998,4.39400005340576,,,68.1081126739346,18.4759571962969,13.4159301297686,96.0,97.0
1997,5.51100015640259,,,68.2108463652492,18.4692958853053,13.3198577494455,96.0,97.0
1996,6.4210000038147,,,68.3413848838177,18.4352694857213,13.223345630461,96.0,97.0
1995,7.15700006484985,,,68.4982225391232,18.3732568926349,13.1285205682418,94.0,97.0
1994,7.15899991989136,,,68.634157323256,18.3105603964313,13.0552822803127,94.0,97.0
1993,6.28499984741211,,,68.7738464341709,18.2346928603512,12.9914607054778,94.0,97.0
1992,5.55499982833862,,,68.9016819485764,18.1723729254559,12.9259451259678,95.0,98.0
1991,7.28399991989136,,,69.0000722890655,18.1580971818616,12.841830529073,94.0,97.0
1990,,,,69.0666460502886,18.2052151061565,12.7281388435548,94.0,97.0
1989,,,,69.0709684231694,18.3292369081131,12.5997946687175,94.0,97.0
1988,,,,69.0254485605086,18.5319748060754,12.442576633416,94.0,97.0
1987,,,,68.9263224912616,18.8059865764005,12.2676909323379,93.0,97.0
1986,,,,68.77898402652,19.1224914367225,12.0985245367574,93.0,97.0
1985,,,,68.5962793447876,19.4531894799961,11.9505311752163,92.0,97.0
1984,,,,68.2380183945898,19.9449337025384,11.8170479028719,92.0,97.0
1983,,,,67.8071349984703,20.4819223431882,11.7109426583416,92.0,97.0
1982,,,,67.324910143022,21.0569101539347,11.6181797030433,92.0,97.0
1981,,,,66.8156169362496,21.6711569223981,11.5132261413523,91.0,96.0
1980,,,,66.296019730832,22.326557427104,11.3774228420639,91.0,96.0
1979,,,,65.7660293392523,22.9689991031797,11.264971557568,,
1978,,,,65.2533312929149,23.6128348991638,11.1338338079213,,
1977,,,,64.7712499829949,24.2426266564466,10.9861233605585,,
1976,,,,64.3277766943061,24.8442881989631,10.8279351067308,,
1975,,,,63.9259663483003,25.4126437857676,10.6613898659321,,
1974,,,,63.5144802136607,25.9374605067319,10.5480592796074,,
1973,,,,63.1618200095866,26.4044147417554,10.4337652486579,,
1972,,,,62.8732384066565,26.8087123613053,10.3180492320383,,
1971,,,,62.651350797981,27.1480564395983,10.2005927624207,,
1970,,,,62.4943056587773,27.4260393235073,10.0796550177154,,
1969,,,,62.3862592995865,27.6540884030635,9.95965229734997,,
1968,,,,62.3339637313508,27.8210849052557,9.84495136339344,,
1967,,,,62.3035462985549,27.9647210575846,9.73173264386045,,
1966,,,,62.2446135754257,28.1396782523458,9.61570817222854,,
1965,,,,62.1457317005466,28.358380528829,9.49588777062434,,
1964,,,,61.9296349648886,28.6945696575963,9.37579537751507,,
1963,,,,61.6085562802802,29.1376409550315,9.25380276468829,,
1962,,,,61.2596825999008,29.6089498472217,9.1313675528775,,
1961,,,,61.0371672461457,29.946834514262,9.01599823959225,,
1960,,,,61.0339042016306,30.0563018869111,8.90979391145827,,
