date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,12.8000001907349,,,,,
2018,12.8470001220703,68.0849164086245,22.7409256659988,9.17415792537671,,
2017,13.2489995956421,68.0223705574599,23.0460039689699,8.93162547357027,,
2016,13.6829996109009,67.9285607477999,23.381876137437,8.68956311476307,,
2015,14.1269998550415,67.7996052607308,23.7629350893697,8.43745964989947,,
2014,14.5900001525879,67.6334041734675,24.1914700510572,8.17512577547537,,
2013,14.9139995574951,67.401472892273,24.6978148818129,7.90071222591412,,
2012,14.6719999313354,67.1574852389959,25.2235731029376,7.61894165806647,,
2011,14.3559999465942,67.0139348152528,25.6358586133653,7.35020657138189,,
2010,14.3979997634888,67.0563687496795,25.8323571059493,7.11127414437121,,
2009,13.9700002670288,67.0104164584041,26.1195193634164,6.87006417817942,,
2008,12.4610004425049,66.972982833053,26.3726463852125,6.65437078173453,,
2007,12.6599998474121,66.8496821202395,26.687516181662,6.46280169809848,,
2006,13.9750003814697,66.5319051389989,27.1895969657817,6.27849789521944,,
2005,15.3549995422363,65.9726275365629,27.9303169487654,6.09705551467167,,
2004,16.3099994659424,65.5934525061941,28.452055323918,5.95449216988788,,
2003,16.9689998626709,65.1663729476017,29.0083928041737,5.8252342482246,,
2002,17.117000579834,64.7430837051295,29.5433781853984,5.71353810947215,,
2001,17.2040004730225,64.4042926864506,29.9752136636372,5.62049364991219,,
2000,17.2859992980957,64.1890927836001,30.2643267102072,5.54658050619278,,
1999,17.6690006256104,64.2736962815355,30.3286084896793,5.3976952287852,,
1998,17.5,64.4302495481986,30.312031376168,5.25771907563348,,
1997,17.9750003814697,64.5833640931752,30.2996746839119,5.11696122291288,,
1996,18.6399993896484,64.636803874092,30.3985068603713,4.96468926553672,,
1995,18.8959999084473,64.5455344994387,30.6632935491715,4.79117195138986,,
1994,18.9190006256104,64.4132402516391,30.7551827568816,4.83157699147931,,
1993,18.8449993133545,64.205908000872,30.9347067800305,4.85938521909745,,
1992,18.0310001373291,63.9005588529808,31.2146521294033,4.8847890176159,,
1991,17.3439998626709,63.4866005873715,31.6044878854626,4.90891152716593,,
1990,,62.9708341161,32.0959750140898,4.93319086981026,,
1989,,62.3771636878174,32.7531522240942,4.8696840880884,,
1988,,61.6460035317768,33.550657778158,4.8033386900652,,
1987,,60.8657814908747,34.3993982793774,4.73482022974787,,
1986,,60.1865534967729,35.143925328079,4.66952117514809,,
1985,,59.6927850649434,35.7009142080496,4.60630072700696,,
1984,,59.1556258008286,36.2927406713627,4.55163352780867,,
1983,,58.8461081872502,36.6540039307243,4.49988788202551,,
1982,,58.70732604407,36.8468920319658,4.44578192396429,,
1981,,58.5543231233676,37.0679420643804,4.37773481225196,,
1980,,58.2283800914953,37.4841536680813,4.2874662404233,,
1979,,58.0137005491427,37.720637677911,4.26566177294632,,
1978,,57.7452538977565,38.0172948464779,4.23745125576554,,
1977,,57.5012730050193,38.3065396086419,4.19218738633884,,
1976,,57.4728149478658,38.3862625118317,4.14092254030245,,
1975,,57.8148989743905,38.1095314131303,4.07556961247927,,
1974,,57.6327979497302,38.3709269193423,3.99627513092756,,
1973,,57.7047628537266,38.3984323103494,3.89680483592401,,
1972,,57.9698044945384,38.247930146803,3.7822653586586,,
1971,,58.3019211508695,38.0305927342256,3.66748611490485,,
1970,,58.6086741863203,37.8242375906726,3.5670882230071,,
1969,,58.6577445384767,37.804566030309,3.53768943121433,,
1968,,58.6204099017331,37.8535427800708,3.52604731819611,,
1967,,58.5379563031508,37.9281989362034,3.53384476064577,,
1966,,58.5050060841534,37.9501739854407,3.54481993040582,,
1965,,58.5614035087719,37.8991228070175,3.53947368421053,,
1964,,58.591765542623,37.8340238657018,3.57421059167523,,
1963,,58.6892497526337,37.7079331820034,3.6028170653629,,
1962,,58.8178038405153,37.5567785815569,3.62541757792785,,
1961,,58.9236076640524,37.4329891789933,3.64340315695423,,
1960,,58.9935430972635,37.3565132725223,3.64994363021421,,
