date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,0.474999994039536,,,,,,,
2018,0.470999985933304,37.5,,47.4206675078562,49.9843246094453,2.59500788269853,77.0,79.0
2017,0.486999988555908,,,47.3163561314673,50.0928832755573,2.59076059297535,82.0,85.0
2016,0.504999995231628,32.0,,47.2583696277197,50.157344354397,2.58428601788329,76.0,80.0
2015,0.514999985694885,,,47.2592553929141,50.1652837566556,2.57546085043029,85.0,84.0
2014,0.523999989032745,34.6,,47.2003560881632,50.2347717243171,2.56487218751967,80.0,81.0
2013,0.458000004291534,33.1,,47.183443658254,50.2639470293388,2.55260931240722,80.0,73.0
2012,0.38400000333786,32.1,30.56039,47.2137277390938,50.2477914000453,2.53848086086087,75.0,71.0
2011,0.31700000166893,,,47.3011608806103,50.1766135745005,2.52222554488913,69.0,75.0
2010,0.583999991416931,,,47.4605997014703,50.0361424378304,2.50325786069931,67.0,70.0
2009,0.908999979496002,,,47.5321516268279,49.9743390401381,2.49350933303407,69.0,71.0
2008,1.19500005245209,,,47.6500677861279,49.8679750740087,2.48195713986341,66.0,67.0
2007,1.6690000295639,,,47.8203894902685,49.7106820182414,2.46892849149008,60.0,57.0
2006,2.30399990081787,39.9,,48.0526084223448,49.4917728550207,2.45561872263454,53.0,51.0
2005,3.09999990463257,,28.67242,48.3642626166587,49.1925225405148,2.44321484282651,47.0,45.0
2004,2.69600009918213,,,48.504035832623,49.0591132839796,2.43685088339739,45.0,43.0
2003,2.29399991035461,,,48.6534059499126,48.9117554228405,2.43483862724684,43.0,41.0
2002,1.875,,,48.8166964629893,48.7471721658677,2.43613137114301,41.0,39.0
2001,1.47000002861023,,14.37604,49.0169014408113,48.544598861494,2.43849969769469,39.0,36.0
2000,1.47099995613098,43.1,,49.2849040957037,48.2749810992435,2.44011480505283,37.0,34.0
1999,1.48199999332428,,,49.3374790185983,48.22464358836,2.43787739304174,35.0,32.0
1998,1.45299994945526,46.9,,49.3828963343978,48.1821338636466,2.4349698019556,35.0,29.0
1997,1.4559999704361,,,49.4196960739919,48.1494519512829,2.4308519747252,35.0,25.0
1996,1.46200001239777,,,49.4696028065868,48.1051835029783,2.42521369043488,38.0,23.0
1995,1.4539999961853,,,49.5649025614397,48.0175627968298,2.41753464173058,40.0,23.0
1994,1.45000004768372,,,49.4218674059085,48.1795667512188,2.39856584287271,19.0,20.0
1993,1.44000005722046,,,49.3052990269954,48.3179269475131,2.3767740254915,19.0,20.0
1992,1.38399994373322,38.7,,49.2293478172053,48.4184470926615,2.35220509013315,21.0,20.0
1991,1.35699999332428,,,49.2195853770207,48.4551864669337,2.32522815604552,28.0,19.0
1990,,,,49.3100371004328,48.3941065391273,2.29585636043994,25.0,22.0
1989,,,,49.2733326521209,48.4699132225271,2.25675412535209,14.0,13.0
1988,,,,49.267470480297,48.5166788921621,2.21585062754084,24.0,9.0
1987,,,,49.2830821579592,48.5428799214293,2.17403792061147,27.0,7.0
1986,,,,49.3274998338925,48.5396374684062,2.13286269770131,27.0,5.0
1985,,45.0,,49.4176906091775,48.4889597262694,2.09334966455306,27.0,4.0
1984,,,,49.3722345556664,48.5667945915272,2.06097085280644,22.0,5.0
1983,,,,49.3728020885204,48.5976637404324,2.02953417104724,16.0,5.0
1982,,,,49.4339817164689,48.568453208099,1.99756507543206,18.0,6.0
1981,,,,49.6056024744857,48.4309518382207,1.9634456872936,19.0,6.0
1980,,,,49.9460010379021,48.1277354297977,1.9262635323002,,
1979,,,,49.8723182229625,48.2231532715802,1.90452850545726,,
1978,,,,49.8281337680084,48.2931374512353,1.87872878075636,,
1977,,,,49.7964270891742,48.3547990740742,1.84877383675159,,
1976,,,,49.7649053389028,48.4207842986569,1.81431036244034,,
1975,,,,49.7269303546559,48.498642511072,1.77442713427212,,
1974,,,,49.5821891692545,48.6700915212234,1.74771930952202,,
1973,,,,49.4901931825437,48.7938458036074,1.71596101384882,,
1972,,,,49.4541052680588,48.8667380978297,1.67915663411159,,
1971,,,,49.4862858636115,48.8756547019958,1.63805943439267,,
1970,,,,49.6000571093618,48.8067335839406,1.59320930669767,,
1969,,,,49.4842253416439,48.9562867781429,1.55948788021324,,
1968,,,,49.4297158464486,49.0459850743223,1.52429907922908,,
1967,,,,49.4524672151083,49.061137984149,1.48639480074275,,
1966,,,,49.5859321448583,48.9700625353311,1.44400531981053,,
1965,,,,49.8621272690622,48.7420023468895,1.39587038404831,,
1964,,,,49.8653756189842,48.7828846248412,1.35173975617459,,
1963,,,,49.9619380722148,48.7342107970265,1.30385113075869,,
1962,,,,50.1336035502761,48.6149152172047,1.25148123251923,,
1961,,,,50.3419358946926,48.4642285316978,1.19383557360958,,
1960,,,,50.5745752728723,48.2948945397201,1.13053018740756,,
