date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,8.0959997177124,,,,,,,
2018,8.24300003051758,21.8,62.01601,53.3859830164984,43.8666399781742,2.74737700532743,65.0,57.0
2017,8.38899993896484,,,53.2377460928992,44.0131179412448,2.74913596585596,65.0,57.0
2016,7.05999994277954,31.5,,53.1479516634956,44.1060436139142,2.74600472259014,65.0,57.0
2015,4.31099987030029,19.5,,53.1339477632477,44.1305041462216,2.73554809053068,43.0,45.0
2014,4.56199979782104,20.6,,53.0508239639148,44.1991276729255,2.75004836315973,44.0,43.0
2013,3.70300006866455,31.0,,53.024570383667,44.2167637127518,2.75866590358119,42.0,43.0
2012,3.73499989509583,,,53.0525245550715,44.1873383360045,2.76013710892396,42.0,42.0
2011,3.76999998092651,24.2,,53.1223949484082,44.1239108286531,2.75369422293876,49.0,48.0
2010,3.76699995994568,,,53.2264305053733,44.035213371753,2.73835612287366,56.0,54.0
2009,3.72199988365173,,,53.2459703060425,44.0008426894959,2.75318700446155,64.0,63.0
2008,3.53900003433228,26.7,51.07766,53.2853908870191,43.9531248441343,2.76148426884654,53.0,53.0
2007,3.56500005722046,23.3,,53.3488774567731,43.8886641344764,2.76245840875047,41.0,42.0
2006,3.64599990844727,,,53.4457312345815,43.7981339023612,2.7561348630573,44.0,40.0
2005,3.74000000953674,,,53.5862149758439,43.6713786861912,2.74240633796492,41.0,36.0
2004,3.78600001335144,,,53.5608897229126,43.669654680799,2.76945559628834,37.0,33.0
2003,3.82100009918213,26.7,54.77318,53.5409978440513,43.6669707819669,2.79203137398183,34.0,29.0
2002,3.81699991226196,,,53.5317687298639,43.6596525698031,2.80857870033297,30.0,25.0
2001,3.77800011634827,,,53.5408953946665,43.6418057680346,2.81729883729886,32.0,27.0
2000,3.77999997138977,,,53.5790081846458,43.6043181499438,2.81667366541044,33.0,29.0
1999,3.79299998283386,,,53.410350789434,43.749391613184,2.84025759738195,35.0,31.0
1998,3.75799989700317,,,53.239389019023,43.9012859371554,2.85932504382166,38.0,32.0
1997,3.76099991798401,,,53.0814485399721,44.046093210998,2.87245824902986,38.0,21.0
1996,3.76999998092651,,,52.9577036865514,44.164340491503,2.87795582194562,38.0,26.0
1995,3.7590000629425,,,52.886202459723,44.239764328,2.87403321227697,44.0,34.0
1994,3.75600004196167,,,52.6432692554255,44.4681932537274,2.88853749084703,41.0,44.0
1993,3.74300003051758,35.1,,52.434464623643,44.6679207892468,2.89761458711018,40.0,29.0
1992,3.67300009727478,,,52.2730722149213,44.8267506615053,2.90017712357347,43.0,43.0
1991,3.63800001144409,,55.44675,52.1726215293108,44.9322064038575,2.89517206683172,57.0,39.0
1990,,33.1,,52.1448245476301,44.9739241034129,2.88125134895699,54.0,56.0
1989,,,,51.9932232204916,45.1184871082559,2.88828967125252,59.0,47.0
1988,,,,51.9006243147388,45.2093539273752,2.89002175788599,46.0,36.0
1987,,,,51.8771095303981,45.2374108713753,2.88547959822657,36.0,29.0
1986,,,,51.9376906566871,45.1882140930273,2.8740952502856,28.0,22.0
1985,,,,52.0968096025043,45.048132371366,2.85505802612969,17.0,16.0
1984,,,,52.1767484352585,44.9716082216358,2.85164334310574,9.0,9.0
1983,,,,52.3260161450933,44.8303226449868,2.84366120991996,,
1982,,,,52.5414624402535,44.6283729565703,2.83016460317624,,
1981,,,,52.8165851812598,44.372809184117,2.81060563462316,,
1980,,,,53.1516317096431,44.0638724591577,2.7844958311992,,
1979,,,,53.1941667236188,44.0070253370844,2.79880793929681,,
1978,,,,53.25923490756,43.9302553154405,2.81050977699953,,
1977,,,,53.3558586737213,43.8263245722729,2.81781675400586,,
1976,,,,53.5117764607795,43.6694361164832,2.81878742273737,,
1975,,,,53.7574317588496,43.4308921260161,2.81167611513425,,
1974,,,,53.8420313886934,43.3256227015708,2.83234590973578,,
1973,,,,53.9592852820757,43.1949928989826,2.84572181894173,,
1972,,,,54.1164744547625,43.03293155018,2.85059399505756,,
1971,,,,54.3143013306652,42.8397565016643,2.8459421676705,,
1970,,,,54.5549488065337,42.6143700391325,2.83068115433378,,
1969,,,,54.598137154315,42.5439742819417,2.85788856374337,,
1968,,,,54.6679154690795,42.4541785777483,2.87790595317223,,
1967,,,,54.7761326881106,42.3352801933383,2.88858711855109,,
1966,,,,54.9379140794971,42.1754273641403,2.88665855636263,,
1965,,,,55.1702892286317,41.9607388066224,2.86897196474595,,
1964,,,,55.1616939859082,41.9473712957611,2.8909347183307,,
1963,,,,55.1770249970572,41.9268933269827,2.89608167596008,,
1962,,,,55.229513732797,41.8859356941644,2.88455057303853,,
1961,,,,55.3492594569812,41.7911180687434,2.85962247427538,,
1960,,,,55.5677799184013,41.6081980469958,2.82402203460295,,
