date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,3.34599995613098,,,,,,,
2018,3.79999995231628,,,65.4017394653615,17.5490383783174,17.0492221563211,96.0,96.0
2017,4.16200017929077,,,65.4949298815821,17.6700981019673,16.8349720164506,96.0,96.0
2016,4.67899990081787,,,65.6039698728744,17.8018106822214,16.5942194449041,96.0,96.0
2015,4.2960000038147,,,65.7346500928106,17.9623165038282,16.3030334033612,95.0,95.0
2014,3.48399996757507,,,65.8528877838851,18.1070598267495,16.0400523893654,94.0,93.0
2013,3.42300009727478,,,65.9823150318292,18.2862137768717,15.7314711912991,93.0,94.0
2012,3.12299990653992,,,66.1054520715103,18.4905625755304,15.4039853529593,94.0,95.0
2011,3.21499991416931,,,66.2112470267747,18.6783824037605,15.1103705694648,93.0,94.0
2010,3.52099990844727,,,66.301102892868,18.8115626300943,14.8873344770377,93.0,93.0
2009,3.1029999256134,,,66.2393760897381,18.9909025517273,14.7697213585346,93.0,94.0
2008,2.54999995231628,,,66.1236939110911,19.1512546900358,14.7250513988731,93.0,94.0
2007,2.49300003051758,,,65.9698410942742,19.2962794862569,14.7338794194688,92.0,93.0
2006,3.3989999294281,,,65.78613197449,19.4448997794562,14.7689682460538,92.0,94.0
2005,4.38100004196167,,,65.5727831405304,19.6121677830153,14.8150490764543,90.0,91.0
2004,4.25600004196167,,,65.4210308611126,19.7220920992368,14.8568770396506,89.0,92.0
2003,4.22100019454956,,,65.2391432496314,19.8274613324067,14.9333954179619,86.0,92.0
2002,4.02199983596802,,,65.0521258270148,19.9129612084771,15.0349129645081,87.0,93.0
2001,3.73799991607666,,,64.8879043232087,19.9650685529648,15.1470271238265,90.0,91.0
2000,3.45799994468689,,,64.7600651380516,19.9834999012083,15.25643496074,88.0,90.0
1999,3.24699997901917,,,64.6452484173014,19.9326375211108,15.4221140615878,90.0,92.0
1998,3.73699998855591,,,64.5671284856209,19.8448067065304,15.5880648078488,91.0,93.0
1997,4.68699979782104,,,64.5237092280955,19.729893838872,15.7463969330325,93.0,95.0
1996,5.03599977493286,,,64.5119091761853,19.598748887203,15.8893419366117,92.0,97.0
1995,6.30700016021729,,,64.5314226373055,19.4591017392967,16.0094756233978,92.0,97.0
1994,5.34899997711182,,,64.552522506026,19.3032085986436,16.1442688953304,94.0,93.0
1993,5.96500015258789,,,64.5935589146375,19.150396081531,16.2560450038316,93.0,94.0
1992,5.90999984741211,,,64.6416006027,19.0230678575613,16.3353315397387,96.0,98.0
1991,5.40700006484985,,,64.6829080230314,18.9460708364104,16.3710211405582,94.0,96.0
1990,,,,64.7187556285957,18.9252899205022,16.3559544509022,87.0,86.0
1989,,,,64.6818998599662,19.0136252573873,16.3044748826466,84.0,83.0
1988,,,,64.612077225541,19.1903833744733,16.1975393999856,87.0,83.0
1987,,,,64.5131751663734,19.4407026755399,16.0461221580867,87.0,80.0
1986,,,,64.4008786080806,19.7259650370012,15.8731563549181,87.0,83.0
1985,,,,64.2905970352303,20.0151934516464,15.6942095131233,90.0,85.0
1984,,,,64.0675036029566,20.4191222028153,15.5133741942281,80.0,90.0
1983,,,,63.8258879378168,20.8379994593395,15.3361126028437,80.0,90.0
1982,,,,63.5804980814304,21.2631792973003,15.1563226212692,,
1981,,,,63.3374506248272,21.7041927331554,14.9583566420174,,
1980,,,,63.0942498377416,22.1765576558047,14.7291925064536,,
1979,,,,62.9089378786644,22.5603923328721,14.5306697884636,,
1978,,,,62.7644774822914,22.9109158172962,14.3246067004124,,
1977,,,,62.6610835416497,23.2263934941016,14.1125229642487,,
1976,,,,62.5854164209585,23.5189541834524,13.895629395589,,
1975,,,,62.5281091887762,23.7984436747121,13.6734471365117,,
1974,,,,62.4957065699954,24.0015093805644,13.5027840494402,,
1973,,,,62.4671720525288,24.1963622518874,13.3364656955839,,
1972,,,,62.4568824714488,24.3706664802446,13.1724510483066,,
1971,,,,62.5088310177865,24.4798757780834,13.0112932041301,,
1970,,,,62.6558412408477,24.4919325294242,12.8522262297281,,
1969,,,,62.7528220178754,24.5619814340656,12.6851965480591,,
1968,,,,62.9118283526447,24.5647843335202,12.5233873138351,,
1967,,,,63.0939573057766,24.5465099443362,12.3595327498872,,
1966,,,,63.2237381477865,24.5962429834949,12.1800188687186,,
1965,,,,63.2642074844078,24.759086074959,11.9767064406332,,
1964,,,,63.2415689958998,24.9616551135896,11.7967758905106,,
1963,,,,63.1263612547527,25.2710783660062,11.6025603792411,,
1962,,,,62.9816636028149,25.6171256948623,11.4012107023228,,
1961,,,,62.9268935678591,25.8630916612067,11.2100147709342,,
1960,,,,63.0346570153247,25.9283233780143,11.0370196066609,,
