date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,2.6710000038147,,,,,,,
2018,2.86400008201599,,95.65153,75.3607070585134,22.2465059852286,2.39278695625796,99.0,99.0
2017,3.02300000190735,11.2,95.576,75.6147758816681,22.0405029824721,2.34472113585979,99.0,99.0
2016,3.26999998092651,,94.89999,75.8033934040733,21.8901554043238,2.30645119160282,99.0,99.0
2015,3.63199996948242,,93.03861,75.8867802672761,21.8337477983984,2.27947193432549,99.0,99.0
2014,3.8970000743866,9.7,91.9812,75.5520626927489,22.1323927434534,2.31554456379772,99.0,99.0
2013,4.35799980163574,,,74.9999601573096,22.617871943468,2.38216789922243,99.0,98.0
2012,4.5310001373291,,,74.145240076626,23.3791943977594,2.47556552561457,99.0,98.0
2011,4.62400007247925,,,72.9934533088412,24.4248114796556,2.58173521150328,99.0,99.0
2010,5.01800012588501,,86.939,71.62236629169,25.6890335282633,2.68860018004665,99.0,99.0
2009,5.22499990463257,8.6,,70.8033138329719,26.4959915666094,2.70069460041875,99.0,98.0
2008,4.14200019836426,,86.62114,69.761461713589,27.5504250693303,2.68811321708071,98.0,99.0
2007,4.25099992752075,,,68.4413949038785,28.9027223823348,2.65588271378668,97.0,99.0
2006,4.57399988174438,,,66.8118436521363,30.5696233432193,2.61853300464437,96.0,98.0
2005,4.98199987411499,,,64.9356436294102,32.4768810445471,2.58747532604268,98.0,99.0
2004,5.38299989700317,,,63.9188768673454,33.5105828338139,2.5705402988407,98.0,99.0
2003,5.52699995040894,,81.36331,62.9161592278157,34.5370355624881,2.54680520969622,98.0,99.0
2002,5.47200012207031,,,61.9858680913357,35.4986470269284,2.51548488173585,99.0,99.0
2001,5.37599992752075,,,61.1666336958956,36.3562446785611,2.47712162554325,99.0,99.0
2000,5.40000009536743,,,60.4632859385892,37.1041454197206,2.43256864169018,99.0,99.0
1999,5.66499996185303,13.0,,60.0088518180818,37.6415581328518,2.34959004906639,99.0,99.0
1998,5.76399993896484,,,59.5477346766945,38.1784601556755,2.27380516763002,98.0,99.0
1997,5.70699977874756,,,59.0723374294703,38.7252073774915,2.2024551930382,98.0,99.0
1996,5.77699995040894,,,58.6386629313251,39.226496364659,2.13484070401591,98.0,99.0
1995,5.97200012207031,,,58.3573661567943,39.571251707476,2.07138213572977,98.0,99.0
1994,6.03399991989136,10.4,,57.0632171843574,40.8274177430008,2.10936507264179,97.0,97.0
1993,5.96999979019165,,,55.8066583530556,42.0420017528078,2.15133989413659,95.0,97.0
1992,5.43200016021729,,,54.6126482711676,43.1912871386974,2.196064590135,96.0,99.0
1991,5.07399988174438,18.6,,53.4999535317948,44.2585364205119,2.24151004769328,96.0,95.0
1990,,,,52.4649851751583,45.2487389365514,2.28627588829028,98.0,98.0
1989,,,,52.161092975012,45.5326231538128,2.30628387117524,94.0,98.0
1988,,,,52.0104164804453,45.6585682702564,2.33101524929832,87.0,90.0
1987,,,,51.9630981138528,45.6781221621829,2.35877972396431,86.0,89.0
1986,,,,51.961875114096,45.6495546652062,2.38857022069774,79.0,82.0
1985,,,,51.9878965682473,45.5942200373994,2.41788339435324,65.0,60.0
1984,,,,51.9740473911129,45.5457804300279,2.48017217885918,53.0,45.0
1983,,,,51.987345408486,45.4696136249924,2.54304096652161,34.0,31.0
1982,,,,52.0112610465301,45.3843894052527,2.60434954821717,24.0,24.0
1981,,,,52.0679837946558,45.2665729957357,2.66544320960851,10.0,19.0
1980,,,,52.1938673414318,45.0792938528748,2.72683880569346,22.0,18.0
1979,,,,52.0871876408158,45.1129823455926,2.79983001359159,,
1978,,,,51.94844301747,45.1792652781422,2.87229170438779,,
1977,,,,51.7689639232402,45.2889331604289,2.94210291633088,,
1976,,,,51.5052251583937,45.4886374908889,3.00613735071746,,
1975,,,,51.1205185211219,45.8191003427255,3.06038113615261,,
1974,,,,51.0766672605262,45.8218421521468,3.10149058732704,,
1973,,,,50.9428912025735,45.9240928591078,3.13301593831863,,
1972,,,,50.76367242845,46.0802699708905,3.15605760065947,,
1971,,,,50.6088377607588,46.2195981670779,3.1715640721633,,
1970,,,,50.5276638424206,46.2912947554124,3.18104140216702,,
1969,,,,50.6972024848408,46.1221099740413,3.18068754111789,,
1968,,,,50.9263605529764,45.8993959637725,3.17424348325105,,
1967,,,,51.2070642343595,45.6324210666642,3.16051469897624,,
1966,,,,51.5228169426527,45.3388701886757,3.13831286867154,,
1965,,,,51.8707730608679,45.0220716821678,3.1071552569643,,
1964,,,,52.118366401758,44.7879662795682,3.09366731867385,,
1963,,,,52.3683075429989,44.557745187901,3.07394726910012,,
1962,,,,52.6340522059421,44.3183840310423,3.04756376301564,,
1961,,,,52.9535681978711,44.0283381100492,3.01809369207974,,
1960,,,,53.3680719179324,43.6448327110596,2.98709537100808,,
