date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,,,,,,
2018,,,,,90.0,95.0
2017,,,,,93.0,97.0
2016,,,,,96.0,98.0
2015,,,,,95.0,90.0
2014,,,,,83.0,95.0
2013,,,,,99.0,99.0
2012,,,,,91.0,89.0
2011,,,,,85.0,84.0
2010,,,,,39.0,69.0
2009,,,,,75.0,49.0
2008,,,,,97.0,92.0
2007,,,,,91.0,94.0
2006,,,,,98.0,98.0
2005,,,,,98.0,98.0
2004,,,,,99.0,98.0
2003,,,,,99.0,99.0
2002,,,,,99.0,99.0
2001,,,,,91.0,98.0
2000,,,,,83.0,96.0
1999,,,,,96.0,96.0
1998,,,,,74.0,96.0
1997,,,,,83.0,91.0
1996,,,,,99.0,98.0
1995,,,,,99.0,99.0
1994,,,,,41.0,67.0
1993,,,,,32.0,89.0
1992,,,,,94.0,93.0
1991,,,,,98.0,98.0
1990,,,,,98.0,99.0
1989,,,,,98.0,78.0
1988,,,,,99.0,99.0
1987,,,,,98.0,81.0
1986,,,,,98.0,98.0
1985,,,,,,
1984,,,,,,
1983,,,,,,
1982,,,,,,
1981,,,,,,
1980,,,,,,
1979,,,,,,
1978,,,,,,
1977,,,,,,
1976,,,,,,
1975,,,,,,
1974,,,,,,
1973,,,,,,
1972,,,,,,
1971,,,,,,
1970,,,,,,
1969,,,,,,
1968,,,,,,
1967,,,,,,
1966,,,,,,
1965,,,,,,
1964,,,,,,
1963,,,,,,
1962,,,,,,
1961,,,,,,
1960,,,,,,
