date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,2.45900011062622,,,,,
2018,2.42300009727478,60.738796347755,35.8159344007888,3.44526925145617,61.0,61.0
2017,2.48000001907349,60.4823563208311,36.1384213103618,3.37922236880715,62.0,62.0
2016,2.53900003433228,60.2229126031431,36.4636337457485,3.31345365110843,70.0,72.0
2015,2.57299995422363,59.9536740967775,36.7967784009793,3.24954750224322,79.0,73.0
2014,2.6010000705719,59.6128847966396,37.1360295366773,3.25108566668303,84.0,73.0
2013,2.64199995994568,59.2591912567183,37.4777938415948,3.26301490168687,89.0,79.0
2012,2.63000011444092,58.9139616152586,37.8041884675418,3.28184991719959,86.0,74.0
2011,2.61999988555908,58.6134817876237,38.084638805792,3.30187940658433,79.0,72.0
2010,2.00200009346008,58.3799728254142,38.3022545495135,3.31777262507238,74.0,67.0
2009,2.04800009727478,58.1508923442806,38.554056838171,3.29505081754837,74.0,73.0
2008,1.98099994659424,57.9827616778817,38.7446261941134,3.27261212800491,73.0,63.0
2007,2.08299994468689,57.8603495564524,38.8914232973597,3.24822714618785,77.0,71.0
2006,2.23600006103516,57.7511153704098,39.0295468786554,3.21933775093484,84.0,72.0
2005,2.40899991989136,57.6363958014461,39.179414996652,3.18418920190186,82.0,72.0
2004,2.54299998283386,57.5256383724581,39.2973358754659,3.17702575207597,77.0,62.0
2003,2.67199993133545,57.4071922687634,39.4308909776798,3.16191675355679,77.0,68.0
2002,2.76399993896484,57.2927388011159,39.5680925245232,3.13916867436097,73.0,61.0
2001,2.8199999332428,57.2047235066813,39.6843218214888,3.11095467182983,65.0,55.0
2000,2.92000007629395,57.1599117995015,39.7614502805089,3.07863791998955,69.0,59.0
1999,2.93499994277954,56.9941784354919,39.9364188657387,3.06940269876933,67.0,60.0
1998,2.89599990844727,56.831946614707,40.1113304365181,3.05672294877496,63.0,60.0
1997,2.8989999294281,56.6679720583751,40.2933294116502,3.03869852997471,50.0,45.0
1996,2.90899991989136,56.5026321692175,40.483921713853,3.01344611692943,24.0,56.0
1995,2.8970000743866,56.3415884913612,40.6786117762278,2.97979973241104,42.0,62.0
1994,2.89199995994568,56.0794928835546,40.9518520880098,2.96865502843558,36.0,61.0
1993,2.87800002098084,55.820823022434,41.2278434794873,2.95133349807872,28.0,58.0
1992,2.80200004577637,55.571844687697,41.5010740833176,2.92708122898538,70.0,58.0
1991,2.76399993896484,55.3279017222768,41.7773222867109,2.89477599101226,69.0,68.0
1990,,55.0819688468337,42.0647037299178,2.85332742324851,67.0,68.0
1989,,54.8062998128907,42.3517819316702,2.84191825543916,52.0,53.0
1988,,54.5491534608499,42.6258670650309,2.82497947411921,46.0,48.0
1987,,54.3228369624395,42.8752006668277,2.80196237073282,37.0,44.0
1986,,54.1479407973106,43.0785723345449,2.77348686814448,39.0,44.0
1985,,54.0402055363474,43.2204615011406,2.73933296251191,33.0,40.0
1984,,53.8839967041889,43.3879298463061,2.72807344950497,26.0,34.0
1983,,53.7781558117646,43.5082908604745,2.71355332776098,1.0,27.0
1982,,53.7181672306867,43.587273711995,2.69455905731829,,29.0
1981,,53.698913662208,43.630905775845,2.67018056194699,,32.0
1980,,53.7222870151671,43.6381837503028,2.63952923453008,,32.0
1979,,53.6822403036141,43.6788476467037,2.6389120496823,,
1978,,53.6631157598762,43.7047197412042,2.63216449891962,,
1977,,53.6676342784681,43.7140608720376,2.61830484949433,,
1976,,53.7016406771913,43.7018860318359,2.59647329097291,,
1975,,53.7724068415211,43.6616883416748,2.56590481680412,,
1974,,53.7474261756831,43.6715181507054,2.58105567361149,,
1973,,53.7436747332566,43.6690126662567,2.58731260048669,,
1972,,53.7613526977296,43.6550829141449,2.58356438812545,,
1971,,53.7970094738364,43.6341476424901,2.56884288367353,,
1970,,53.8533897735672,43.6043204733104,2.54228975312248,,
1969,,53.788806945389,43.6429380343099,2.56825502030115,,
1968,,53.724921733638,43.6921095235962,2.58296874276575,,
1967,,53.68716353078,43.7264423410171,2.58639412820296,,
1966,,53.7254387767879,43.6961594283361,2.57840179487604,,
1965,,53.8745097944547,43.5665035967518,2.55898660879354,,
1964,,53.9368825288398,43.4594940562142,2.60362341494596,,
1963,,54.1042420909777,43.2617502659323,2.63400764308999,,
1962,,54.3554986600306,42.9918661808138,2.65263515915555,,
1961,,54.6297243562312,42.7057816103113,2.66449403345756,,
1960,,54.885300898682,42.4390886132511,2.67561048806685,,
