date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.80900001525879,,,,,
2018,4.53399991989136,64.1292793944163,29.4405055961229,6.43021500946081,93.0,88.0
2017,4.61499977111816,64.0546370565225,29.7043524151016,6.24101052837597,92.0,91.0
2016,5.25500011444092,63.9178934037114,30.0252498129206,6.056856783368,85.0,92.0
2015,4.55600023269653,63.6841195644146,30.4348827119463,5.88099772363908,78.0,92.0
2014,5.03399991989136,63.4157513736593,30.8604587662811,5.72378986005965,84.0,93.0
2013,4.38500022888184,63.0515971980297,31.3678252657798,5.58057753619048,88.0,91.0
2012,4.08500003814697,62.6247116528457,31.9252487692542,5.4500395779001,88.0,91.0
2011,4.66900014877319,62.206250860439,32.462658526019,5.33109061354195,91.0,92.0
2010,4.56899976730347,61.8426797609483,32.9354099378683,5.22191030118341,93.0,91.0
2009,5.46000003814697,61.432044142965,33.4544024534829,5.11355340355212,91.0,86.0
2008,4.41499996185303,61.0530715821101,33.93010305698,5.01682536090991,91.0,89.0
2007,4.71299982070923,60.683909298221,34.3887989301195,4.92729177165947,91.0,95.0
2006,5.27600002288818,60.2669717914587,34.8961452233466,4.83688298519467,91.0,98.0
2005,4.82499980926514,59.7640560869876,35.4962040460872,4.73973986692527,91.0,96.0
2004,6.51300001144409,59.2426310288944,36.0981295160376,4.65923945506792,91.0,92.0
2003,6.81400012969971,58.6886379738764,36.736166255073,4.57519577105061,91.0,86.0
2002,9.39299964904785,58.1289603941603,37.3795951599089,4.49144444593076,86.0,87.0
2001,9.30099964141846,57.6116286729678,37.9712676413352,4.41710368569704,90.0,89.0
2000,9.30399990081787,57.1675952119787,38.4743503016324,4.35805448638892,92.0,86.0
1999,9.33500003814697,56.6872538628071,38.9877671145086,4.32497902268426,82.0,82.0
1998,9.2519998550415,56.2537112074206,39.4370691793535,4.30921961322587,71.0,79.0
1997,9.25800037384033,55.8689101858706,39.8280346531682,4.30305516096116,61.0,75.0
1996,9.27799987792969,55.5317789882708,40.1758765799062,4.29234443182302,81.0,72.0
1995,9.2519998550415,55.2419662944752,40.491659449557,4.2663742559678,75.0,68.0
1994,9.24300003051758,54.9788752648361,40.7777254380216,4.24339929714232,76.0,71.0
1993,9.21100044250488,54.7822521287905,41.0123013372126,4.20544653399688,96.0,66.0
1992,9.04800033569336,54.6492071119654,41.1949923239871,4.15580056404746,87.0,73.0
1991,8.96500015258789,54.5674375251624,41.3294511627478,4.10311131208983,74.0,66.0
1990,,54.5228446648033,41.4240845382232,4.05307079697354,69.0,67.0
1989,,54.4773520773585,41.4969314650911,4.02571645755043,58.0,61.0
1988,,54.4727828130228,41.5229000012745,4.00431718570271,63.0,56.0
1987,,54.4902606396018,41.523213045907,3.98652631449118,56.0,58.0
1986,,54.5035333699526,41.5284237104535,3.96804291959396,46.0,53.0
1985,,54.5007766150465,41.5531212852367,3.94610209971683,48.0,57.0
1984,,54.4250619947179,41.652190032011,3.92274797327115,62.0,67.0
1983,,54.2757965538765,41.8257275766282,3.89847586949533,37.0,45.0
1982,,54.0691521809276,42.0581915136461,3.87265630542634,26.0,34.0
1981,,53.8608737417932,42.2922156171629,3.84691064104382,16.0,28.0
1980,,53.694197147684,42.4840451027384,3.82175774957765,19.0,17.0
1979,,53.4821147312969,42.727238950033,3.79064631867005,,
1978,,53.2728101784035,42.9651124587742,3.76207736282233,,
1977,,53.0396714664109,43.2269241669483,3.73340436664087,,
1976,,52.7164959098379,43.584904539589,3.6985995505731,,
1975,,52.2537466309788,44.093218751086,3.65303461793518,,
1974,,51.9517132606803,44.4244683553784,3.62381838394133,,
1973,,51.5847246449509,44.8240049243802,3.59127043066893,,
1972,,51.1700499854841,45.2737496505791,3.55620036393683,,
1971,,50.7499784098021,45.7289856392651,3.52103595093287,,
1970,,50.3588828506002,46.1541165760115,3.48700057338824,,
1969,,50.0778156589304,46.4634067513164,3.45877758975319,,
1968,,49.7942323841109,46.7733877568375,3.43237985905163,,
1967,,49.5067657645938,47.0866484081093,3.40658582729686,,
1966,,49.2376300072487,47.3818341080385,3.38053588471275,,
1965,,49.0098080104737,47.6371192640448,3.35307272548159,,
1964,,48.9421984744515,47.7366587775287,3.3211427480198,,
1963,,48.9326271065101,47.7751962177098,3.29217667578005,,
1962,,48.9477093891871,47.7878275949708,3.26446301584217,,
1961,,48.9270665135878,47.8393981626443,3.23353532376795,,
1960,,48.8294006981158,47.9740354688227,3.19656383306145,,
