date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,6.33400011062622,,,,,
2018,6.99300003051758,64.5882346402803,13.4579078221324,21.9538575375873,99.0,99.0
2017,8.86699962615967,64.7752200096282,13.6670779014333,21.5577020889385,98.0,98.0
2016,11.0659999847412,64.961544860907,13.8768459328705,21.1616092062225,98.0,98.0
2015,12.4440002441406,65.1513051593257,14.0867530429863,20.761941797688,98.0,98.0
2014,13.8940000534058,65.4166096351603,14.2616904349669,20.3216999298728,98.0,98.0
2013,16.1830005645752,65.6794539035107,14.4378494037203,19.882696692769,98.0,98.0
2012,15.5270004272461,65.9294502877932,14.618610817772,19.4519388944348,97.0,98.0
2011,12.6770000457764,66.1578635643718,14.7996098162806,19.0425266193476,97.0,97.0
2010,10.7700004577637,66.3700878194513,14.9671887413225,18.6627234392262,96.0,98.0
2009,9.43200016021729,66.5379643411917,15.1685449416714,18.2934907171369,95.0,96.0
2008,7.55200004577637,66.6910013237928,15.3328915027908,17.9761071734165,97.0,97.0
2007,7.96400022506714,66.8600150399933,15.438947529604,17.7010374304027,95.0,97.0
2006,7.64699983596802,67.079626627765,15.4706373905299,17.4497359817051,97.0,97.0
2005,7.58199977874756,67.3597218250568,15.4363017729941,17.2039764019491,93.0,93.0
2004,6.31699991226196,67.4266380197119,15.537792711835,17.0355692684531,95.0,95.0
2003,6.13199996948242,67.5247650631682,15.6104081340706,16.8648268027612,96.0,99.0
2002,4.49700021743774,67.6238762863847,15.6928657815574,16.6832579320579,93.0,98.0
2001,3.82800006866455,67.6860913368662,15.8288283253013,16.4850803378326,90.0,97.0
2000,3.80900001525879,67.700817471928,16.0307375504899,16.2684449775821,87.0,96.0
1999,4.57800006866455,67.6761106598183,16.3102211811606,16.0136681590211,92.0,97.0
1998,4.65199995040894,67.5959844339935,16.6507082595624,15.7533073064441,96.0,97.0
1997,6.57100009918213,67.4780037235997,17.0269327537704,15.4950635226299,96.0,94.0
1996,7.2979998588562,67.3492947517372,17.4027779696507,15.247927278612,99.0,95.0
1995,7.06400012969971,67.2273561697795,17.7596004489004,15.0130433813201,94.0,93.0
1994,6.71299982070923,67.0035691232413,18.2511694324087,14.7452614443501,91.0,97.0
1993,5.30000019073486,66.7503981337729,18.7647449543047,14.4848569119224,95.0,93.0
1992,3.98499989509583,66.4645926267143,19.3114107770611,14.2239965962246,99.0,94.0
1991,3.91899991035461,66.1437635090347,19.9013941944014,13.9548422965639,96.0,96.0
1990,,65.7975896591576,20.5272691333032,13.6751412075392,85.0,89.0
1989,,65.4358656944792,21.2085709357625,13.3555633697583,96.0,88.0
1988,,65.0626343669457,21.9017035521463,13.035662080908,84.0,81.0
1987,,64.7095450040377,22.5635375031798,12.7269174927825,81.0,83.0
1986,,64.3978551775384,23.1561320823145,12.4460127401471,75.0,81.0
1985,,64.122761749606,23.6775146880146,12.1997235623793,70.0,72.0
1984,,63.804266018737,24.1666541514313,12.0290798298318,48.0,78.0
1983,,63.5061083023654,24.5888896058436,11.905002091791,48.0,79.0
1982,,63.2181632676424,24.9774512216459,11.8043855107117,46.0,78.0
1981,,62.930745864522,25.3809335871601,11.6883205483179,49.0,75.0
1980,,62.646626528413,25.8235801096179,11.5297933619691,54.0,73.0
1979,,62.4382423469161,26.1948093863559,11.3669482667281,,
1978,,62.2480111182249,26.5786585521602,11.1733303296148,,
1977,,62.0883077301206,26.9515895537747,10.9601027161047,,
1976,,61.9994865784777,27.2481487907612,10.7523646307611,,
1975,,62.006351555743,27.4292727371642,10.5643757070927,,
1974,,61.9049167724468,27.7063266214785,10.3887566060747,,
1973,,61.856227813298,27.9143427998841,10.229429386818,,
1972,,61.8203429656409,28.10411120499,10.0755458293691,,
1971,,61.7322856548111,28.3586074799796,9.90910686520926,,
1970,,61.5731782590905,28.7059576897914,9.72086405111809,,
1969,,61.6756730321104,28.8252523079161,9.49907465997353,,
1968,,61.739129333798,28.9979852382792,9.26288542792278,,
1967,,61.8234006311153,29.1489588792322,9.02764048965256,,
1966,,61.9956173638248,29.1912475243301,8.81313511184503,,
1965,,62.278330181398,29.0940480327862,8.62762178581584,,
1964,,62.3894084589443,29.1279304923086,8.48266104874708,,
1963,,62.4946606848352,29.1392844103687,8.36605490479608,,
1962,,62.5717710037663,29.1648445583643,8.26338443786942,,
1961,,62.6266602901064,29.2186368727076,8.15470283718599,,
1960,,62.6743187544554,29.2991295863203,8.02655165922431,,
