date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.99672536685843,,,,,
2018,5.28620312742873,64.9542444109945,16.0912386216832,18.9545169673224,93.5527207421089,93.0396214710761
2017,5.83346864197189,65.2256094006109,16.1469989456448,18.6273916537443,93.3261296129827,93.4420894255609
2016,6.40430971746488,65.4943017394595,16.2113671773764,18.2943310831641,91.1897594691321,92.2273950200769
2015,6.86920930613436,65.7542477862998,16.2983348691889,17.9474173445113,91.7929024696116,92.1675936617917
2014,7.4596433770793,66.0271546294849,16.3843678308617,17.5884775396535,92.1112879625309,92.325345916226
2013,7.9801510013293,66.294692352967,16.4837283789653,17.2215792680677,92.8228239323975,94.3734268759908
2012,8.06589950091396,66.5501365665571,16.5908529564941,16.8590104769488,92.5845204194465,94.7066356681145
2011,8.01257601175202,66.7852451311314,16.6872166265533,16.5275382423153,91.8466004975851,93.96471438591
2010,8.3033443210129,67.0027593709465,16.7523919920986,16.244848636955,91.3184341450902,93.6214445609169
2009,8.02374999543984,67.1427907897732,16.8702479544836,15.9869612557432,91.1149673379885,94.2962692850249
2008,5.86580808241171,67.2269555053786,16.9913663562609,15.7816781383604,92.6969486401875,95.6057679213539
2007,5.52576221294569,67.2714723553299,17.1176520920713,15.6108755525988,92.879642609608,95.8317651900344
2006,5.9314864109539,67.3110950487082,17.24661585921,15.4422890920817,92.9401123490871,96.1211479800619
2005,6.35360146249111,67.3690349011213,17.3726681505683,15.2582969483105,92.5795184386588,95.6144902319126
2004,6.65940384096759,67.3479786204141,17.5657710239644,15.0862503556215,92.9600665237705,95.4514228502144
2003,6.85644090627804,67.341047998433,17.7566178124251,14.902334189142,92.7425446677817,95.1318777116085
2002,6.7671245789373,67.3440535968459,17.9472300706697,14.7087163324844,91.8977392672483,94.5240853334644
2001,6.3744079364273,67.3349179233012,18.1462054233231,14.5188766533757,91.5130190895517,94.3898371452706
2000,6.53526965611748,67.2999627250524,18.3627969859477,14.3372402889999,90.9140690375059,92.675884245273
1999,7.1061998262234,67.255434111304,18.5579205044694,14.1866453842266,90.6119971051725,93.0321728952365
1998,7.37840245597724,67.1918297980992,18.7599277759001,14.0482424260007,89.3854873885817,90.951416213562
1997,7.35507457411116,67.1258753302738,18.9595600843206,13.9145645854056,89.4900288763606,90.6321904503133
1996,7.5645972842406,67.0896439073324,19.1379823089313,13.7723737837363,89.4997974622523,93.8668360059193
1995,7.40015256696608,67.1016312114521,19.2873403073019,13.611028481246,88.1772154346902,91.4182983664549
1994,7.50626537164488,67.0875031656533,19.4476491920528,13.4648476422939,86.8607333435781,91.0854547642453
1993,7.46819859737966,67.1123864390012,19.5834947349768,13.304118826022,83.4207558945089,87.9974069613593
1992,6.90199357831651,67.1637987890185,19.7080464610823,13.1281547498992,81.8745293597744,87.3707345268378
1991,6.32576317786168,67.214171872633,19.8467380591026,12.9390900682644,82.4093424984037,88.381470294889
1990,,67.2472625009964,20.0146576260581,12.7380798729454,83.3198183566762,87.8941720703492
1989,,67.218912728699,20.2360814151088,12.5450058561922,86.070392967678,89.8358652138278
1988,,67.1637278791026,20.493363184086,12.3429089368115,83.8269791381074,87.4924608250209
1987,,67.0844115708828,20.7717069690684,12.1438814600489,77.1494042523857,86.7436759071046
1986,,66.988320547924,21.0413131582768,11.9703662937992,80.8641527574762,89.1217333097474
1985,,66.8805376058349,21.2841866687455,11.8352757254196,78.8188594246995,86.408060381704
1984,,66.6294364677467,21.5983931692682,11.772170362985,74.7336541575288,88.3410291707586
1983,,66.3381845297435,21.898828010777,11.7629874594795,69.5851055460785,86.5244634758334
1982,,66.0181694349523,22.2014274731764,11.7804030918713,68.8354057130948,85.2340534151876
1981,,65.6824019329652,22.5428961629343,11.7747019041005,67.5795401235354,83.1200470572007
1980,,65.347524543577,22.9435845648,11.708890891623,,
1979,,65.0343310137416,23.3531659979085,11.61250298835,,
1978,,64.7383283768521,23.7985465835044,11.4631250396435,,
1977,,64.4763714016147,24.2499061789275,11.2737224194577,,
1976,,64.2730245246943,24.6535999317233,11.0733755435824,,
1975,,64.1448575222913,24.9787826433564,10.8763598343524,,
1974,,63.9236501524353,25.3517538261221,10.7245960214426,,
1973,,63.754114917538,25.6710511875512,10.5748338949108,,
1972,,63.6296761178117,25.9519850152188,10.4183388669694,,
1971,,63.5104439557236,26.2352506718871,10.2543053723893,,
1970,,63.3840355991582,26.5407315451597,10.0752328556821,,
1969,,63.3034488440047,26.7684752667546,9.92807588924071,,
1968,,63.2245610590173,26.9958394585044,9.77959948247832,,
1967,,63.1692337764016,27.2061709284297,9.6245952951687,,
1966,,63.1301020934264,27.3959511634223,9.47394674315141,,
1965,,63.1238212132487,27.5510253636397,9.32515342311159,,
1964,,63.0338673036959,27.7512831239473,9.21484957235689,,
1963,,62.9403051611102,27.9483478161016,9.11134702278828,,
1962,,62.8668587171804,28.1214035346478,9.01173774817182,,
1961,,62.861948728547,28.2260287012947,8.91202257015825,,
1960,,62.951940640225,28.2337054746217,8.81435388515326,,
