date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,8.1870002746582,,,,,
2018,9.19999980926514,64.4890636781993,16.8360861114438,18.6748502103569,,
2017,10.8000001907349,64.8266710750531,17.4280036426084,17.7453252823385,,
2016,11.8000001907349,65.1181115553017,18.0065943270512,16.8752941176471,,
2015,12.0,65.3705229426548,18.5922712817143,16.0372057756309,,
2014,13.8999996185303,65.5145306213213,19.0714983935938,15.4139709850849,,
2013,14.3000001907349,65.7145923150995,19.493027400083,14.7923802848175,,
2012,14.5,65.9273443323082,19.8878461968256,14.1848094708661,,
2011,15.6999998092651,66.1147162768434,20.2661845504642,13.6190991726924,,
2010,16.1000003814697,66.2582779514509,20.628877092586,13.1128449559631,,
2009,15.0,66.0456994778315,21.0405000361459,12.9138004860227,,
2008,11.4799995422363,65.8589502532128,21.4011405663808,12.7399091804064,,
2007,10.9300003051758,65.718157031695,21.7122836901398,12.5695592781652,,
2006,11.0100002288818,65.620981406156,21.9914840304875,12.3875345633565,,
2005,11.3500003814697,65.5410999620308,22.2695131927215,12.1893868452477,,
2004,10.3100004196167,65.4231486713641,22.5519946974277,12.0248566312082,,
2003,11.7799997329712,65.3269955753932,22.8029005451523,11.8701038794545,,
2002,11.9399995803833,65.2515277016686,23.0338004676437,11.7146718306876,,
2001,11.3999996185303,65.1747161536835,23.2768692225368,11.5484146237797,,
2000,10.0799999237061,65.0813036936898,23.5499978195456,11.3686984867646,,
1999,11.8100004196167,64.926799104741,23.9159630387327,11.1572378565263,,
1998,13.460000038147,64.7305100147406,24.3052694817518,10.9642205035076,,
1997,13.8000001907349,64.5241626008898,24.680947756964,10.7948896421463,,
1996,13.6400003433228,64.3506499284778,24.9946330568106,10.6547170147115,,
1995,13.9300003051758,64.221250913755,25.2381649109117,10.5405841753333,,
1994,14.6000003814697,63.9959058978538,25.6194096632686,10.3846844388776,,
1993,16.9099998474121,63.7745927468523,25.9701518950344,10.2552553581133,,
1992,16.9300003051758,63.5456554901778,26.3167225318155,10.1376219780068,,
1991,16.1800003051758,63.2912917913178,26.692036947497,10.0166712611851,,
1990,,63.00784507548,27.1069425597549,9.88521236476516,,
1989,,62.7755027749633,27.5716803749832,9.65281685005356,,
1988,,62.5049019959493,28.07119013288,9.42390787117076,,
1987,,62.2052805292461,28.5777173549506,9.21700211580332,,
1986,,61.8963150818017,29.06947142273,9.03421349546836,,
1985,,61.5895419773172,29.5546459449512,8.85581207773156,,
1984,,61.263309285764,30.0777099909532,8.65898072328284,,
1983,,60.9872371258626,30.545135413267,8.46762746087046,,
1982,,60.7661165473561,30.9395478961716,8.29433555647226,,
1981,,60.5895132011858,31.2654099522305,8.1450768465837,,
1980,,60.4226045243604,31.5695745708646,8.00782090477502,,
1979,,60.3045376937221,32.0692146046756,7.62624770160231,,
1978,,60.2045896527929,32.5136777953223,7.28173255188486,,
1977,,60.1337610082791,32.8879838118085,6.97825517991236,,
1976,,60.0652785080462,33.2237412572193,6.71098023473455,,
1975,,59.9229435412578,33.6113721019907,6.46568435675151,,
1974,,59.4009718010357,34.0591626520607,6.53986554690358,,
1973,,58.8369204921714,34.5621496406174,6.60092986721118,,
1972,,58.2118119589007,35.1438040914557,6.64438394964362,,
1971,,57.5305626589832,35.8020255333322,6.6674118076846,,
1970,,56.8500976742472,36.478338964026,6.67156336172682,,
1969,,56.615055735811,36.9634199174102,6.42152434677875,,
1968,,56.3046145347443,37.4992591192254,6.19612634603025,,
1967,,55.9752288132946,38.0177584106457,6.00701277605973,,
1966,,55.7445508892366,38.3914138329189,5.86403527784455,,
1965,,55.7250002691884,38.5088235986149,5.76617613219665,,
1964,,55.2021691260732,39.1158608435652,5.68197003036161,,
1963,,54.6377597973408,39.7488694424562,5.61337076020306,,
1962,,53.9390356604975,40.5091041190326,5.55186022046995,,
1961,,53.0741865346165,41.4403053060903,5.48550815929327,,
1960,,52.0982299643309,42.4951045367676,5.40666549890152,,
