date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,3.9760000705719,,,,,
2018,4.18699979782104,66.1267436456077,15.5345549605626,18.3387013938296,90.0,86.0
2017,4.92700004577637,66.6687883755184,15.4494850378567,17.8817265866248,86.0,82.0
2016,5.90100002288818,67.1542968794398,15.4239899051767,17.4217132153836,86.0,89.0
2015,6.81199979782104,67.5084309171689,15.5261421794288,16.9654269034024,86.0,89.0
2014,6.80200004577637,67.8247129032693,15.5453278185739,16.6299592781568,89.0,94.0
2013,7.09600019454956,68.0417842030329,15.6394229985969,16.3187927983702,92.0,92.0
2012,6.79400014877319,68.1919621283315,15.7642016408479,16.0438362308206,94.0,91.0
2011,7.17700004577637,68.3499766284806,15.8255034071869,15.8245199643325,93.0,89.0
2010,6.95900011062622,68.55727939576,15.7755004624884,15.6672201417516,95.0,94.0
2009,6.85900020599365,68.7304641231794,15.705249604964,15.5642862718566,96.0,95.0
2008,5.78700017929077,68.9093894976057,15.5608793041144,15.5297311982798,96.0,96.0
2007,6.41300010681152,69.0619780967072,15.4253772275223,15.5126446757705,97.0,96.0
2006,7.26900005340576,69.1140633046384,15.456568981184,15.4293677141776,95.0,97.0
2005,7.17399978637695,69.0322786387877,15.7384190185397,15.2293023426726,97.0,97.0
2004,7.7189998626709,68.7962884221507,16.1493631094985,15.0543484683508,97.0,97.0
2003,6.94999980926514,68.4464476195128,16.7982671779585,14.7552852025287,97.0,97.0
2002,8.10999965667725,68.0708514463714,17.5593102232329,14.3698383303956,98.0,98.0
2001,6.55800008773804,67.8308544818287,18.1958766402827,13.9732688778886,98.0,99.0
2000,6.96700000762939,67.8035637307132,18.5876140303438,13.608822238943,98.0,99.0
1999,6.23699998855591,67.581538806514,19.1069966645178,13.3114645289682,98.0,97.0
1998,5.62900018692017,67.5528745605749,19.4078140018337,13.0393114375914,97.0,97.0
1997,5.51399993896484,67.6142890387163,19.6166255050667,12.769085456217,97.0,97.0
1996,6.73999977111816,67.5311083372435,20.0198432821825,12.4490483805739,94.0,98.0
1995,8.01000022888184,67.1624655765962,20.787690562677,12.0498438607267,93.0,98.0
1994,8.17000007629395,66.912378717753,21.3398180146048,11.7478032676422,91.0,98.0
1993,8.27099990844727,66.4901073038105,22.1038084261758,11.4060842700137,93.0,91.0
1992,8.26000022888184,66.0232140713597,22.9308727624637,11.0459131661766,91.0,98.0
1991,8.1899995803833,65.7605324956119,23.5338866037273,10.7055809006608,92.0,98.0
1990,,65.8463265608476,23.7485674242927,10.4051060148596,92.0,96.0
1989,,65.6588714241596,24.1766453637321,10.1644832121083,90.0,96.0
1988,,65.7010917027768,24.3570606312033,9.94184766601991,78.0,96.0
1987,,65.836850105632,24.4178861579155,9.74526373645248,90.0,92.0
1986,,65.8012808425334,24.6091509242393,9.58956823322729,81.0,89.0
1985,,65.4410805402424,25.0698119228266,9.48910753693099,88.0,95.0
1984,,65.0118291149727,25.4390147079912,9.5491561770361,86.0,
1983,,64.3097428060275,25.9840639460727,9.70619324789973,83.0,
1982,,63.5318923929748,26.5538278221369,9.91427978488827,,
1981,,63.0300711050332,26.8738920418948,10.096036853072,,
1980,,63.0017396368946,26.8079093409653,10.19035102214,,
1979,,63.0697268630248,26.7330929175703,10.1971802194049,,
1978,,63.5945594596524,26.3031619608205,10.102278579527,,
1977,,64.3814784350669,25.6983236429581,9.920197921975,,
1976,,65.0169755720143,25.3005861396587,9.68243828832704,,
1975,,65.2363375506556,25.3477637381914,9.41589871115295,,
1974,,65.5360620146654,25.2436153901021,9.22032259523245,,
1973,,65.5062132932152,25.4879837962539,9.00580291053092,,
1972,,65.2884372701963,25.9230569007284,8.78850582907531,,
1971,,65.2343926296311,26.1646352359698,8.60097213439901,,
1970,,65.5940210164908,25.9421922650792,8.46378671842999,,
1969,,65.4584500225901,26.2079203347058,8.33362964270409,,
1968,,65.4781112318122,26.2759903272696,8.24589844091817,,
1967,,65.5629166484736,26.2613603868431,8.17572296468333,,
1966,,65.4936094188972,26.4327160167569,8.07367456434588,,
1965,,65.124078101225,26.9704360798961,7.90548581887894,,
1964,,64.9403047357141,27.3462648125293,7.7134304517566,,
1963,,64.6605041422485,27.8477191268933,7.4917767308582,,
1962,,64.3828837395505,28.3611893517899,7.25592690865966,,
1961,,64.2436007876805,28.7255270204229,7.03087219189655,,
1960,,64.2966220099894,28.874963004875,6.8284149851356,,
