date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,1.02999997138977,,,,,
2018,1.01699995994568,57.0862309044811,39.9755730179801,2.9381960775388,99.0,97.0
2017,1.06299996376038,57.0141076329353,40.1361293138338,2.84976305323087,97.0,98.0
2016,1.11300003528595,56.9103561137722,40.3238388914327,2.76580499479511,95.0,98.0
2015,1.14300000667572,56.7196299504155,40.5914608150481,2.6889092345364,96.0,98.0
2014,1.1690000295639,56.5815260884746,40.7720665522036,2.64640735932181,97.0,98.0
2013,1.17799997329712,56.3891557334396,40.993372080827,2.61747218573343,95.0,98.0
2012,1.13800001144409,56.1731913396747,41.2277517985629,2.59905686176245,97.0,98.0
2011,1.10199999809265,55.99501269317,41.4197503218346,2.58523698499543,95.0,97.0
2010,1.07200002670288,55.8895815640434,41.5393624559707,2.57105597998593,95.0,97.0
2009,1.00999999046326,55.6973536125249,41.6960533672978,2.60659302017731,95.0,97.0
2008,0.861000001430511,55.5555893863154,41.8051843796242,2.63922623406037,92.0,97.0
2007,0.856000006198883,55.4137551803438,41.9141562583535,2.67208856130261,94.0,97.0
2006,0.88400000333786,55.1932102054806,42.0921281602134,2.71466163430601,95.0,99.0
2005,0.920000016689301,54.8660411539765,42.3586191059833,2.77533974004026,89.0,95.0
2004,0.924000024795532,54.3091523046305,42.7594808792649,2.93136681610465,84.0,89.0
2003,0.919000029563904,53.6236609314702,43.2628648683833,3.11347420014652,90.0,96.0
2002,0.889999985694885,52.9391151837058,43.7495757713841,3.31130904491009,69.0,88.0
2001,0.811999976634979,52.392482902766,44.1107300116776,3.49678708555639,69.0,77.0
2000,0.75900000333786,51.9869906541491,44.3733117073903,3.63969763846063,74.0,90.0
1999,0.71399998664856,52.5322100337091,43.9299987175443,3.53779124874654,78.0,85.0
1998,0.648000001907349,53.3889086606225,43.2113680670512,3.39972327232628,72.0,79.0
1997,0.601999998092651,54.2189201983021,42.5387400833751,3.24233971832276,66.0,73.0
1996,0.560000002384186,54.7370768556089,42.1775132223657,3.08540992202534,76.0,89.0
1995,0.505999982357025,55.0084425669858,42.0607059545155,2.93085147849865,84.0,83.0
1994,0.456999987363815,53.4622382674886,43.747503689612,2.79025804289939,25.0,23.0
1993,0.407999992370605,51.644500257593,45.7342773674011,2.62122237500593,74.0,83.0
1992,0.347000002861023,50.0819576249388,47.4641179879455,2.45392438711572,82.0,85.0
1991,0.300000011920929,49.0254921876048,48.670562335764,2.30394547663128,89.0,91.0
1990,,48.4075472754258,49.4222021978131,2.17025052676117,83.0,84.0
1989,,47.8337113516106,50.0360657607512,2.13022288763822,83.0,82.0
1988,,47.7061072423133,50.1795309974012,2.11436176028552,79.0,80.0
1987,,47.821270348318,50.0653762701175,2.11335338156453,78.0,88.0
1986,,48.0113368750593,49.8700523965001,2.11861072844062,79.0,87.0
1985,,48.2332125297162,49.6392078532058,2.12757961707797,52.0,50.0
1984,,48.4603774825114,49.3750384348694,2.16458408261917,53.0,55.0
1983,,48.6963405248305,49.0901039891196,2.21355548604985,53.0,59.0
1982,,48.9567911304266,48.7718993569661,2.27130951260726,48.0,38.0
1981,,49.2607968247702,48.4087072632332,2.33049591199666,42.0,17.0
1980,,49.6161691743097,47.9999076322179,2.38392319347247,,
1979,,49.749107067,47.7950485024856,2.45584443051432,,
1978,,49.8715735635604,47.6098470933779,2.51857934306169,,
1977,,49.9864135775724,47.4412524168259,2.57233400560169,,
1976,,50.0990100328243,47.281634776256,2.61935519091971,,
1975,,50.2181361127187,47.1204704280197,2.66139345926163,,
1974,,50.0854291236035,47.1948289739667,2.71974190242978,,
1973,,49.9064510653717,47.3240475189137,2.76950141571452,,
1972,,49.7024747042052,47.4862460699474,2.81127922584736,,
1971,,49.512623084078,47.6396760997655,2.84770081615647,,
1970,,49.3657245330362,47.7536609500612,2.88061451690257,,
1969,,48.9373872740093,48.1275579930704,2.9350547329202,,
1968,,48.5488448069787,48.4597190299965,2.99143616302481,,
1967,,48.2080858956501,48.7454014227271,3.04651268162279,,
1966,,47.9068266379743,49.0003097830946,3.09286357893102,,
1965,,47.6525182419825,49.2233577734227,3.1241239845948,,
1964,,47.7374668287687,49.111846897682,3.15068627354932,,
1963,,47.8592743845517,48.9825366560841,3.15818895936426,,
1962,,48.0677944116745,48.781206025937,3.15099956238847,,
1961,,48.4570551891473,48.4044591563623,3.13848565449042,,
1960,,49.0837592000496,47.7900123382689,3.12622846168153,,
