date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,8.35900020599365,,,,,
2018,8.3120002746582,56.8788909340281,38.3206970922199,4.80041197375197,31.0,34.0
2017,8.44299983978271,56.770342765879,38.5411974282321,4.68845980588886,58.0,74.0
2016,8.57800006866455,56.7543115634719,38.6537126995142,4.59197573701391,68.0,80.0
2015,8.6560001373291,56.6685442321704,38.8247817976053,4.50667397022422,69.0,84.0
2014,8.72000026702881,56.9126162073863,38.4703024123275,4.61708138028623,82.0,81.0
2013,8.79599952697754,57.0633081303286,38.2035256242201,4.7331662454514,90.0,85.0
2012,8.7519998550415,57.0636049690886,38.0974038680198,4.83899116289155,76.0,82.0
2011,5.67999982833862,56.9320794371336,38.1503075175096,4.91761304535683,59.0,82.0
2010,5.60200023651123,56.7257688936214,38.3088911475727,4.96533995880591,56.0,78.0
2009,5.46299982070923,56.6240057218405,38.4403649840699,4.9356292940896,45.0,64.0
2008,5.13500022888184,56.4189170754599,38.6902975505148,4.89078537402531,44.0,39.0
2007,5.10400009155273,56.1539391142898,39.0011315821276,4.84492930358261,63.0,65.0
2006,5.14400005340576,55.8891174064,39.3098034012252,4.80107919237489,54.0,50.0
2005,5.19799995422363,55.6427247992789,39.6050676859904,4.75220751473068,57.0,59.0
2004,5.18499994277954,55.4958284338429,39.8152192172014,4.68895234895571,25.0,63.0
2003,5.15799999237061,55.3931622005364,39.9844493024723,4.62238849699128,62.0,90.0
2002,5.07999992370605,55.3005266230932,40.1469329448378,4.55254043206902,99.0,92.0
2001,4.96000003814697,55.137634555738,40.3809751870097,4.48139025725233,92.0,90.0
2000,4.63299989700317,54.8431105047749,40.7551560869914,4.40173340823369,93.0,98.0
1999,4.32999992370605,55.0449573466813,40.560109210928,4.39493344239066,91.0,97.0
1998,3.98699998855591,55.1750472983528,40.4596184888827,4.36533421276448,99.0,99.0
1997,3.69600009918213,55.2275844433596,40.4648162354418,4.3075993211986,99.0,96.0
1996,3.4210000038147,55.2180644407443,40.5561884731107,4.22574708614495,96.0,95.0
1995,3.14000010490417,55.1536570736354,40.7123619556141,4.13398097075047,96.0,94.0
1994,2.87700009346008,55.3777846277876,40.5497528068574,4.07246256535502,94.0,93.0
1993,2.61999988555908,55.5939181062596,40.3879870032731,4.01809489046727,92.0,92.0
1992,2.34100008010864,55.7725542328842,40.2586258988458,3.96881986826999,90.0,91.0
1991,2.09999990463257,55.8571193375489,40.2318335091496,3.91104715330158,77.0,79.0
1990,,55.794426392634,40.3727204044151,3.83285320295081,89.0,90.0
1989,,55.5088304310238,40.8009139187353,3.69025565024083,82.0,66.0
1988,,55.1761104501289,41.2979625223082,3.52592702756296,75.0,90.0
1987,,54.8498120709471,41.8016338955674,3.34855403348554,78.0,93.0
1986,,54.5233705401634,42.2986844727925,3.17794498704405,91.0,94.0
1985,,54.1202575160948,42.8520532533283,3.02768923057691,81.0,89.0
1984,,53.5209233396966,43.4975635486788,2.98151311162464,83.0,96.0
1983,,52.8853440436496,44.1737395170254,2.94091643932505,78.0,89.0
1982,,52.253259792085,44.8497826805277,2.89695752738734,59.0,87.0
1981,,51.6396324972667,45.5222592339218,2.8381082688115,,66.0
1980,,51.0065905802926,46.2298665809355,2.7635428387719,,29.0
1979,,50.2995366391149,46.9771680054802,2.72329535540491,,
1978,,49.5561313617383,47.7715651321215,2.67230350614013,,
1977,,48.8383020936668,48.5530987312693,2.60859917506396,,
1976,,48.1862870569086,49.2751055018475,2.53860744124384,,
1975,,47.5895057446204,49.9441724641415,2.46632179123805,,
1974,,47.2589515173305,50.3075939759517,2.4334545067178,,
1973,,47.0617476354256,50.5353880051591,2.40286435941531,,
1972,,46.9761568542255,50.6531066695633,2.37073647621117,,
1971,,46.9146499969054,50.7540591281385,2.33129087495616,,
1970,,46.7757371689638,50.9385325779433,2.28573025309293,,
1969,,46.5330960854093,51.1978647686833,2.26903914590747,,
1968,,46.2843759773651,51.4550466589568,2.26057736367802,,
1967,,46.1092437601079,51.6362714921335,2.25448474775856,,
1966,,46.1219991888148,51.6388236284466,2.23917718273859,,
1965,,46.3362035040219,51.4458419254805,2.21795457049758,,
1964,,46.6475328760682,51.1496489435877,2.20281818034408,,
1963,,47.1658344415728,50.6695439071923,2.16462165123496,,
1962,,47.7715588723051,50.1252418463239,2.10319928137092,,
1961,,48.2413808483118,49.7212434770974,2.03737567459079,,
1960,,48.4318183910374,49.5862062616797,1.98197534728295,,
