date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,13.3690004348755,,,,,
2018,13.1479997634888,54.5543719316868,42.5199499592471,2.9256781090661,95.0,95.0
2017,13.2729997634888,54.2375500388722,42.8550043701018,2.90744559102608,90.0,95.0
2016,13.3999996185303,53.9756036353437,43.1310800238157,2.89331634084054,93.0,96.0
2015,13.4720001220703,53.7802358698704,43.3405872678407,2.8791768622889,93.0,96.0
2014,13.5319995880127,53.6441063317784,43.4579797370828,2.89791393113878,92.0,95.0
2013,13.6160001754761,53.5965473977937,43.483421574599,2.92003102760728,91.0,97.0
2012,13.5900001525879,53.6087344217745,43.4459990233753,2.94526655485022,92.0,96.0
2011,14.1120004653931,53.6222930350524,43.4057358392404,2.97197112570723,91.0,96.0
2010,14.6599998474121,53.590654817016,43.406645192409,3.00269999057498,92.0,98.0
2009,15.1149997711182,53.4581182196548,43.4692624348973,3.07261934544793,90.0,98.0
2008,15.2150001525879,53.2953482935951,43.5530621785881,3.15158952781674,93.0,99.0
2007,15.8500003814697,53.0974143114853,43.6710763680096,3.23150932050511,86.0,97.0
2006,16.6499996185303,52.8843834464161,43.8196201161546,3.29599643742926,85.0,97.0
2005,16.4699993133545,52.6684108920951,43.9976630766104,3.33392603129445,88.0,97.0
2004,16.1200008392334,52.725758925958,43.8989963379018,3.37524473614029,91.0,96.0
2003,16.3600006103516,52.7487285177675,43.8706246052588,3.38064687697371,87.0,94.0
2002,17.6299991607666,52.6996140986253,43.9479948727339,3.3523910286408,85.0,92.0
2001,15.7299995422363,52.5556975579427,44.128354806397,3.31594763566025,75.0,92.0
2000,14.3999996185303,52.3449691414433,44.3702464466969,3.28478441185981,69.0,82.0
1999,14.4289999008179,51.8630456062133,44.7502482869983,3.38670610678842,64.0,78.0
1998,14.3529996871948,51.2985317160931,45.2237246822587,3.47774360164819,59.0,73.0
1997,14.3590002059937,50.7016019789151,45.7432710995936,3.55512692149125,60.0,73.0
1996,14.3780002593994,50.1644171412343,46.2288686605982,3.6067141981675,57.0,68.0
1995,14.3549995422363,49.7349595224715,46.6311760506691,3.63386442685946,74.0,79.0
1994,14.3470001220703,49.1991624622374,47.1555394160415,3.64529812172113,65.0,83.0
1993,14.3179998397827,48.7486423950512,47.5980230123877,3.65333459256111,57.0,60.0
1992,14.1660003662109,48.3857243770871,47.9562676599024,3.65800796301053,52.0,68.0
1991,14.08899974823,48.1001344747286,48.2575683033225,3.6422972219489,77.0,87.0
1990,,47.8227315051716,48.5693194305799,3.6079490642485,71.0,92.0
1989,,47.8567744154058,48.4387895460798,3.70443603851444,45.0,63.0
1988,,48.0328375336541,48.1749569669418,3.79220549940416,69.0,77.0
1987,,48.2195657300415,47.9093729025704,3.87106136738803,69.0,72.0
1986,,48.2132385110166,47.8530005864338,3.93376090254959,58.0,65.0
1985,,47.9146811025123,48.1110136860966,3.9743052113911,35.0,48.0
1984,,47.9942428692295,47.968958173278,4.03679895749254,48.0,49.0
1983,,47.8706983555301,48.0418736271347,4.08742801733521,40.0,26.0
1982,,47.681280347431,48.1789028178501,4.13981683471897,32.0,34.0
1981,,47.684361256009,48.1129180730285,4.20272067096246,25.0,42.0
1980,,48.0802555483642,47.625112219972,4.29463223166378,,
1979,,47.8595349932057,48.0200297450273,4.12043526176694,,
1978,,47.8980218618936,48.1468027255815,3.95517541252491,,
1977,,48.1534445579389,48.0444898422427,3.80206559981841,,
1976,,48.4657409248839,47.9007030802167,3.63355599489945,,
1975,,48.6817099280714,47.8770237436551,3.44126632827347,,
1974,,48.5274546529968,47.8484818611987,3.62406348580442,,
1973,,48.306151213128,47.8745092117185,3.81933957515353,,
1972,,48.1048066312521,47.8661431467652,4.0290502219827,,
1971,,48.0490392549805,47.6836024991159,4.26735824590357,,
1970,,48.1867925540475,47.2761654417682,4.53704200418433,,
1969,,49.2214544802571,46.7761733349884,4.00237218475458,,
1968,,50.5956701823306,45.9043227009408,3.50000711672858,,
1967,,52.296207033374,44.6470821637986,3.05671080282746,,
1966,,54.290376682834,43.0276657147606,2.68195760240545,,
1965,,56.5216051285212,41.1329593786599,2.34543549281884,,
1964,,57.3657762496694,39.8680710051807,2.7661527451499,,
1963,,58.3845806542012,38.509442481045,3.10597686475378,,
1962,,59.6101056157819,37.0042959723321,3.38559841188604,,
1961,,61.1482616637256,35.226463576979,3.62527475929538,,
1960,,63.1317843923984,33.0534042487014,3.81481135890019,,
