date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.92700004577637,,,,,,,
2018,6.03999996185303,,,71.6430638491404,25.0428481279098,3.31408802294981,98.0,96.0
2017,5.8899998664856,,95.32863,71.5334036893369,25.2590610141107,3.20753529655243,96.0,98.0
2016,5.65000009536743,,,71.3689917104061,25.5246860791333,3.10632221046056,98.0,98.0
2015,5.59000015258789,,,71.1564409828756,25.8228450409042,3.02071397622026,98.0,98.0
2014,5.71999979019165,,,70.6265343498186,26.4127128868679,2.9607527633135,98.0,98.0
2013,5.57000017166138,,94.42634,69.9822631121548,27.0811194667227,2.93661742112246,98.0,98.0
2012,5.51999998092651,,,69.2198498365626,27.8401503692347,2.93999979420269,98.0,98.0
2011,5.76999998092651,,,68.334816244852,28.7100573027293,2.9551264524187,98.0,98.0
2010,5.55000019073486,,,67.3271092302485,29.7034538021151,2.96943696763641,98.0,98.0
2009,5.38000011444092,,,66.6212096798148,30.4073220646419,2.97146825554332,98.0,98.0
2008,5.07999992370605,,,65.8283794362919,31.2032532076644,2.96836735604374,97.0,98.0
2007,5.73000001907349,,,64.9582282376804,32.0798264113577,2.96194535096194,96.0,96.0
2006,6.25,,,64.0544715125247,32.986295789383,2.95923269809224,95.0,96.0
2005,6.05000019073486,5.3,,63.1615024120364,33.8738957455945,2.96460184236911,97.0,96.0
2004,5.82000017166138,,82.85774,62.3381629505822,34.6984711932667,2.96336585615105,97.0,96.0
2003,5.55999994277954,,,61.490839528195,35.5394164107031,2.9697440611019,96.0,95.0
2002,5.26999998092651,,,60.6183823181075,36.4011422353809,2.98047544651159,97.0,95.0
2001,4.61999988555908,,,59.700932553594,37.3072044512189,2.99186299518711,94.0,97.0
2000,4.57000017166138,,79.35094,58.7265253612312,38.2723775049975,3.00109713377129,94.0,95.0
1999,4.34999990463257,,,58.3000186139542,38.7165938573357,2.98338752871013,92.0,93.0
1998,4.69999980926514,,,57.7457941302423,39.2888215234422,2.96538434631546,93.0,94.0
1997,5.34600019454956,,,57.0163963349163,40.0360186986832,2.94758496640051,92.0,92.0
1996,5.89599990844727,,,56.1675951443337,40.902382046297,2.93002280936931,92.0,93.0
1995,6.39200019836426,,,55.3163357679875,41.772122831813,2.91154140019949,94.0,96.0
1994,6.95900011062622,13.5,,54.977734735076,42.1256781009823,2.89658716394164,93.0,95.0
1993,7.02199983596802,,,54.8244025405643,42.2950118834915,2.88058557594429,91.0,94.0
1992,7.19999980926514,,70.82165,54.8514696004228,42.2849022759245,2.86362812365273,88.0,91.0
1991,7.30200004577637,,,54.9952440556061,42.161050574225,2.84370537016892,95.0,91.0
1990,,,,55.1780684541529,42.0048004824506,2.81713106339649,88.0,92.0
1989,,,,55.1684549322664,42.0837227840121,2.74782228372155,90.0,96.0
1988,,,,55.1701908456769,42.1387156353894,2.69109351893374,81.0,89.0
1987,,,,55.1369264882192,42.2134354298945,2.64963808188626,77.0,89.0
1986,,,,55.1055464393822,42.2667917920367,2.62766176858114,77.0,86.0
1985,,,,55.1813085043951,42.1918359130156,2.6268555825893,79.0,81.0
1984,,,,54.8012720034747,42.5027824673395,2.69594552918575,71.0,76.0
1983,,,,54.4625783086896,42.7667230031156,2.77069868819485,65.0,67.0
1982,,,,54.1376247366308,43.0105307624008,2.85184450096839,53.0,62.0
1981,,,,53.7724979453101,43.2901610052585,2.93734104943135,12.0,53.0
1980,,,,53.3493040688539,43.626368161052,3.02432777009405,8.0,41.0
1979,,,,53.2620910628855,43.6719290928894,3.06597984422506,,
1978,,,,53.1037852534653,43.7861902231392,3.11002452339553,,
1977,,,,52.89280293851,43.9509767478015,3.15622031368848,,
1976,,,,52.6812634132375,44.1132980115408,3.20543857522165,,
1975,,,,52.5188985285113,44.2234934381635,3.25760803332519,,
1974,,,,52.4550884452718,44.2550972906495,3.28981426407875,,
1973,,,,52.405890234438,44.2690567218962,3.32505304366573,,
1972,,,,52.3715424912052,44.2655291671946,3.36292834160023,,
1971,,,,52.34497246676,44.2529012596412,3.40212627359881,,
1970,,,,52.3347569875826,44.2251193332041,3.44012367921329,,
1969,,,,52.4178628776493,44.1089704394932,3.47316668285742,,
1968,,,,52.487031880008,44.0110003511619,3.50196776883004,,
1967,,,,52.5584609447108,43.9147779605342,3.526761094755,,
1966,,,,52.6548758144236,43.7973807248417,3.5477434607347,,
1965,,,,52.8000355105205,43.6356785761107,3.56428591336878,,
1964,,,,52.8528864314397,43.5624371164719,3.58467645208836,,
1963,,,,52.9012629820263,43.4971027555871,3.60163426238666,,
1962,,,,52.957422160977,43.4286485745576,3.61392926446541,,
1961,,,,53.0553683667101,43.3237185557307,3.62091307755923,,
1960,,,,53.2335798092224,43.1446023150642,3.62181787571341,,
