date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,6.60400009155273,,,,,
2018,6.52699995040894,53.8577459283503,43.0554303706314,3.08682370101833,82.0,81.0
2017,6.61499977111816,53.6891458819127,43.2363351125906,3.07451900549666,90.0,93.0
2016,6.70599985122681,53.5572536373883,43.3775219813307,3.06522438128101,93.0,93.0
2015,6.75699996948242,53.4647935011513,43.4737375191713,3.06146897967748,80.0,89.0
2014,7.61100006103516,53.4072197025991,43.5195667447563,3.0732135526446,80.0,89.0
2013,8.54199981689453,53.3621444239417,43.5449235925408,3.09293198351756,84.0,92.0
2012,9.42700004577637,53.3285947342753,43.5543313262685,3.11707393945616,83.0,91.0
2011,10.3599996566772,53.3165324119757,43.543855829098,3.13961175892634,84.0,92.0
2010,10.3450002670288,53.3375300556517,43.5069775175365,3.15549242681187,81.0,89.0
2009,10.2329998016357,53.2762971050704,43.5399467081051,3.18375618682451,79.0,86.0
2008,9.80200004577637,53.224116119177,43.5713475912478,3.20453628957523,77.0,88.0
2007,9.85200023651123,53.1753611680591,43.6074194751811,3.21721935675977,84.0,94.0
2006,10.0299997329712,53.1157322951805,43.6620803516487,3.22218735317074,80.0,89.0
2005,8.94299983978271,53.036307284793,43.7444026735158,3.21929004169118,74.0,84.0
2004,7.80299997329712,52.8526561729452,43.9181456793625,3.2291981476923,57.0,87.0
2003,6.71299982070923,52.6533356315587,44.1144102618734,3.2322541065679,60.0,73.0
2002,5.65000009536743,52.4497167799252,44.3215228294799,3.22876039059486,54.0,60.0
2001,5.60500001907349,52.2565529412609,44.5240603325753,3.21938672616386,48.0,52.0
2000,5.60599994659424,52.0873193740512,44.708327456124,3.20435316982478,48.0,52.0
1999,5.62200021743774,51.8186545705895,44.987481086816,3.19386434259455,60.0,60.0
1998,5.58099985122681,51.555782157335,45.2645945441129,3.17962329855215,62.0,59.0
1997,5.58400011062622,51.3215324223511,45.51681070723,3.16165687041891,65.0,59.0
1996,5.5939998626709,51.1530136058444,45.7072538211916,3.13973257296394,70.0,70.0
1995,5.58199977874756,51.0725919556869,45.8141181225118,3.11328992180125,80.0,80.0
1994,5.5770001411438,50.7748312624364,46.1365633747418,3.08860536282181,59.0,57.0
1993,5.56199979782104,50.5556379425193,46.3808595364396,3.06350252104109,58.0,58.0
1992,5.48099994659424,50.4035120479153,46.5597159283193,3.03677202376542,57.0,59.0
1991,5.44000005722046,50.2883374577203,46.7055105179604,3.00615202431927,54.0,51.0
1990,,50.1930495261487,46.8370344180752,2.96991605577609,51.0,51.0
1989,,50.038590996639,47.0224413799543,2.93896762340664,48.0,47.0
1988,,49.9111213275371,47.1827570436542,2.90612162880874,60.0,59.0
1987,,49.8310148966935,47.2975763821684,2.87140872113807,66.0,57.0
1986,,49.8447605582833,47.319509320138,2.83573012157862,71.0,54.0
1985,,49.9945065362946,47.2058358355249,2.79965762818043,,
1984,,50.0400004842751,47.1827138010751,2.77728571464983,,
1983,,50.1709479746688,47.0757222346661,2.75332979066509,,
1982,,50.3830879840886,46.8901926125672,2.72671940334421,,
1981,,50.6656105346555,46.6388140011469,2.69557546419754,,
1980,,51.0207561481704,46.3202323413333,2.65901151049629,,
1979,,51.2727369000487,46.0835555222165,2.64370757773485,,
1978,,51.5609097286986,45.8166790127388,2.62241125856256,,
1977,,51.8976692912535,45.5073941708929,2.59493653785361,,
1976,,52.3093587230379,45.1289976742889,2.56164360267316,,
1975,,52.8226642373819,44.6542549199306,2.52308084268758,,
1974,,52.7383443672302,44.7363632061873,2.5252924265825,,
1973,,52.6949348009162,44.7810801967505,2.52398500233333,,
1972,,52.7032808425935,44.7782204885236,2.51849866888295,,
1971,,52.7806698058593,44.711797499282,2.50753269485862,,
1970,,52.9564850775278,44.5529247763655,2.4905901461067,,
1969,,52.730128453578,44.7618162823995,2.5080552640225,,
1968,,52.5268285342952,44.9520353613248,2.52113610437998,,
1967,,52.3868589030178,45.0840127970656,2.52912829991661,,
1966,,52.3800576505463,45.0877359190137,2.53220643044,,
1965,,52.560743288669,44.9096032557165,2.52965345561458,,
1964,,52.5286161063549,44.9135937572883,2.55779013635682,,
1963,,52.6429392466914,44.7737483391514,2.58331241415718,,
1962,,52.8768993559123,44.5189066040393,2.60419404004835,,
1961,,53.1637087978617,44.2182723278582,2.61801887428011,,
1960,,53.4702903158308,43.906835240301,2.62287444386823,,
