date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,12.6859998703003,,,,,
2018,12.7329998016357,65.964526556121,15.6896807521828,18.3457926916963,92.0,96.0
2017,13.4770002365112,66.2793608065934,15.8258875685363,17.8947516248703,86.0,95.0
2016,15.2569999694824,66.5996119477798,15.9772296315221,17.4231584206982,82.0,92.0
2015,17.6599998474121,66.8791048823238,16.1642114024043,16.9566837152719,86.0,95.0
2014,19.2229995727539,67.2218557972212,16.3591899521357,16.418954250643,86.0,93.0
2013,22.1539993286133,67.5160759662846,16.5750074224367,15.9089166112787,92.0,95.0
2012,24.0,67.7456090320111,16.8106823705696,15.4437085974193,87.0,91.0
2011,22.9659996032715,67.8867784299216,17.0643844124051,15.0488371576733,93.0,94.0
2010,19.2180004119873,67.9246076242535,17.3351014218929,14.7402909538536,95.0,91.0
2009,16.1420001983643,67.8553336635135,17.5639953068464,14.5806710296401,95.0,95.0
2008,13.7049999237061,67.6634250184573,17.8166738281011,14.5199011534416,92.0,95.0
2007,18.0599994659424,67.3886861985555,18.0971159250142,14.5141978764304,95.0,94.0
2006,20.8500003814697,67.1085142501887,18.40079624628,14.4906895035313,88.0,92.0
2005,20.8500003814697,66.8853605545026,18.7142674566897,14.4003719888077,96.0,98.0
2004,18.5,66.5684768808063,19.0773420379123,14.3541810812814,89.0,88.0
2003,15.1999998092651,66.3096624557668,19.4594324680158,14.2309050762174,87.0,89.0
2002,13.8000001907349,66.1230101434072,19.8360984607549,14.0408913958379,92.0,95.0
2001,12.8000001907349,66.0103511211837,20.1834855561204,13.8061633226959,90.0,93.0
2000,12.6000003814697,65.96545433542,20.4978363373897,13.5367093271903,89.0,95.0
1999,13.6999998092651,66.0954101057646,20.7239493032373,13.1806405909981,84.0,92.0
1998,13.6999998092651,66.2489078938701,20.9586497799681,12.7924423261618,88.0,93.0
1997,13.8000001907349,66.3910559919286,21.2363061662825,12.3726378417889,92.0,94.0
1996,13.1999998092651,66.4792389254738,21.5990154285711,11.9217456459551,90.0,91.0
1995,13.3999996185303,66.4936691046784,22.0654953836684,11.4408355116532,86.0,89.0
1994,13.3920001983643,66.4747003714499,22.447533251866,11.0777663766841,81.0,85.0
1993,13.3660001754761,66.4644293114953,22.8332878691481,10.7022828193566,85.0,85.0
1992,13.2279996871948,66.4721330489547,23.2070503798982,10.3208165711471,82.0,84.0
1991,13.1579999923706,66.5247544826884,23.5296322866238,9.94561323068781,,
1990,,66.6412858182277,23.7727281084929,9.58598607327945,,
1989,,,,,,
1988,,,,,,
1987,,,,,,
1986,,,,,,
1985,,,,,,
1984,,,,,,
1983,,,,,,
1982,,,,,,
1981,,,,,,
1980,,,,,,
1979,,,,,,
1978,,,,,,
1977,,,,,,
1976,,,,,,
1975,,,,,,
1974,,,,,,
1973,,,,,,
1972,,,,,,
1971,,,,,,
1970,,,,,,
1969,,,,,,
1968,,,,,,
1967,,,,,,
1966,,,,,,
1965,,,,,,
1964,,,,,,
1963,,,,,,
1962,,,,,,
1961,,,,,,
1960,,,,,,
