date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,,,,,,,,
2018,,,95.86771,68.7700832166104,23.6353711790393,7.59454560435034,96.0,99.0
2017,,,,69.0918708125039,23.4790184405401,7.42911074695596,99.0,97.0
2016,,,,69.3668373210741,23.3204471842023,7.31271549472364,97.0,96.0
2015,,,,69.5540019794058,23.2053738760555,7.24062414453874,98.0,97.0
2014,,,,69.7054609138672,23.0345486387518,7.25999044738099,99.0,99.0
2013,,,,69.7724717597302,22.8973713796242,7.33015686064564,97.0,98.0
2012,,3.6,,69.736401628457,22.8264743042882,7.43712406725484,98.0,98.0
2011,,,,69.6527105122819,22.8203258491778,7.52696363854032,99.0,99.0
2010,,,93.95423,69.6145248948106,22.8118425666199,7.57363253856942,99.0,99.0
2009,,,,69.2760071364067,23.3397942776591,7.38419858593423,97.0,99.0
2008,,,,68.8885449258698,23.9085009231722,7.202954150958,99.0,99.0
2007,,,,68.519669656336,24.4150164283811,7.06531391528284,99.0,99.0
2006,,,,68.237160154592,24.7738087259567,6.98903111945133,99.0,99.0
2005,,,,68.0545528381915,24.9661582889631,6.97928887284541,99.0,99.0
2004,,,,67.2834208689483,25.5729863947913,7.14359273626034,99.0,99.0
2003,,,,66.5505185875772,26.1542943712854,7.2951870411374,99.0,99.0
2002,,,91.83646,65.769473220976,26.7968647787148,7.43366200030924,98.0,99.0
2001,,,,64.8384983133934,27.6166670711287,7.54483461547795,95.0,96.0
2000,,,,63.7327769272557,28.6483283125093,7.61889476023507,97.0,98.0
1999,,,,63.3240296882236,29.1813209507241,7.49464936105236,99.0,99.0
1998,,,,62.8705858544976,29.7733481736315,7.35606597187089,93.0,99.0
1997,,,,62.4172037521536,30.3618148171782,7.22098143066811,99.0,98.0
1996,,,,62.02541433616,30.8773874268629,7.09719823697708,98.0,99.0
1995,,,,61.7229187595402,31.2972119662357,6.97986927422406,97.0,97.0
1994,,,87.81115,61.0007953340403,32.1023329798515,6.89687168610817,92.0,96.0
1993,,,,60.2389792749612,32.9318841558091,6.82913656922973,92.0,96.0
1992,,,,59.4205491707384,33.8159796297571,6.76347119950451,92.0,96.0
1991,,,,58.5111148440562,34.7933814883252,6.69550366761857,89.0,98.0
1990,,,,57.511690520051,35.8580133201077,6.63029615984129,86.0,99.0
1989,,,,57.5981965786357,35.7231519924667,6.67865142889754,89.0,97.0
1988,,5.0,,57.6931876680204,35.5945775896585,6.71223474232111,89.0,94.0
1987,,,84.22922,57.7802876504732,35.5059617419152,6.71375060761159,95.0,89.0
1986,,,,57.8790088505698,35.4094282160168,6.7115629334134,95.0,94.0
1985,,,,58.0050161232533,35.2791114295951,6.71587244715156,90.0,86.0
1984,,,,57.491786270102,35.8522105020462,6.65600322785175,77.0,95.0
1983,,,,56.9432339782697,36.4345476729998,6.62221834873046,98.0,97.0
1982,,,,56.3694548016793,37.0350253956138,6.59551980270691,64.0,55.0
1981,,,,55.7586212024328,37.6700819367407,6.5712968608265,29.0,13.0
1980,,,,55.1234828814685,38.3566813598213,6.51983575871022,,
1979,,,,54.6174993472685,38.9442644100075,6.43823624272396,,
1978,,,,54.1097606816188,39.53138704423,6.35885227415111,,
1977,,,,53.6165308833651,40.1139619379932,6.26950717864174,,
1976,,,,53.1576102091968,40.6615009091952,6.18088888160805,,
1975,,,,52.764957623563,41.1227657967609,6.11227657967609,,
1974,,,,52.2013769363167,41.7332185886403,6.06540447504303,,
1973,,,,51.7065328763735,42.2587711550012,6.03469596862523,,
1972,,,,51.2688882036026,42.7068405681427,6.02427122825476,,
1971,,,,50.8303854030907,43.131632843046,6.03798175386334,,
1970,,,,50.4067369385884,43.5418576229759,6.05140543843569,,
1969,,,,50.4879622929338,43.460914122548,6.0511235845182,,
1968,,,,50.5680681681802,43.3792055046606,6.05272632715926,,
1967,,,,50.6796672185769,43.2615850043948,6.05874777702827,,
1966,,,,50.9955082001462,42.9290713464953,6.0754204533584,,
1965,,,,51.6416570475824,42.2491556581591,6.10918729425848,,
1964,,,,51.8455273873637,42.0202285564167,6.13424405621962,,
1963,,,,52.470202689053,41.3772979282171,6.15249938272991,,
1962,,,,53.432128310744,40.3939526428423,6.1739190464137,,
1961,,,,54.3992275446281,39.4022891055532,6.19848334981866,,
1960,,,,55.1354469629594,38.663077181934,6.2014758551066,,
