date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.10900020599365,,,,,,,
2018,4.01900005340576,,97.34486,76.2583371703582,12.2782826362627,11.4633801933791,95.0,96.0
2017,4.19999980926514,,97.20225,77.2076444440396,12.2124560773127,10.5798994786478,95.0,96.0
2016,4.07999992370605,,97.04959,77.9422580237773,12.2892461733462,9.76849580287652,95.0,97.0
2015,3.78999996185303,,96.82549,78.3206357767099,12.6321137193696,9.04725050392049,95.0,96.0
2014,3.74000000953674,,96.71666,78.3662520771402,12.9127450898776,8.72100283298218,95.0,96.0
2013,3.85999989509583,,96.54808,78.3688138976999,13.2269671236438,8.40421897865629,95.0,97.0
2012,3.72000002861023,,96.36979,78.44108065666,13.514596210133,8.04432313320704,95.0,97.0
2011,3.89000010490417,,96.18608,78.6008948947078,13.7537816064789,7.64532349881337,95.0,96.0
2010,4.11999988555908,,95.85733,78.7460252745377,13.9938594925292,7.26011523293314,95.0,96.0
2009,5.8600001335144,,,78.1294459364066,14.7242769419971,7.14627712159632,95.0,97.0
2008,3.96000003814697,,,77.3744693040167,15.4816026788369,7.14392801714643,95.0,97.0
2007,3.90000009536743,,,76.6409821278418,16.1730255556793,7.18599231647895,95.0,97.0
2006,4.48000001907349,,,76.0512782887066,16.7448790197738,7.20384269151956,95.0,95.0
2005,5.59000015258789,,,75.5983502774582,17.2275649854291,7.17408473711268,96.0,96.0
2004,5.84000015258789,,,75.2312606515397,17.6651992608469,7.10354008761344,95.0,95.0
2003,5.92999982833862,,,74.9667552627915,18.042223419649,6.99102131755959,93.0,96.0
2002,5.65000009536743,,,74.8681603900576,18.3106305667136,6.82120904322877,94.0,94.0
2001,3.75999999046326,,,74.8864462755188,18.5047625237758,6.6087912007054,95.0,96.0
2000,3.70000004768372,3.3,92.5494,74.9057738507885,18.710527093074,6.38369905613756,96.0,98.0
1999,4.84999990463257,,,74.4970027129449,19.2103759966198,6.29262129043531,97.0,97.0
1998,3.41000008583069,,,74.0840424854056,19.70060460319,6.21535291140447,96.0,97.0
1997,2.5,,,73.7639320494438,20.107831797321,6.12823615323522,98.0,98.0
1996,3.5699999332428,,,73.6152099933291,20.3629994829842,6.02179052368666,97.0,97.0
1995,3.29999995231628,,,73.6299439955371,20.4635094636396,5.90654654082325,97.0,98.0
1994,3.02999997138977,,,73.4931286473092,20.7039078046306,5.80296354806024,95.0,95.0
1993,3.0699999332428,,,73.3806601534814,20.8840080500767,5.73533179644184,87.0,92.0
1992,3.08999991416931,,,73.279416884764,21.0355721046292,5.68501101060681,89.0,89.0
1991,2.1800000667572,,,73.1400994535248,21.2202452834387,5.63965526303655,92.0,91.0
1990,,,89.096,72.9401194703159,21.4611449316056,5.59873559807844,84.0,85.0
1989,,,,72.5928036725183,21.878740710781,5.52845561670064,81.0,90.0
1988,,,,72.0765563827555,22.4604902896723,5.46295332757221,87.0,90.0
1987,,,,71.459947581995,23.1379023781218,5.40215003988326,94.0,96.0
1986,,,,70.8809030284119,23.7761716281053,5.34292534348282,85.0,91.0
1985,,,,70.4448363982859,24.2755034680769,5.2796601336372,75.0,78.0
1984,,,,70.0850861241287,24.7450082189543,5.16990565691699,85.0,77.0
1983,,,,69.8070294531545,25.1253432895039,5.06762725734159,88.0,84.0
1982,,,,69.513996310542,25.5198501976779,4.96615349178013,78.0,83.0
1981,,,,69.0235724446251,26.1220077220077,4.8544198333672,57.0,87.0
1980,,,82.90605,68.2333286892832,27.0407283197495,4.72594299096732,47.0,84.0
1979,,,,67.3961632727035,27.9657505811148,4.63808614618171,,
1978,,,,66.3323517289832,29.1436979078801,4.52395036313666,,
1977,,,,65.1490202109039,30.461712976482,4.38926681261415,,
1976,,,,64.0328250458088,31.7186444617456,4.24853049244559,,
1975,,,,63.1040734674767,32.783162169135,4.11276436338822,,
1974,,,,61.9878394359985,34.0756304974405,3.93653006656105,,
1973,,,,60.9342224426575,35.2924976947918,3.77327986255068,,
1972,,,,59.9293002942566,36.4477815433033,3.62291816244006,,
1971,,,,58.9290290734608,37.5927479543696,3.47822297216957,,
1970,,,,57.895470840614,38.7751093841913,3.3294197751948,,
1969,,,,56.8793978345795,39.9402022291209,3.1803999362996,,
1968,,,,55.9650973074808,40.9976433070622,3.03725938545701,,
1967,,,,55.1559376167847,41.9436145424693,2.90044784074595,,
1966,,,,54.4150318556295,42.8141431908983,2.77082495347223,,
1965,,,,53.7212712998968,43.6289624278288,2.64976627227443,,
1964,,,,53.4260404475714,44.0630616241933,2.5108979282353,,
1963,,,,53.3079688114739,44.3129895561358,2.37904163239029,,
1962,,,,53.4462462531439,44.2997255176691,2.254028229187,,
1961,,,,53.9166625729689,43.9433495364849,2.13998789054616,,
1960,,,,54.7268129297729,43.2285855994318,2.04460147079534,,
