date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.56099987030029,,,,,,,
2018,6.53599977493286,,,68.9246167348919,15.4461367603311,15.629246504777,96.0,96.0
2017,8.13099956512451,,,69.5812514914004,15.3377264634079,15.0810220451917,96.0,96.0
2016,9.67000007629395,,,70.1908470098234,15.2610353210022,14.5481176691744,95.0,96.0
2015,11.4809999465942,,,70.6951251662417,15.2578063441258,14.0470684896325,95.0,96.0
2014,13.1840000152588,,,71.1571777424968,15.1917651091778,13.6510571483253,97.0,97.0
2013,14.2209997177124,,,71.5233620296124,15.1734549428457,13.303183027542,98.0,98.0
2012,13.9630002975464,,,71.7999020847888,15.2039312347862,12.996166680425,99.0,99.0
2011,13.6169996261597,,,72.0191416538961,15.2647553484169,12.716102997687,98.0,99.0
2010,14.378999710083,,,72.2125591242815,15.3351020503326,12.4523388253859,98.0,99.0
2009,12.0249996185303,,,72.2244861421256,15.5179644050076,12.2575494528668,99.0,99.0
2008,9.50800037384033,,,72.15164507125,15.7661698001489,12.0821851286011,99.0,99.0
2007,11.1429996490479,,,72.0016626249469,16.0765607669413,11.9217766081117,99.0,99.0
2006,13.3730001449585,,,71.7924571464136,16.4332234977003,11.7743193558862,98.0,99.0
2005,16.2560005187988,,,71.5398864559731,16.8224342341298,11.6376793098971,98.0,99.0
2004,18.5990009307861,,,71.0941997044105,17.3301564253674,11.5756438702221,99.0,99.0
2003,17.1200008392334,,,70.6109484106363,17.8628083752204,11.5262432141432,99.0,99.0
2002,18.7210006713867,,,70.1012310462615,18.4221578697666,11.4766110839718,99.0,99.0
2001,19.3819999694824,,,69.5632512048166,19.0326948632516,11.4040539319318,99.0,99.0
2000,19.0620002746582,,,68.9949883418151,19.7134173863552,11.2915942718297,98.0,99.0
1999,15.9469995498657,,,68.4294704344881,20.3358721887142,11.2346573767977,99.0,99.0
1998,12.1870002746582,,,67.8930778791879,20.9678358053208,11.1390863154914,99.0,99.0
1997,11.8940000534058,,,67.3909390184456,21.5965116512007,11.0125493303537,99.0,99.0
1996,11.3409996032715,,,66.9210189890484,22.207299525998,10.8716814849535,99.0,99.0
1995,13.1090002059937,,,66.4874513298372,22.7857843128136,10.7267643573492,99.0,99.0
1994,13.6540002822876,,,65.9534885628959,23.3842125597811,10.662298877323,97.0,99.0
1993,12.1999998092651,,,65.4247239777574,23.9762425816509,10.5990334405917,,
1992,11.6490001678467,,,64.9402058497292,24.5373222496464,10.5224719006244,,
1991,10.6669998168945,,,64.5739922983255,25.018444276812,10.4075634248625,,
1990,,,,64.3743521263492,25.389178009301,10.2364698643498,,
1989,,,,64.1558713785438,25.7642395653987,10.0798890560575,,
1988,,,,64.1002083128339,26.0427273954641,9.85706429170204,,
1987,,,,64.1570939541862,26.2350528040546,9.60785324175918,,
1986,,,,64.2100792675672,26.3829085155938,9.40701221683898,,
1985,,,,64.1647302642759,26.5289837148656,9.30628602085856,,
1984,,,,64.0579755278885,26.5229378601452,9.41908661196628,,
1983,,,,63.8617784373532,26.4626965125635,9.67552505008333,,
1982,,,,63.6207919367586,26.3669689331065,10.0122391301349,,
1981,,,,63.4279474032034,26.2617519838343,10.3103006129623,,
1980,,,,63.3529401522716,26.1628052420673,10.4842546056612,,
1979,,,,63.3764409946468,26.0598595901117,10.5636994152415,,
1978,,,,63.4924484041245,25.9990920219073,10.5084595739682,,
1977,,,,63.6662526530155,25.9848486253572,10.3488987216272,,
1976,,,,63.8556306972825,25.9848459131802,10.1595233895373,,
1975,,,,64.0431642868866,25.9650839340647,9.99175177904868,,
1974,,,,64.0151664892001,26.1420455632281,9.8427879475719,,
1973,,,,63.9437853058842,26.351131505297,9.70508318881887,,
1972,,,,63.8181943836332,26.6160524507938,9.56575316557301,,
1971,,,,63.6096803825016,26.9930061065709,9.39731351092751,,
1970,,,,63.3100168082557,27.5065374618763,9.18344572986804,,
1969,,,,62.9607445990009,28.0852176255732,8.95403777542593,,
1968,,,,62.5348237947259,28.7591158374776,8.70606036779646,,
1967,,,,62.1082599948298,29.4436614177653,8.44807858740488,,
1966,,,,61.7935337993597,30.0166017647438,8.18986443589648,,
1965,,,,61.646163799672,30.42134372636,7.932492473968,,
1964,,,,61.4822195858186,30.8431137487427,7.67466666543877,,
1963,,,,61.4857357678715,31.0884235366809,7.42584069544762,,
1962,,,,61.6066770137002,31.2044252983793,7.18889768792045,,
1961,,,,61.7264314839485,31.3030215649032,6.97054695114831,,
1960,,,,61.7606359608602,31.46327083045,6.77609320868987,,
