date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,28.1809997558594,,,,,,,
2018,26.9200000762939,,,65.6025058468641,29.0794891477129,5.31800500542302,70.0,74.0
2017,27.0709991455078,,87.04667,65.6305615480971,29.1502598257042,5.21917862619865,70.0,76.0
2016,26.5510005950928,5.9,,65.6644204598072,29.2133600471367,5.12221949305616,85.0,76.0
2015,25.1560001373291,,94.36792,65.6794387687497,29.291128627375,5.02943260387525,86.0,85.0
2014,24.8980007171631,,94.1399,65.6950110136395,29.3520357971792,4.95295318918134,84.0,85.0
2013,24.5690002441406,,,65.6756599036108,29.4312168462153,4.89312325017391,78.0,81.0
2012,24.7320003509521,8.5,93.72947,65.6277183707093,29.5274695435539,4.84481208573682,79.0,71.0
2011,24.6529998779297,,93.10214,65.5843448227921,29.6159594629272,4.79969571428063,77.0,75.0
2010,24.693000793457,,92.87732,65.5772372606857,29.6717001812134,4.75106255810087,72.0,77.0
2009,23.5380001068115,,92.89486,65.4300945038128,29.8224393674974,4.74746612868975,77.0,81.0
2008,22.4330005645752,8.8,,65.2714047523727,29.9968856639718,4.73170958365548,73.0,82.0
2007,26.6660003662109,,88.71725,65.0831918780383,30.213788304621,4.70301981734072,68.0,85.0
2006,28.4890003204346,,,64.8325030807211,30.5048051783791,4.66269174089981,69.0,84.0
2005,29.2530002593994,,,64.5069012396064,30.8812581529626,4.61184060743097,64.0,81.0
2004,29.576000213623,12.1,,63.9937231995274,31.396378765705,4.60989803476769,63.0,74.0
2003,32.4560012817383,,,63.4079319344451,31.9920038863683,4.60006417918664,62.0,69.0
2002,33.4729995727539,,,62.7856788011973,32.6325548532485,4.5817663455542,65.0,70.0
2001,30.8959999084473,,,62.1793895865189,33.2663905775379,4.55421983594314,69.0,71.0
2000,30.2290000915527,,,61.620298726366,33.8639674497086,4.51573382392538,72.0,73.0
1999,30.2759990692139,9.8,,60.8879051348169,34.6294599712038,4.48263489397926,75.0,74.0
1998,30.1539993286133,,,60.1903724761494,35.3630810310639,4.44654649278678,79.0,75.0
1997,30.1639995574951,,,59.5382825703523,36.0554348627382,4.40628256690945,82.0,76.0
1996,30.1940002441406,,82.4021,58.9290417315059,36.7109892327151,4.359969035779,76.0,73.0
1995,30.1569995880127,8.0,,58.3563211272737,37.3383346818465,4.30534419087977,76.0,72.0
1994,30.1429996490479,14.9,,57.7610120328442,38.0181825492365,4.22080541791935,76.0,73.0
1993,30.0970001220703,,,57.2244791370991,38.630306241524,4.14521462137698,85.0,81.0
1992,29.8549995422363,,,56.7444935894805,39.1777104657051,4.07779594481438,85.0,79.0
1991,29.7320003509521,,,56.3085478254299,39.6729733993126,4.01847877525753,85.0,81.0
1990,,,,55.9129059872514,40.1202657278463,3.96682828490226,79.0,72.0
1989,,,,55.6957477097861,40.3527298180771,3.95152247213683,84.0,71.0
1988,,,,55.5062320465832,40.5545252403577,3.93924271305908,68.0,70.0
1987,,,,55.3571261442486,40.7154678209434,3.92740603480808,75.0,72.0
1986,,,,55.2928498556228,40.7936325919731,3.91351755240402,64.0,70.0
1985,,,,55.3505821528612,40.7542040769214,3.89521377021742,70.0,75.0
1984,,,,55.2597886669803,40.8386791452299,3.90153218778972,70.0,75.0
1983,,,,55.2453948953205,40.8520612440737,3.90254386060574,74.0,74.0
1982,,,,55.2806280026088,40.8226637295738,3.89670826781745,,
1981,,,,55.3052297262925,40.8121806956461,3.88258957806135,,
1980,,,76.20049,55.2791108826072,40.8619336452244,3.85895547216844,,
1979,,,,55.223079333547,40.9169478052504,3.85997286120259,,
1978,,,,55.1303780376297,41.0119324742119,3.85768948815845,,
1977,,,,55.0292960065237,41.1196283149301,3.85107567854628,,
1976,,,,54.97289379433,41.1885401988041,3.83856600686584,,
1975,,,,54.9983971144965,41.1835323945006,3.8180704910029,,
1974,,,,54.8678140835938,41.3164747924247,3.81571112398147,,
1973,,,,54.784116437606,41.4083636754902,3.80751988690383,,
1972,,,,54.7382411826588,41.467825022331,3.79393379501019,,
1971,,,,54.7072523421405,41.5152812423906,3.77746641546885,,
1970,,,,54.6846420190218,41.5550977952835,3.76026018569468,,
1969,,,,54.5293268654859,41.6979890514896,3.77268408302446,,
1968,,,,54.3575168637215,41.8513671832565,3.791115953022,,
1967,,,,54.2093189820837,41.9783804116105,3.8123006063058,,
1966,,,,54.1584151446206,42.0115545611102,3.83003029426923,,
1965,,,,54.254847898933,41.9068229654295,3.83832913563748,,
1964,,,,54.3057487370416,41.8332957863142,3.86095547664419,,
1963,,,,54.4978953394588,41.6268793395444,3.87522532099676,,
1962,,,,54.7942373603069,41.3251288216868,3.88063381800623,,
1961,,,,55.1009832901111,41.0216466253337,3.87737008455518,,
1960,,,,55.3595355278178,40.7747674832045,3.86569698897768,,
