date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,13.9589996337891,,,,,
2018,15.2550001144409,65.954491369965,14.6670011075355,19.3785075224995,97.0,93.0
2017,17.2240009307861,66.150813288141,14.7033379846795,19.1458487271796,98.0,95.0
2016,19.6350002288818,66.324068590093,14.7653907630761,18.9105406468308,97.0,97.0
2015,22.056999206543,66.4468400125592,14.9063250571661,18.6468349302748,96.0,97.0
2014,24.4409999847412,66.7751166816399,14.9056055821202,18.3192777362399,96.0,97.0
2013,26.0939998626709,67.0808772664206,14.9382422602929,17.9808804732865,95.0,96.0
2012,24.7870006561279,67.3820401818326,14.9751673605584,17.642792457609,97.0,97.0
2011,21.3899993896484,67.7259800731625,14.9449624757668,17.3290574510707,97.0,97.0
2010,19.8600006103516,68.1523849420261,14.7934345762605,17.0541804817134,95.0,97.0
2009,17.8570003509521,68.3209088870721,14.7634621781309,16.9156289347971,98.0,96.0
2008,11.253999710083,68.5168605718954,14.6724971912125,16.8106422368921,98.0,97.0
2007,8.23200035095215,68.7197027736157,14.539930330082,16.7403668963023,97.0,96.0
2006,8.45199966430664,68.9077393830989,14.3920065398923,16.7002540770087,97.0,98.0
2005,9.14599990844727,69.0753425505547,14.2466354906707,16.6780219587746,97.0,96.0
2004,11.0900001525879,69.0678944208097,14.2631541334586,16.6689514457318,97.0,97.0
2003,11.2829999923706,69.0113540674384,14.2972420731839,16.6914038593777,98.0,98.0
2002,11.1459999084473,68.9073734866411,14.3704643068389,16.7221622065199,97.0,98.0
2001,10.3479995727539,68.7646297708824,14.5121421940338,16.7232280350838,96.0,96.0
2000,13.7849998474121,68.5962835195529,14.7367942498808,16.6669222305663,94.0,95.0
1999,15.4759998321533,68.5808070158872,14.9976281978234,16.4215647862894,95.0,95.0
1998,18.673999786377,68.547038970627,15.3350442122146,16.1179168171583,93.0,95.0
1997,20.6979999542236,68.4876591261615,15.7373120761224,15.7750287977161,93.0,94.0
1996,22.1420001983643,68.3828260215958,16.1897407547012,15.427433223703,90.0,90.0
1995,22.6749992370605,68.2259057819257,16.6755451013296,15.0985491167447,90.0,90.0
1994,24.2089996337891,68.0065433068208,17.2626073847728,14.7308493084064,90.0,88.0
1993,22.1609992980957,67.699489486508,17.9204691690449,14.3800413444471,90.0,87.0
1992,17.701000213623,67.3320171647117,18.6250073171461,14.0429755181421,83.0,84.0
1991,15.9289999008179,66.9584258217132,19.3271466068125,13.7144275714743,85.0,86.0
1990,,66.6150764523459,19.9944850491135,13.3904384985406,99.0,86.0
1989,,66.2304653793374,20.7248012011485,13.0447334195141,97.0,93.0
1988,,65.8760442076287,21.4096133138887,12.7143424784826,84.0,93.0
1987,,65.5406973936796,22.0560286017812,12.4032740045392,85.0,77.0
1986,,65.1763685392689,22.7089199386467,12.1147115220843,83.0,88.0
1985,,64.7447830937446,23.4065963344335,11.8486205718219,79.0,79.0
1984,,64.3675925917287,23.9815145671406,11.6508928411307,68.0,95.0
1983,,63.9675141826466,24.5384068238627,11.4940789934907,40.0,
1982,,63.570246429355,25.0665426702067,11.3632109004383,27.0,
1981,,63.2234665084026,25.5422973555337,11.2342361360637,8.0,
1980,,62.9631985572997,25.9472203921906,11.0895810505097,,
1979,,62.7007225275438,26.3489984836898,10.9502789887664,,
1978,,62.5032923514101,26.7062749545118,10.7904326940781,,
1977,,62.3692920622099,27.0160769832803,10.6146309545098,,
1976,,62.2982647399084,27.2651256099223,10.4366096501693,,
1975,,62.2928253518632,27.4424751114218,10.264699536715,,
1974,,62.207108647904,27.645600008772,10.147291343324,,
1973,,62.1604895728134,27.8049706594897,10.0345397676968,,
1972,,62.1551568109078,27.9250278543585,9.91981533473378,,
1971,,62.188954969708,28.0202889819749,9.79075604831708,,
1970,,62.2515885122393,28.111921735697,9.63648975206374,,
1969,,62.457008141046,28.0758010629792,9.46719079597477,,
1968,,62.7257292438445,27.9886791116042,9.28559164455124,,
1967,,63.0324067298185,27.8699113105874,9.09768195959408,,
1966,,63.3240380203599,27.7621563254848,8.91380565415527,,
1965,,63.5657899022353,27.6937011309837,8.74050896678099,,
1964,,63.787731614122,27.598415585887,8.61385279999104,,
1963,,63.9378755376037,27.5570582052725,8.50506625712381,,
1962,,64.0442976949316,27.5485135755117,8.40718872955675,,
1961,,64.1854681595483,27.5027162689639,8.31181557148776,,
1960,,64.423163676065,27.3638890020926,8.21294732184234,,
