date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,20.7059993743896,,,,,
2018,20.878999710083,71.6645866435024,18.5288830000715,9.80653035642617,86.0,95.0
2017,21.0690002441406,71.4866761718448,18.9086729224002,9.60465090575505,87.0,80.0
2016,21.2630004882813,71.2560547482558,19.328533973248,9.4154112784962,99.0,95.0
2015,24.0900001525879,71.0019762625191,19.7648582561995,9.23316548128133,97.0,99.0
2014,23.1240005493164,70.5708484766905,20.352671961233,9.07647956207655,99.0,99.0
2013,22.2099990844727,70.0844445195563,20.9922653552134,8.92329012523026,99.0,99.0
2012,19.0599994659424,69.5453052998653,21.6795172265435,8.77517747359125,99.0,98.0
2011,18.8600006103516,68.948525725744,22.416602105455,8.63487216880099,91.0,99.0
2010,17.121000289917,68.2735445328431,23.2156705057874,8.51078496136945,95.0,97.0
2009,15.3699998855591,67.7983521173376,24.0516545601291,8.14999332253326,99.0,95.0
2008,12.7200002670288,67.235061260742,24.9154466475699,7.84949209168819,99.0,96.0
2007,14.0,66.6020436771873,25.8024683993581,7.59548792345457,94.0,99.0
2006,16.0,65.8902776014173,26.734026278714,7.37569611986867,94.0,85.0
2005,18.7000007629395,65.0617744787874,27.7614936022568,7.1767319189558,94.0,95.0
2004,20.9699993133545,64.035076877441,28.7221288376922,7.24279428486676,95.0,91.0
2003,22.1800003051758,62.9969476110384,29.6972528499346,7.30579953902697,90.0,90.0
2002,20.3899993896484,61.9974653683999,30.6439469985947,7.35858763300542,98.0,74.0
2001,18.3339996337891,61.0719501324449,31.5161936793127,7.41185618824244,89.0,99.0
2000,16.4899997711182,60.249219991195,32.2850270211639,7.46575298764109,88.0,70.0
1999,18.0900001525879,59.502564598858,33.0075163714959,7.48991902964612,95.0,89.0
1998,21.6000003814697,58.841596905,33.6509367995242,7.50746629547578,90.0,88.0
1997,20.4699993133545,58.2640329196292,34.2091138603036,7.52685322006719,95.0,98.0
1996,16.3299999237061,57.7831678245562,34.6641224451402,7.55270973030356,95.0,88.0
1995,15.8299999237061,57.3929325253626,35.0173622931844,7.58970518145299,94.0,98.0
1994,17.0,57.1755477898858,35.2791160921679,7.54533611794628,92.0,93.0
1993,16.7999992370605,56.9664386475047,35.5221778270541,7.51138352544122,94.0,97.0
1992,16.6359996795654,56.7409706546275,35.7787810383747,7.48024830699774,75.0,96.0
1991,16.5520000457764,56.4463016536305,36.1120040001429,7.44169434622665,97.0,96.0
1990,,56.0382553253152,36.581654832633,7.38008984205188,82.0,89.0
1989,,55.9452970807435,37.0769140130203,6.97778890623619,91.0,92.0
1988,,55.7221801495122,37.6959817646044,6.58183808588332,83.0,78.0
1987,,55.3386929143486,38.4835238735709,6.17778321208046,81.0,85.0
1986,,54.749355775444,39.4825962054979,5.76804801905815,91.0,78.0
1985,,53.9043439688223,40.7330249358385,5.36263109533918,68.0,87.0
1984,,53.6374022463232,41.0517169246613,5.31088082901554,60.0,83.0
1983,,53.2162788420744,41.53666655788,5.24705460004569,36.0,81.0
1982,,52.6440638741032,42.1901345587992,5.16580156709756,43.0,79.0
1981,,51.9408858745709,42.9816628987692,5.07745122665997,,64.0
1980,,51.1305189183684,43.8882381898118,4.98124289181986,,56.0
1979,,50.5855204243301,44.4685541089757,4.94592546669422,,
1978,,50.041958041958,45.0384615384615,4.91958041958042,,
1977,,49.5185694635488,45.5934685184364,4.88796201801482,,
1976,,49.0091566351842,46.1514221145795,4.83942125023634,,
1975,,48.4907915020935,46.7248031962929,4.78440530161365,,
1974,,47.84068787999,47.4264468452178,4.73286527479219,,
1973,,47.1803950801342,48.1336190831159,4.68598583674991,,
1972,,46.5534756843194,48.8147869438435,4.63173737183708,,
1971,,45.9547540547474,49.4702936900814,4.57495225517117,,
1970,,45.3473056770658,50.1408450704225,4.51184925251166,,
1969,,46.065674434925,49.4215230464828,4.51280251859216,,
1968,,46.8124907210373,48.6851091206018,4.50240015836097,,
1967,,47.464398933226,48.0732652342374,4.46233583253661,,
1966,,47.9803510208259,47.6283068106227,4.3913421685514,,
1965,,48.3814259263112,47.3100047849876,4.30856928870119,,
1964,,48.9274694619384,46.7612747791538,4.31125575890782,,
1963,,49.4265698254498,46.2799454999946,4.29348467455558,,
1962,,49.930896388112,45.8282095090923,4.2408941027957,,
1961,,50.5181004453459,45.3194585299175,4.16244102473654,,
1960,,51.177854331806,44.7462010992564,4.07594456893765,,
