date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,6.18685941665813,,,,,,,
2018,6.15941513642456,,65.57343,54.4725990912016,42.5401087348427,2.98729217395572,74.1634146884864,75.6867877544247
2017,6.27871422598546,,65.0482,54.2586562729693,42.770701253833,2.97064247319769,74.3771112526115,75.8161085715721
2016,6.14186901466455,,64.78476,54.0755498318445,42.9717995832231,2.95265058493237,74.1500430464296,75.5033748988482
2015,5.75280739986672,,64.08313,53.9284485403887,43.1394064953651,2.93214496424619,70.660163035108,73.0673504841367
2014,5.74343140386379,,63.48269,53.750836488887,43.3197965606568,2.92936695045618,69.8589894594911,71.6299978996394
2013,5.68348694323067,,62.81126,53.5986532304127,43.4750806547013,2.92626611488606,69.685543292767,69.9324240080536
2012,5.77585815887512,,62.49027,53.4752010706324,43.6029991315274,2.92179979784018,70.4291658179987,70.4691913537726
2011,5.8534871223674,,61.18954,53.3861005696266,43.6989937378283,2.91490569254505,70.885356410596,71.3461864985461
2010,5.94756321843977,,59.55902,53.3378312237514,43.7577063331524,2.90446244309621,72.4148453722278,71.2969669752
2009,5.57488770690805,,59.24615,53.2339589933489,43.8503275979882,2.91571340866286,71.9626975766903,72.1409180115541
2008,5.36781793289321,,58.0778,53.1559376834017,43.9198786491395,2.92418366745882,67.2690339766612,68.9247585168169
2007,5.70678224068447,,58.49351,53.103435642777,43.9675669630305,2.92899739419249,65.0888679386025,66.5836474984037
2006,5.96357471356087,,58.35354,53.0741664705145,43.9961874678083,2.92964606167723,62.8317716090665,63.3323579357385
2005,6.17140674265684,,59.51778,53.0697185209346,44.0047118582513,2.92556962081407,60.1158441737888,61.4524241329048
2004,6.30260082229444,,60.50691,52.9621159481884,44.0873898504768,2.95049420133482,58.3153487522083,58.4238435248915
2003,6.61406383586097,,58.62375,52.857095181683,44.1704002658689,2.97250455244814,56.2422279347301,55.3332292632856
2002,6.7083062771111,,58.16491,52.7628386270045,44.2469410798483,2.99022029314713,53.7095651851274,52.5004289287227
2001,6.54619379069302,,57.65637,52.6959513531015,44.3023099492835,3.00173869761503,52.4377234941451,51.0957083053417
