date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.58099985122681,,,,,,,
2018,4.71299982070923,,,66.4658286661214,14.9109547691069,18.6232165647717,96.0,96.0
2017,4.79699993133545,,,66.6966381907622,14.8724946793942,18.4308671298436,95.0,97.0
2016,4.91800022125244,,,66.938538890063,14.8325574107715,18.2289036991655,94.0,96.0
2015,4.80100011825562,,,67.2093433894495,14.7933263225771,17.9973302879733,94.0,96.0
2014,4.82600021362305,,,67.413656491919,14.7858969568859,17.8004465511951,94.0,96.0
2013,4.74700021743774,,,67.6194659729743,14.8084235574885,17.5721104695372,93.0,96.0
2012,4.4850001335144,,,67.8013594385223,14.8684467505793,17.3301938108984,93.0,96.0
2011,4.40799999237061,,,67.9424994991774,14.9577487874023,17.0997517134202,93.0,96.0
2010,4.80700016021729,,,68.0502902220927,15.0583421643237,16.8913676135836,92.0,95.0
2009,4.11600017547607,,,68.1232108591532,15.2591335794173,16.6176555614295,92.0,95.0
2008,3.34999990463257,,,68.13834405924,15.49153522036,16.3701207204,92.0,95.0
2007,3.65199995040894,,,68.1033867402098,15.7475498813716,16.1490633784186,87.0,94.0
2006,4.0,,,68.0289296346265,16.0171323035072,15.9539380618663,87.0,94.0
2005,4.43699979782104,,,67.9271014737608,16.2893322373266,15.7835662889126,87.0,94.0
2004,4.31599998474121,,,67.7992533046995,16.551563771337,15.6491829239635,82.0,93.0
2003,4.11600017547607,,,67.6550236442641,16.8018393147614,15.5431370409745,82.0,93.0
2002,2.92400002479553,,,67.5125966414219,17.0320607912856,15.4553425672925,82.0,93.0
2001,2.49000000953674,,,67.3869218011165,17.2450599783903,15.3680182204932,82.0,93.0
2000,2.66599988937378,,,67.2884073249371,17.4435146976502,15.2680779774127,82.0,93.0
1999,3.14499998092651,,,67.2793792630724,17.5587246541721,15.1618960827556,82.0,93.0
1998,3.59699988365173,,,67.2974588854404,17.6563396726064,15.0462014419531,81.0,88.0
1997,4.2039999961853,,,67.357453652171,17.7191282799708,14.9234180678582,83.0,89.0
1996,3.70499992370605,,,67.4813545205031,17.7169956435271,14.8016498359698,83.0,89.0
1995,3.32699990272522,,,67.6727437456052,17.6432320051645,14.6840242492303,83.0,89.0
1994,3.87899994850159,,,67.7677971121647,17.5429691074979,14.6892337803374,83.0,89.0
1993,3.71700000762939,,,67.9240044775526,17.3785993773995,14.6973961450479,83.0,89.0
1992,2.81100010871887,,,68.1080527244157,17.1973526499557,14.6945946256286,83.0,89.0
1991,1.77699995040894,,,68.267977688966,17.0707599599216,14.6612623511124,83.0,89.0
1990,,,,68.3732188884553,17.0397188099929,14.5870623015518,90.0,90.0
1989,,,,68.4255544254756,17.0744099542697,14.5000356202547,90.0,90.0
1988,,,,68.4249911269363,17.200233561934,14.3747753111297,70.0,90.0
1987,,,,68.3781994185787,17.3922452887193,14.229555292702,70.0,90.0
1986,,,,68.2961833721507,17.6051020200079,14.0987146078414,70.0,90.0
1985,,,,68.1874574231628,17.8073270696694,14.0052155071678,,
1984,,,,67.8832400947197,18.1604387900566,13.9563211152237,,
1983,,,,67.4875270283769,18.5607728483682,13.9517001232549,,
1982,,,,67.0284267320782,19.0088950105902,13.9626782573316,,
1981,,,,66.5610851463447,19.4982786484909,13.9406362051645,,
1980,,,,66.1357910268766,20.01099010922,13.8532188639034,,
1979,,,,65.7550324761827,20.598656097625,13.6463114261923,,
1978,,,,65.4374993256156,21.1801916965353,13.3823089778491,,
1977,,,,65.2059258298447,21.7176870882808,13.0763870818744,,
1976,,,,65.0497934492787,22.1986075069121,12.7515990438092,,
1975,,,,64.9419719821209,22.6383358121516,12.4196922057275,,
1974,,,,64.8183735148915,22.9867290687317,12.1948974163767,,
1973,,,,64.7748370966032,23.2556110551983,11.9695518481985,,
1972,,,,64.8013337411426,23.4572939208688,11.7413723379886,,
1971,,,,64.8909252679653,23.6013547749627,11.507719957072,,
1970,,,,65.0440134147269,23.6885231509391,11.267463434334,,
1969,,,,65.0831403790674,23.8130770174574,11.1037826034752,,
1968,,,,65.1586290454667,23.8988641401526,10.9425068143807,,
1967,,,,65.2562084183902,23.9602641135799,10.7835274680299,,
1966,,,,65.3654735508179,24.0073918341658,10.6271346150163,,
1965,,,,65.4930773212663,24.0336798586442,10.4732428200895,,
1964,,,,65.4194762658053,24.163903382407,10.4166203517877,,
1963,,,,65.3656579028874,24.2699900228623,10.3643520742503,,
1962,,,,65.3568233381805,24.3299533100069,10.3132233518126,,
1961,,,,65.4449514082704,24.2929267854111,10.2621218063185,,
1960,,,,65.6728868251816,24.1170265950597,10.2100865797587,,
