date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.5479998588562,,,,,
2018,4.47900009155273,57.9028434336982,37.7806642722958,4.31649229400603,77.0,83.0
2017,4.56599998474121,57.3380585526093,38.3023475417009,4.35959390568973,77.0,83.0
2016,4.65700006484985,56.7427875940713,38.8670273143015,4.39018509162725,74.0,79.0
2015,4.44899988174438,56.1267138230982,39.4855145272682,4.38777164963362,70.0,76.0
2014,4.23299980163574,55.5498407178215,40.0846950306174,4.3654642515611,74.0,77.0
2013,4.03499984741211,55.03210803143,40.6580629050355,4.30982906353454,70.0,82.0
2012,3.77600002288818,54.5523630310487,41.2197240232517,4.22791294569962,73.0,83.0
2011,3.52999997138977,54.0340888163421,41.8306231589425,4.13528802471543,62.0,67.0
2010,3.30100011825562,53.4226532043679,42.5342676834415,4.0430791121906,66.0,72.0
2009,3.25600004196167,52.9970389387467,43.0319182110387,3.97104285021461,70.0,72.0
2008,3.07399988174438,52.518355060634,43.5785001577555,3.90314478161055,73.0,79.0
2007,3.09999990463257,52.045944005743,44.1161259446233,3.83793004963373,63.0,70.0
2006,3.1800000667572,51.7165929447322,44.5088308908023,3.7745761644655,61.0,63.0
2005,3.2739999294281,51.6260607857225,44.6617795575475,3.71215965672999,48.0,55.0
2004,3.31900000572205,51.4261343584119,44.9187307656295,3.65513487595857,55.0,57.0
2003,3.35500001907349,51.4233857173627,44.979981163711,3.59663311892625,55.0,55.0
2002,3.34999990463257,51.5590217341827,44.9041610761531,3.53681718966418,56.0,54.0
2001,3.31100010871887,51.6908303688136,44.8351889784224,3.47398065276394,,
2000,3.31299996376038,51.7206676873602,44.8714672432002,3.40786506943958,,
1999,3.32699990272522,52.357822836305,44.2660708068388,3.37610635685621,,
1998,3.29200005531311,52.9471570516889,43.7110082743817,3.34183467392935,,
1997,3.29500007629395,53.5723650776339,43.1234089754092,3.30422594695695,,
1996,3.30399990081787,54.3987224122652,42.3417219843762,3.25955560335858,,
1995,3.29299998283386,55.5163004213972,41.2804648397435,3.20323473885927,,
1994,3.28900003433228,56.0006039923897,40.8025850874279,3.19681092018241,,
1993,3.27600002288818,56.7558188533327,40.0639516149022,3.18022953176511,,
1992,3.20600008964539,57.6531094308208,39.1958355358415,3.15105503333767,,
1991,3.1710000038147,58.4216229311137,38.4701268026021,3.10825026628415,,
1990,,58.8892322455253,38.0589145773867,3.05185317708799,,
1989,,59.1858541533042,37.7823165785728,3.03182926812301,,
1988,,59.1435846505246,37.8547439545517,3.00167139492369,,
1987,,58.8925096617337,38.1443644378277,2.96312590043862,,
1986,,58.7517417142041,38.3254534411509,2.92280484464505,,
1985,,58.9503434273947,38.16632752609,2.88332904651527,,
1984,,58.6279532098142,38.5034369722238,2.868609817962,,
1983,,58.4644353133602,38.689911038417,2.84565364822276,,
1982,,58.350265312978,38.8407111105313,2.80902357649069,,
1981,,58.0266029855492,39.2203589680744,2.75303804637637,,
1980,,57.3547478350739,39.9694951700686,2.67575699485752,,
1979,,57.1324693952766,40.1661470421244,2.70138356259899,,
1978,,56.7779245771686,40.5190360197622,2.70303940306924,,
1977,,56.4657898473095,40.8450249751539,2.68918517753656,,
1976,,56.4238239556414,40.9078662289897,2.66830981536897,,
1975,,56.7518558485253,40.60569555979,2.64244859168472,,
1974,,56.4015979377317,40.9499563689347,2.64844569333365,,
1973,,56.2952073494147,41.0459533775171,2.65883927306826,,
1972,,56.361464331414,40.971722382171,2.66681328641501,,
1971,,56.5205356334291,40.8188965076523,2.66056785891865,,
1970,,56.7408781153499,40.6267003752854,2.63242150936464,,
1969,,56.8383170188662,40.5247433107111,2.63693967042275,,
1968,,57.0331162027969,40.3509315355532,2.61595226164989,,
1967,,57.2872228892076,40.1398009682525,2.57297614253984,,
1966,,57.5122750209228,39.9696218027798,2.51810317629745,,
1965,,57.6653979518402,39.8744626562963,2.46013939186355,,
1964,,57.484795131305,40.0485065701502,2.4666982985448,,
1963,,57.1256793708941,40.4057150047838,2.46860562432213,,
1962,,56.680113350869,40.8498467159373,2.47003993319378,,
1961,,56.3636213016771,41.1588181934912,2.47756050483169,,
1960,,56.3270759400841,41.1759375553177,2.49698650459821,,
