date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,1.11699998378754,,,,,,,
2018,1.05200004577637,,99.41437,58.6305803463279,35.4157582100255,5.95366144364662,85.0,81.0
2017,1.08000004291534,,,58.252122590639,35.7830545696974,5.96482283966352,85.0,81.0
2016,1.11000001430511,,,57.8960378906984,36.1306398504939,5.97332225880771,84.0,78.0
2015,1.12699997425079,,,57.5981583830285,36.4066639545152,5.99517766245622,85.0,78.0
2014,1.14100003242493,,,57.4563487350042,36.6353882092093,5.90826305578652,85.0,80.0
2013,1.16199994087219,,,57.3009197390142,36.8504834525588,5.84859680842701,86.0,82.0
2012,1.15600001811981,1.9,,57.17025025064,37.0285291569736,5.80122059238639,81.0,77.0
2011,1.15199995040894,,99.38553,57.0527799772117,37.191247754968,5.75597226782024,85.0,82.0
2010,1.15100002288818,,,56.8749639374531,37.4079202969631,5.71711576558383,86.0,82.0
2009,1.12800002098083,,,56.605063047454,37.6128597555106,5.78207719703533,87.0,84.0
2008,1.03600001335144,,,56.3296220702464,37.8268313680728,5.84354656168081,89.0,86.0
2007,1.04900002479553,,,56.0815355670153,38.0372583616849,5.88120607129975,90.0,87.0
2006,1.0900000333786,,99.01846,55.9288537549407,38.171789274969,5.89935697009026,90.0,88.0
2005,2.125,,,55.8921758089292,38.2062335860463,5.90159060502453,92.0,89.0
2004,3.48200011253357,,,55.926081143108,38.1897463529506,5.88417250394141,93.0,90.0
2003,5.17999982833862,,,56.0824990711826,38.0664531223328,5.85104780648465,93.0,90.0
2002,4.67600011825562,,,56.2541657409465,37.9451031084002,5.80073115065339,85.0,84.0
2001,4.14200019836426,,,56.2399098358159,38.0415689380324,5.71852122615167,89.0,89.0
2000,3.70499992370605,,,55.9051983709798,38.4840721423249,5.61072948669531,92.0,91.0
1999,3.30800008773804,,,55.8810857389056,38.544551814694,5.57436244640036,95.0,91.0
1998,2.87599992752075,,,55.6311319976915,38.8541924313628,5.51467557094567,95.0,96.0
1997,2.51699995994568,,,55.2603525186558,39.3048986224242,5.43474885892009,97.0,96.0
1996,2.18600010871887,,98.90537,55.0216571624443,39.6341653423078,5.34417749524789,95.0,99.0
1995,1.86300003528595,,,55.0752271401184,39.6703342502292,5.25443860965241,94.0,95.0
1994,1.57099997997284,,,55.0799569663356,39.8426973333751,5.07734570028933,86.0,89.0
1993,1.29999995231628,,,55.3062569984407,39.785677658361,4.9080653431983,87.0,96.0
1992,1.26400005817413,,,55.7049864254342,39.5580666464009,4.73694692816487,87.0,99.0
1991,1.24600005149841,,,56.0611469248052,39.376981710518,4.56187136467673,90.0,88.0
1990,,,,56.1781442951961,39.4366197183099,4.38523598649402,86.0,94.0
1989,,,,56.2387323275453,39.511444265216,4.24982340723872,84.0,93.0
1988,,,,56.1607341078961,39.7225951729023,4.11667071920161,81.0,92.0
1987,,,,55.9419429395363,40.0663691012606,3.99168795920315,88.0,99.0
1986,,,,55.6649094464756,40.4631834027719,3.87190715075249,37.0,75.0
1985,,,,55.4176961744909,40.8206952372838,3.76160858822527,81.0,92.0
1984,,,,55.3183776176057,41.0009809357274,3.68064144666695,43.0,51.0
1983,,,,55.1622230046197,41.2561747164698,3.58160227891048,67.0,63.0
1982,,,,54.9940731090014,41.5362928631689,3.46963402782969,44.0,52.0
1981,,,,54.9229731610444,41.7154663897483,3.36156044920725,9.0,37.0
1980,,,,55.0236095126437,41.7140828860612,3.26230760129503,,40.0
1979,,,,54.3883036372307,42.4220748255083,3.18962153726102,,
1978,,,,53.7603328406416,43.1039579569716,3.13570920238682,,
1977,,,,53.0967177339847,43.8093339093638,3.09394835665149,,
1976,,,99.59246,52.3163816482507,44.6320909070534,3.05152744469597,,
1975,,,,51.388165492878,45.6079168459431,3.00391766117892,,
1974,,,,50.7410198442602,46.2846246945719,2.97435546116782,,
1973,,,,50.1724891331846,46.8859961822405,2.94151468457487,,
1972,,,,49.6912757897663,47.3987233993258,2.91000081090787,,
1971,,,,49.3198750862583,47.8075766968035,2.87254821693821,,
1970,,,,49.0343920048369,48.1310239356973,2.8345840594658,,
1969,,,,48.9566109468348,48.1479693440348,2.89541970913041,,
1968,,,,49.1027269699922,47.9433638796729,2.95390915033486,,
1967,,,,49.4489364663604,47.5572258284933,2.99383770514621,,
1966,,,,49.9628766070521,47.0021231975616,3.03500019538628,,
1965,,,,50.6342053937723,46.2976662855606,3.06812832066716,,
1964,,,,50.6809216487085,46.1897659636749,3.12931238761656,,
1963,,,,50.7690523477479,46.0445629956075,3.18638465664458,,
1962,,,,50.8658564203216,45.8805767343549,3.25356684532347,,
1961,,,,50.9974103429334,45.694106568312,3.30848308875461,,
1960,,,,51.1830716014096,45.439043798821,3.37788459976939,,
