date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,3.91300010681152,,,,,,,
2018,3.79999995231628,,,64.7510015978736,30.8223639401863,4.42663446194014,99.0,99.0
2017,3.85899996757507,,,64.8121886868414,30.910314889694,4.27749642346457,99.0,99.0
2016,3.92000007629395,,,65.0140541907555,30.8282683145991,4.15767749464535,99.0,98.0
2015,3.9539999961853,3.2,,65.4812051921132,30.4441262418272,4.07466856605958,99.0,99.0
2014,3.98300004005432,,99.7,65.7185774435782,30.2465018564565,4.03492069996532,99.0,98.0
2013,4.02400016784668,,,66.0847409556315,29.883955248773,4.03130379559547,99.0,98.0
2012,4.01200008392334,,,66.4563108639116,29.4867973955466,4.05689174054177,99.0,97.0
2011,4.0019998550415,,,66.5911364038279,29.3124291541403,4.09643444203178,99.0,97.0
2010,4.0,,,66.3441259487267,29.5173801450814,4.13849390619186,99.0,96.0
2009,4.53200006484985,,,65.965342333416,29.8025501032957,4.23210756328832,99.0,96.0
2008,4.90700006484985,,,65.2493320693623,30.4119298986358,4.33873803200192,99.0,96.0
2007,5.57399988174438,,,64.3262279264604,31.2279049004947,4.44586717304489,99.0,98.0
2006,6.37799978256226,9.2,,63.4535516762718,32.0107299023785,4.5357184213497,99.0,98.0
2005,7.27199983596802,,,62.7999855299427,32.6073486858959,4.59266578416143,99.0,99.0
2004,8.14299964904785,,,62.0107024682777,33.3799946039047,4.60930292781755,97.0,97.0
2003,9.04800033569336,,,61.3684217535203,34.0621894292705,4.5693888172092,97.0,83.0
2002,9.91199970245361,,,60.8190880487114,34.6957107421792,4.48520120910932,88.0,98.0
2001,10.7229995727539,,,60.2157980036735,35.4021169203102,4.38208507601636,98.0,95.0
2000,11.6730003356934,10.5,,59.455024907371,36.2666024229136,4.27837266971544,96.0,97.0
1999,12.6999998092651,,,58.7428279709413,37.0262430490793,4.23092897997933,97.0,98.0
1998,12.1999998092651,,,58.0328579789323,37.7655359864633,4.20160603460445,99.0,99.0
1997,11.0,,,57.3729609039116,38.4442802442002,4.18275885188822,99.0,98.0
1996,10.3000001907349,,,56.8253646894839,39.0196172643869,4.15501804612924,98.0,97.0
1995,8.30000019073486,,98.77832,56.4232346231713,39.474067580025,4.10269779680363,92.0,93.0
1994,4.69999980926514,,,56.0556943667496,39.8897767297141,4.05452890353629,90.0,90.0
1993,1.5,,,55.7923141805764,40.2239808676049,3.98370495181871,84.0,73.0
1992,1.5,,,55.6198031561783,40.4816296450908,3.89856719873082,76.0,84.0
1991,1.39999997615814,,,55.5574351740546,40.6202653077113,3.82229951823413,,
1990,,,,55.6385277066814,40.5874428299711,3.77402946334753,,
1989,,,,55.6211773551062,40.6265930591979,3.75222958569585,,
1988,,,,55.646034010753,40.5940075474506,3.75995844179633,,
1987,,,,55.6775249528882,40.5304343206877,3.79204072642407,,
1986,,,,55.6544254732651,40.5126489791719,3.83292554756294,,
1985,,,,55.5404131543043,40.5890472864207,3.87053955927495,,
1984,,,,55.3669816478382,40.6845258116853,3.94849254047649,,
1983,,,,55.1150520796775,40.8509037484235,4.034044171899,,
1982,,,,54.8003587864591,41.0792609369918,4.12038027654911,,
1981,,,,54.4751489172017,41.3281660531539,4.19668502964435,,
1980,,,,54.1916248842467,41.5550846632796,4.25329045247371,,
1979,,,,53.7933131110738,41.8574398419855,4.34924704694066,,
1978,,,,53.4128732547319,42.1752206209013,4.41190612436675,,
1977,,,,53.0434364840042,42.5137130112774,4.44285050471839,,
1976,,,,52.6838897234065,42.8606340098516,4.45547626674191,,
1975,,,,52.3416030322757,43.1978518740269,4.46054509369738,,
1974,,,,51.9266016218874,43.550255067991,4.52314331012166,,
1973,,,,51.5621182353394,43.8546558135332,4.58322595112743,,
1972,,,,51.2309946364374,44.1344827808771,4.63452258268557,,
1971,,,,50.9048170290376,44.4333134864861,4.6618694844763,,
1970,,,,50.588176341294,44.7578894621158,4.65393419659025,,
1969,,,,50.396895726842,44.9298622188089,4.67324205434916,,
1968,,,,50.2613199214206,45.0640267594689,4.67465331911053,,
1967,,,,50.2405351721176,45.0937585124299,4.66570631545251,,
1966,,,,50.4276586578531,44.9108952683233,4.66144607382356,,
1965,,,,50.8796633623921,44.4458651832744,4.67447145433343,,
1964,,,,51.350252909882,43.9015222599975,4.7482248301205,,
1963,,,,52.0467592297671,43.1065595627146,4.84668120751832,,
1962,,,,52.9303232816916,42.1060762220999,4.96360049620848,,
1961,,,,53.919047831535,40.9955727398481,5.08537942861691,,
1960,,,,54.9467397012833,39.8521635320079,5.20109676670879,,
