date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,8.88199996948242,,,,,
2018,8.79899978637695,67.7529003875501,15.8124131732483,16.4346864392016,91.0,50.0
2017,9.51000022888184,68.2158166427496,15.6289572025388,16.1552261547116,86.0,50.0
2016,9.35000038146973,68.6712542835303,15.434669220634,15.8940764958357,42.0,19.0
2015,9.14000034332275,69.0666495939741,15.2639377205271,15.6694126854989,56.0,23.0
2014,9.27000045776367,69.3816827147435,14.9925212027825,15.625796082474,56.0,23.0
2013,7.17000007629395,69.6300060439001,14.7568849971746,15.6131089589254,79.0,76.0
2012,7.52899980545044,69.8160787679694,14.5586202396341,15.6253009923965,79.0,76.0
2011,7.85099983215332,69.9821419818972,14.3597071484944,15.6581508696084,67.0,50.0
2010,8.10000038146973,70.1665637012855,14.1259920654419,15.7074442332726,56.0,52.0
2009,8.84000015258789,70.1275486181586,14.0912560393315,15.78119534251,75.0,71.0
2008,6.36299991607666,70.0050246203799,14.0889982824694,15.9059770971507,94.0,90.0
2007,6.35099983215332,69.8201042467153,14.1507183021274,16.0291774511573,97.0,98.0
2006,6.80999994277954,69.6271160402764,14.324533692561,16.0483502671625,98.0,98.0
2005,7.17999982833862,69.4886597303196,14.6233612873765,15.8879789823038,96.0,96.0
2004,8.59000015258789,69.315355222269,14.9836565867654,15.7009881909656,99.0,99.0
2003,9.05700016021729,69.2654694762425,15.4467819560657,15.2877485676918,99.0,97.0
2002,10.1359996795654,69.2803646949933,15.9834405303422,14.7361947746645,99.0,99.0
2001,11.0609998703003,69.2446886528015,16.5501940677402,14.2051172794584,99.0,99.0
2000,11.7069997787476,69.0825097185976,17.1176417411296,13.7998485402728,99.0,99.0
1999,11.8640003204346,68.6398437419797,17.7197450435631,13.6404112144572,99.0,99.0
1998,11.3199996948242,68.0611668075777,18.3082886013963,13.630544591026,96.0,98.0
1997,8.93000030517578,67.4403388619857,18.8636657626128,13.6959953754015,97.0,99.0
1996,7.65000009536743,66.9243161516376,19.3800493174491,13.6956345309134,92.0,99.0
1995,5.61999988555908,66.6021495258162,19.8651770197442,13.5326734544396,97.0,98.0
1994,2.0,66.3662717045374,20.2410435347791,13.3926847606835,96.0,97.0
1993,2.0,66.3393100905546,20.5546222319311,13.1060676775143,94.0,93.0
1992,1.89999997615814,66.4644298711499,20.8161414455607,12.7194286832893,90.0,88.0
1991,1.89999997615814,66.6350111471203,21.0398040483763,12.3251848045034,,
1990,,66.7796686577695,21.2328113509669,11.9875199912636,,
1989,,66.8479180048093,21.4465706952658,11.7055112999249,,
1988,,66.8756766258104,21.6394349623361,11.4848884118536,,
1987,,66.8804311885581,21.7930636038578,11.3265052075841,,
1986,,66.9051867777121,21.8675034194148,11.2273098028731,,
1985,,66.9708828336617,21.8456547152331,11.1834624511052,,
1984,,66.9231633814515,21.8074366037147,11.2694000148337,,
1983,,66.8727112144316,21.6833149656673,11.4439738199011,,
1982,,66.8172556753596,21.5290618716387,11.6536824530016,,
1981,,66.7479857712394,21.448148503118,11.8038657256426,,
1980,,66.6746047512348,21.4980568537638,11.8273383950014,,
1979,,66.6293566158021,21.6339981099538,11.7366452742442,,
1978,,66.5864788450951,21.9013412551511,11.5121798997539,,
1977,,66.5680208951924,22.2396996278562,11.1922794769515,,
1976,,66.6194961328789,22.5231334768252,10.8573703902958,,
1975,,66.7633289382885,22.67649718243,10.5601738792815,,
1974,,66.7313181333041,22.9903225472238,10.2783593194722,,
1973,,66.7399439993175,23.2337109031775,10.026345097505,,
1972,,66.7364829817631,23.4723266148707,9.79119040336622,,
1971,,66.6168933030688,23.8397082661098,9.54339843082146,,
1970,,66.3285774806554,24.4068187936692,9.26460372567548,,
1969,,66.1384090104655,24.8734060798323,8.98818490970225,,
1968,,65.8138779763168,25.4692824951235,8.71683952855965,,
1967,,65.4402140466578,26.1001009308336,8.45968502250863,,
1966,,65.182026241054,26.5873428550772,8.23063090386886,,
1965,,65.1335367360788,26.8342809918261,8.03218227209515,,
1964,,65.0279068018985,27.1520386961938,7.82005450190776,,
1963,,65.1006100711045,27.256869305985,7.64252062291052,,
1962,,65.3030211260089,27.2108118831886,7.48616699080253,,
1961,,65.5051636513109,27.1710046290655,7.32383171962359,,
1960,,65.6127794034275,27.2514211530426,7.13579944352997,,
