date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,2.34800004959106,,,,,
2018,2.22900009155273,84.3114896450084,14.6035093701468,1.08500098484481,99.0,99.0
2017,2.46300005912781,84.4608995928516,14.5044224309314,1.03467797621702,99.0,97.0
2016,1.6360000371933,84.6274962664165,14.385513055257,0.986990678326415,99.0,99.0
2015,1.9099999666214,84.9027410422222,14.1638903583111,0.93336859946669,99.0,99.0
2014,2.21199989318848,85.1672016214148,13.9280944848562,0.904703893728956,99.0,99.0
2013,2.57599997520447,85.4101529586613,13.7299995325025,0.859847508836247,98.0,98.0
2012,2.5090000629425,85.6154111382739,13.5820047177758,0.802584143950356,96.0,96.0
2011,2.49600005149841,85.8338930320941,13.4240967445595,0.742010223346351,95.0,95.0
2010,2.53299999237061,86.1581092277556,13.1562991667357,0.685591605508686,94.0,94.0
2009,2.33100008964539,85.6491143778516,13.6580420877028,0.692843534445521,93.0,93.0
2008,1.9559999704361,85.0100296396622,14.2777890699285,0.712181290409306,92.0,92.0
2007,2.08100008964539,84.0634978581055,15.1891652852612,0.747336856633291,92.0,92.0
2006,2.70300006866455,82.655154340216,16.5415701446783,0.80327551510573,92.0,92.0
2005,3.11999988555908,80.7711260890649,18.3412757656828,0.887598145252249,92.0,94.0
2004,3.17600011825562,79.8433847764694,19.2448452404653,0.911769983065303,94.0,94.0
2003,2.98799991607666,78.5984764807114,20.4556818389992,0.945841680289402,94.0,94.0
2002,2.71499991416931,77.0026650170448,22.0070444296947,0.990290553260528,94.0,94.0
2001,2.41100001335144,75.0646058595963,23.8945547592756,1.04083938112809,94.0,94.0
2000,2.25,72.8641296821824,26.0432946125507,1.09257570526684,94.0,94.0
1999,2.24300003051758,72.7420858965204,26.1600170463319,1.09789705714769,96.0,94.0
1998,2.09299993515015,72.6279977278657,26.2847405138749,1.08726175825941,95.0,94.0
1997,2.03200006484985,72.3821780799457,26.5502391663878,1.06758275366648,95.0,92.0
1996,2.0,71.9885897745917,26.9582525640713,1.05315766133701,90.0,90.0
1995,1.79999995231628,71.6122794595647,27.3333913021875,1.05432923824785,90.0,90.0
1994,1.82000005245209,70.86844622851,28.0494773109134,1.08207646057658,90.0,90.0
1993,1.91799998283386,70.0890739156584,28.7976056754768,1.11332040886478,90.0,90.0
1992,1.63499999046326,69.3030950011472,29.5507165261088,1.14618847274405,85.0,86.0
1991,1.58000004291534,68.5159613102321,30.3077764120852,1.17626227768276,82.0,85.0
1990,,67.7351960586995,31.0647046212274,1.20009932007316,80.0,85.0
1989,,67.2702544676565,31.5336959727783,1.19604955956518,78.0,84.0
1988,,66.9268486957505,31.8851232832596,1.18802802098993,74.0,82.0
1987,,66.7099435552866,32.1069736869562,1.18308275775724,71.0,80.0
1986,,66.6385735422227,32.1707296837622,1.19069677401513,67.0,78.0
1985,,66.7739012300134,32.0091145718962,1.21698419809042,60.0,76.0
1984,,67.5129504447936,31.2488456078227,1.23820394738367,53.0,59.0
1983,,68.2949125693247,30.4219351235979,1.2831523070774,51.0,50.0
1982,,69.0489231683216,29.604586514836,1.34649031684246,41.0,43.0
1981,,69.7475857415125,28.8429797284358,1.4094345300517,42.0,45.0
1980,,70.4400843935659,28.1125522187641,1.44736338766995,34.0,11.0
1979,,70.919743407291,27.6180602286667,1.46219636404225,,
1978,,71.3333684417145,27.2093145726911,1.45731698559439,,
1977,,71.4547205117605,27.097657694902,1.44762179333754,,
1976,,71.1017961443562,27.4430102739833,1.45519358166045,,
1975,,70.3591640358125,28.1498665878778,1.49096937630973,,
1974,,70.2785960453609,28.3841514939534,1.33725246068572,,
1973,,69.6386940480052,29.1474922964645,1.21381365553033,,
1972,,68.3361835068616,30.5081365907896,1.15567990234883,,
1971,,66.3467533544046,32.4394261021873,1.21382054340814,,
1970,,63.7642102390476,34.7983489258637,1.43744083508874,,
1969,,63.3792207024903,35.0560790917058,1.56470020580387,,
1968,,62.7278551364256,35.5549836552098,1.71716120836459,,
1967,,61.8374162842888,36.2718014266276,1.89078228908353,,
1966,,60.7091063659549,37.20933139971,2.08156223433515,,
1965,,59.3792749087463,38.3345456001388,2.28617949111486,,
1964,,57.9857866255189,39.5011554705554,2.5130579039257,,
1963,,56.5076320626548,40.7640054343483,2.72836250299688,,
1962,,54.9670882463119,42.0842326834228,2.94867907026526,,
1961,,53.4207706655026,43.3995396642724,3.17968967022501,,
1960,,52.0028565863793,44.5627475167175,3.4343958969032,,
