date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,3.68199992179871,,,,,
2018,3.89599990844727,65.4833059619314,18.7090399824651,15.8076540556035,92.0,94.0
2017,4.35500001907349,65.7221060220984,18.8585280818274,15.4193658960742,92.0,95.0
2016,4.86899995803833,65.9429787679709,19.0233424818483,15.0336787501808,92.0,95.0
2015,5.28000020980835,66.1333886980394,19.2237265896844,14.6428847122761,92.0,95.0
2014,6.16800022125244,66.3160579782416,19.4162424175389,14.2676996042196,92.0,95.0
2013,7.375,66.4779068738499,19.6170488180396,13.9050443081105,92.0,94.0
2012,8.06900024414063,66.6153980358509,19.8231699369023,13.5614320272468,91.0,94.0
2011,8.94900035858154,66.7246048062274,20.0251330582403,13.2502621355322,92.0,96.0
2010,9.63300037384033,66.8134265887699,20.2048008087726,12.9817726024576,92.0,95.0
2009,9.25399971008301,66.8780843406327,20.3592671936831,12.7626484656842,90.0,95.0
2008,5.78399991989136,66.880046517597,20.5248388845019,12.5951145979011,92.0,96.0
2007,4.62200021743774,66.838223954126,20.6899078668217,12.4718681790523,92.0,96.0
2006,4.6230001449585,66.8015565301074,20.8175274142624,12.3809160556302,92.0,96.0
2005,5.08300018310547,66.8071542766919,20.8811342294238,12.3117114938844,92.0,96.0
2004,5.52899980545044,66.617507766885,21.0999066756788,12.2825855574362,93.0,96.0
2003,5.98899984359741,66.454148173037,21.2681712378164,12.2776805891466,93.0,96.0
2002,5.78299999237061,66.3122007272379,21.3962336126125,12.2915656601496,91.0,94.0
2001,4.73099994659424,66.1575671207519,21.5285035933618,12.3139292858862,91.0,94.0
2000,3.99200010299683,65.9633805661392,21.702880167839,12.3337392660218,91.0,94.0
1999,4.2189998626709,65.7885385345406,21.8117417042619,12.3997197611975,92.0,96.0
1998,4.51000022888184,65.6104473562473,21.9165411215449,12.4730115222078,92.0,96.0
1997,5.0,65.4481844460989,22.0060093782191,12.545806175682,91.0,96.0
1996,5.45100021362305,65.3417891962459,22.0472291496015,12.6109816541527,91.0,95.0
1995,5.65000009536743,65.3222260833584,22.0152634365607,12.6625104800809,88.0,95.0
1994,6.11899995803833,65.2831822807886,22.0247443502355,12.6920733689759,89.0,94.0
1993,6.90000009536743,65.3082293329471,21.9892262356465,12.7025444314064,84.0,88.0
1992,7.5,65.394699066304,21.910086653632,12.695214280064,83.0,83.0
1991,6.80000019073486,65.5284626500019,21.8002814260128,12.6712559239854,87.0,86.0
1990,,65.6977181477276,21.6744978683966,12.6277839838757,90.0,90.0
1989,,65.805804890688,21.6409886034805,12.5532065058315,94.0,94.0
1988,,65.9253819983634,21.6112401348277,12.4633778668089,98.0,97.0
1987,,66.047404177881,21.5916142868303,12.3609815352887,82.0,97.0
1986,,66.1630018078362,21.5867578879806,12.2502403041832,97.0,97.0
1985,,66.2677446854691,21.6005878590556,12.1316674554753,97.0,96.0
1984,,66.2544875311116,21.7290639508345,12.0164485180539,98.0,97.0
1983,,66.2045199479907,21.8895432372525,11.9059368147568,98.0,97.0
1982,,66.1096937547033,22.0915347840641,11.7987714612327,97.0,96.0
1981,,65.9627936683329,22.351369837247,11.6858364944201,97.0,96.0
1980,,65.7702971871341,22.6731609131283,11.5565418997375,86.0,96.0
1979,,65.5348359055075,23.07752106479,11.3876430297024,,
1978,,65.2379922693879,23.5451728545159,11.2168348760963,,
1977,,64.8994441556391,24.0502397861878,11.0503160581731,,
1976,,64.5628402637052,24.5468178419943,10.8903418943005,,
1975,,64.2644426929989,25.0051046129913,10.7304526940099,,
1974,,63.76105014511,25.6398850066994,10.5990648481906,,
1973,,63.2722553979145,26.2626187095934,10.4651258924921,,
1972,,62.7977640266201,26.8691392136239,10.333096759756,,
1971,,62.3265127057731,27.4745034237869,10.19898387044,,
1970,,61.8517252321417,28.0974599130659,10.0508148547925,,
1969,,61.4906708977389,28.5725953867033,9.93673371555787,,
1968,,61.1776583272788,29.0059689001698,9.81637277255134,,
1967,,60.9087414595066,29.3959954308152,9.69526310967829,,
1966,,60.6744450700698,29.7485227030028,9.5770322269274,,
1965,,60.4716182162491,30.0679155376883,9.46046624606258,,
1964,,60.2684509464271,30.3429251946364,9.38862385893657,,
1963,,60.0987066270352,30.5803566172629,9.32093675570192,,
1962,,59.990824576835,30.7525141754558,9.25666124770925,,
1961,,60.0067089784951,30.8025881521672,9.19070286933771,,
1960,,60.19319531751,30.6910806308535,9.1157240516365,,
