date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,6.09233494526546,1.9,,,,,,
2018,5.9711220035054,2.1,95.18383,69.2134044609211,20.7486467400202,10.0379487990588,94.1335647415158,93.6668380628114
2017,6.12934942717652,2.2,95.02833,69.540509924683,20.8375306993118,9.6219593760052,93.7755549432041,93.9943535811625
2016,6.10347438007139,2.4,95.01176,69.8485199170925,20.9209473558463,9.23053272706122,95.8125385978,94.4183281836553
2015,5.85408302968848,2.5,94.83118,70.1138363617621,20.9997811211421,8.8863825170957,95.7728611152166,94.996615679902
2014,5.65332379342828,2.7,94.6637,70.2977109821969,21.0918066519754,8.61048236582765,95.5456656688757,94.6799830965932
2013,5.66145865826392,2.9,94.41675,70.416603357239,21.1959862519544,8.38741039080668,95.4310846583327,94.989054752324
2012,5.67840936153988,3.1,94.37705,70.4743704940969,21.3186349324447,8.2069945734584,96.351341335385,95.6175239688302
2011,5.72874509163524,3.3,94.23171,70.4876493429753,21.4614955824546,8.05085507457006,96.3940442931431,95.8012737769235
2010,5.90140127641658,3.5,93.9115,70.4661683497067,21.6283413362938,7.90549031399941,95.8214877023232,95.8278461019606
2009,6.1530868807871,,93.83985,70.3590210549583,21.8434332205187,7.79754572452298,96.1733045982523,96.1900363376974
2008,5.64922824739597,,93.58744,70.2149184104499,22.0715782883026,7.71350330124748,95.2346028216898,94.6373126620322
2007,5.670888898631,,93.34849,70.012061894745,22.3455641760354,7.64237392921963,93.0783203547599,92.8011533754975
2006,5.91285745366342,,92.39195,69.7076970420695,22.7283796225802,7.56392333535031,92.8166160370896,92.7737345268075
2005,6.20504889411607,4.8,92.20535,69.2946710032775,23.2419601411547,7.46336885556779,88.6529526330177,89.9399879398047
2004,6.31560120946417,,91.86766,68.7672641891421,23.8647449305748,7.36799088028308,88.343466113979,89.5650133405336
2003,6.59134437827081,,91.41396,68.1072633890076,24.6498532781705,7.24288333282191,87.9246747128557,88.0730070961661
2002,6.47196907953701,,90.8555,67.395055997016,25.5074817749443,7.0974622280397,88.1009501222225,88.2865303205604
2001,6.1211119019004,,90.64937,66.7838611158235,26.2610288301711,6.95511005400545,88.7569329898921,88.2123616672013
