date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.91699981689453,,,,,
2018,5.73600006103516,66.8948047070961,28.6860574147675,4.4191378781364,96.0,98.0
2017,5.82999992370605,67.2169165092944,28.5183238873478,4.26475960335778,99.0,99.0
2016,5.15999984741211,67.4698238021159,28.388549352738,4.14162684514612,99.0,99.0
2015,5.15000009536743,67.586509564298,28.3548548723152,4.05863556338683,99.0,99.0
2014,5.09000015258789,67.5838913248592,28.3422830209093,4.07382565423145,99.0,99.0
2013,4.8600001335144,67.4175016556346,28.4391472303253,4.14335111404006,97.0,99.0
2012,4.86999988555908,67.1074700198608,28.638594596096,4.25393538404314,99.0,99.0
2011,4.96000003814697,66.730949811592,28.8876043456519,4.38144584275603,99.0,99.0
2010,5.3600001335144,66.3572113377133,29.1353398553769,4.50744880690985,98.0,99.0
2009,5.03999996185303,65.7432732454897,29.6496341803126,4.60709257419777,95.0,98.0
2008,4.8899998664856,65.0495844967793,30.2537352795177,4.69668022370304,98.0,98.0
2007,4.98999977111816,64.2844028006767,30.9461585532006,4.76943864612273,98.0,96.0
2006,5.88000011444092,63.4522097985709,31.728783596761,4.81900660466813,98.0,96.0
2005,6.87799978256226,62.5613516136367,32.5988375342334,4.83981085212993,99.0,99.0
2004,7.87099981307983,61.6343593183224,33.5213081476379,4.84433253403965,98.0,99.0
2003,8.91600036621094,60.716244035083,34.4710520184763,4.81270394644069,99.0,98.0
2002,9.93900012969971,59.8276080780077,35.4177255726271,4.75466634936516,97.0,99.0
2001,10.9250001907349,58.9634102118867,36.3495593116978,4.68703047641556,99.0,99.0
2000,12.0649995803833,58.1085795270924,37.2718238688766,4.61959660403097,99.0,99.0
1999,13.3000001907349,57.3746689390422,38.0433675261536,4.58196353480423,96.0,99.0
1998,13.3000001907349,56.7051092581324,38.7378997199785,4.55699102188907,95.0,99.0
1997,10.8999996185303,56.1212841240297,39.3421515096409,4.53656436632931,96.0,96.0
1996,10.6999998092651,55.6570813429391,39.8382617092793,4.50465694778168,95.0,95.0
1995,7.80000019073486,55.3349112058404,40.2155260583705,4.44956273578908,91.0,87.0
1994,7.30000019073486,55.1151310325722,40.4835790793798,4.40128988804811,71.0,67.0
1993,4.90000009536743,55.021771820707,40.6495799213017,4.32864825799133,82.0,45.0
1992,2.90000009536743,55.0249053584216,40.7337568506636,4.24133779091475,84.0,90.0
1991,1.89999997615814,55.0903357310819,40.7476848072313,4.16197946168686,,
1990,,55.2055048771597,40.6857163138897,4.10877880895061,,
1989,,55.1842621283666,40.6828626739302,4.13287519770316,,
1988,,55.1614602574063,40.6487396270098,4.18980011558389,,
1987,,55.1415949596808,40.5835727577024,4.27483228261689,,
1986,,55.1420754998845,40.4814907749572,4.37643372515835,,
1985,,55.1694885036966,40.3440641318746,4.4864473644288,,
1984,,55.0424466819264,40.3531924991371,4.60436081893655,,
1983,,54.9082459640612,40.3466094109187,4.74514462502003,,
1982,,54.7363576946093,40.3650148984089,4.89862740698183,,
1981,,54.4770163590843,40.4786549142932,5.04432872662253,,
1980,,54.1095508284075,40.7261460754448,5.16430309614771,,
1979,,53.581409791947,41.1022230389221,5.31636716913092,,
1978,,52.9619071882041,41.6017786545515,5.43631415724439,,
1977,,52.2993196814368,42.1734752584272,5.52720506013606,,
1976,,51.6907632216741,42.702110804437,5.60712597388893,,
1975,,51.2068141114855,43.1038678177948,5.68931807071965,,
1974,,50.5814084927141,43.6505739294975,5.76801757778841,,
1973,,50.0505410744873,44.1055744183553,5.84388450715737,,
1972,,49.6137135480402,44.4783691152131,5.90791733674664,,
1971,,49.2311257119805,44.8281247903518,5.94074949766773,,
1970,,48.8803480902033,45.1920591156672,5.92759279412949,,
1969,,48.7151306896106,45.308485010535,5.97638429985446,,
1968,,48.6432452398795,45.3522864586063,6.0044683015142,,
1967,,48.6904689642113,45.2968173312497,6.01271370453893,,
1966,,48.9440351091863,45.0385745908204,6.01739029999325,,
1965,,49.4734043236693,44.4968849061024,6.02971077022834,,
1964,,50.0947062814663,43.8781290152349,6.02716470329872,,
1963,,51.0019720209322,42.9768204285842,6.02120755048359,,
1962,,52.1341574478638,41.8606437398092,6.00519881232705,,
1961,,53.3213949870292,40.7073214898403,5.97128352313057,,
1960,,54.4264100489075,39.6543518290466,5.91923812204591,,
