date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,4.38500022888184,,,,,
2018,4.36800003051758,57.5116167828345,38.8482301489682,3.64015306819735,75.0,85.0
2017,4.44299983978271,57.4638366431999,38.8623866064236,3.67377675037652,80.0,85.0
2016,4.52199983596802,57.3994898142493,38.8959149211368,3.70459526461395,84.0,81.0
2015,4.56699991226196,57.2031866632243,39.0720318666322,3.72478147014347,76.0,80.0
2014,4.60400009155273,57.550551749227,38.7114988176802,3.73794943309283,90.0,86.0
2013,4.65700006484985,57.7497223683441,38.491632084478,3.7586455471779,84.0,84.0
2012,4.64099979400635,57.7529368855186,38.4490519000076,3.79801121447381,79.0,82.0
2011,4.62799978256226,57.7145141415931,38.4293620931948,3.85612376521205,75.0,79.0
2010,4.625,57.8804543395523,38.2154091045718,3.90413655587589,70.0,77.0
2009,4.56500005722046,57.8652490586197,38.3687952503181,3.76595569106221,65.0,75.0
2008,4.32000017166138,57.8845948447736,38.5039874679578,3.61141768726858,61.0,73.0
2007,4.35599994659424,57.8369905956113,38.692407231902,3.4706021724867,56.0,70.0
2006,4.46400022506714,57.5789522787703,39.0642347343378,3.35681298689182,52.0,68.0
2005,4.59000015258789,57.0550740149655,39.6756529467417,3.26927303829283,53.0,68.0
2004,4.65100002288818,56.7499644828955,39.987360809692,3.26267470741254,55.0,69.0
2003,4.69899988174438,56.3945335471127,40.3449957026322,3.26047075025508,56.0,69.0
2002,4.69399976730347,55.9947400990099,40.7415429042904,3.26371699669967,58.0,70.0
2001,4.64099979400635,55.5847985667401,41.1401603433059,3.27504108995397,59.0,70.0
2000,4.64400005340576,55.2067339921718,41.500335185866,3.29293082196224,61.0,71.0
1999,4.66300010681152,54.9350398587703,41.7256502910104,3.33930985021929,62.0,71.0
1998,4.61600017547607,54.6376982588616,41.9845269598341,3.37777478130425,64.0,72.0
1997,4.61999988555908,54.3290971352782,42.2602203280338,3.41068253668799,65.0,72.0
1996,4.63199996948242,54.043162786364,42.5222161400403,3.43462107359569,61.0,67.0
1995,4.61800003051758,53.8112965187502,42.7419450754647,3.44675840578504,60.0,73.0
1994,4.61399984359741,53.5499515624905,42.9875281028947,3.46252033461485,53.0,74.0
1993,4.59600019454956,53.3234425080128,43.1865985576923,3.48995893429487,74.0,86.0
1992,4.50299978256226,53.1062705419862,43.3795192369659,3.51421022104788,66.0,77.0
1991,4.45699977874756,52.86631810823,43.5972292258287,3.53645266594124,63.0,83.0
1990,,52.5894946545407,43.8580093195882,3.55249602587107,66.0,76.0
1989,,52.6464697396249,43.8519825762987,3.50154768407636,50.0,61.0
1988,,52.6748734881384,43.8725191113663,3.45260740049528,46.0,58.0
1987,,52.6436849183195,43.9531448643802,3.40317021730025,34.0,56.0
1986,,52.5410729726681,44.1024098650325,3.35651716229934,22.0,31.0
1985,,52.386447562777,44.3031450024618,3.3104074347612,26.0,30.0
1984,,52.4994293540288,44.2537918440916,3.24677880187959,18.0,28.0
1983,,52.5887818113019,44.2230434187539,3.18817476994421,23.0,27.0
1982,,52.6290209646196,44.246468141192,3.12451089418839,20.0,22.0
1981,,52.6037404779781,44.3374022490109,3.05885727301103,,
1980,,52.4987672690468,44.5063453203803,2.99488741057294,,
1979,,52.4251659277293,44.5868021928227,2.98803187944806,,
1978,,52.3376445317856,44.6798592386088,2.98249622960559,,
1977,,52.2354048964218,44.7937853107345,2.97080979284369,,
1976,,52.1416228180883,44.8983554356057,2.96002174630604,,
1975,,52.0904475310187,44.9734125116414,2.93613995733985,,
1974,,51.9829706326079,45.0730568127803,2.94397255461178,,
1973,,51.9067276819525,45.1395777998229,2.95369451822458,,
1972,,51.84067658492,45.1915559030493,2.96776751203075,,
1971,,51.7747983183729,45.2459947733212,2.97920690830587,,
1970,,51.7270459257177,45.2873724773651,2.9855815969172,,
1969,,51.6213054855475,45.5111121830043,2.86758233144814,,
1968,,51.5206367705221,45.7294469171926,2.74991631228536,,
1967,,51.4477891438108,45.9241519000242,2.62805895616505,,
1966,,51.4117416061261,46.0684599777472,2.51979841612671,,
1965,,51.416453480544,46.1734213006598,2.41012521879628,,
1964,,51.2916868889967,46.2830201761076,2.42529293489565,,
1963,,51.2323792640037,46.332885368713,2.43473536728333,,
1962,,51.2154467947016,46.3389090479983,2.44564415730006,,
1961,,51.238109732897,46.3069781599574,2.45491210714558,,
1960,,51.327544787954,46.2199123867544,2.45254282529165,,
