date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,2.01300001144409,,,,,
2018,1.99300003051758,69.5523448704195,23.1726768317012,7.2749782978793,97.0,75.0
2017,2.05299997329712,69.8714209653194,23.0975510865422,7.03102794813837,97.0,94.0
2016,2.08299994468689,70.1383404701017,23.0369679453175,6.82469158458086,99.0,96.0
2015,2.125,70.3118125996983,23.029828865123,6.65835853517865,97.0,97.0
2014,1.87300002574921,70.4290501473671,23.0214928938539,6.54945695877901,97.0,95.0
2013,1.97699999809265,70.4615720507465,23.0453274546693,6.49310049458422,98.0,59.0
2012,1.67599999904633,70.390341071304,23.1322978529436,6.47736107575243,96.0,97.0
2011,1.875,70.1955128861508,23.3230911908873,6.48139592296192,96.0,95.0
2010,1.1139999628067,69.8828413640373,23.6271638082049,6.48999482775776,98.0,93.0
2009,1.73699998855591,69.374528287545,24.1210745130348,6.50439719942022,97.0,96.0
2008,1.79100000858307,68.6888875791592,24.7937172894584,6.51739513138238,92.0,93.0
2007,2.02600002288818,67.8845371666554,25.5888453036494,6.52661752969527,83.0,92.0
2006,2.07999992370605,67.0802873730435,26.3843713726492,6.53534125430732,93.0,94.0
2005,2.13700008392334,66.353341688629,27.1021899209426,6.5444683904284,95.0,95.0
2004,2.14000010490417,65.4531694751855,28.0006634978121,6.54616702700237,97.0,96.0
2003,2.25,64.6239475424407,28.8316361459361,6.54441631162318,93.0,99.0
2002,2.11999988555908,63.8376581312476,29.6296850481785,6.53265682057392,96.0,75.0
2001,2.75999999046326,62.9899304949677,30.5147639782613,6.49530552677098,98.0,96.0
2000,2.25999999046326,62.0069322130388,31.5736627662488,6.41940502071245,97.0,96.0
1999,2.32999992370605,61.2324219214336,32.4218100917747,6.34576798679172,94.0,93.0
1998,2.28999996185303,60.4468243327751,33.3065141442099,6.24666152301502,96.0,94.0
1997,2.86999988555908,59.6974644411939,34.1690066227501,6.133528936056,96.0,95.0
1996,1.92999994754791,59.0672189758677,34.9035555905006,6.02922543363179,96.0,94.0
1995,1.9210000038147,58.60453321733,35.44687970883,5.94858707384006,95.0,93.0
1994,1.91799998283386,58.1513641770323,35.9677717753425,5.88086404762512,96.0,94.0
1993,1.90799999237061,57.7991147700228,36.3628146646346,5.83807056534254,93.0,91.0
1992,1.85399997234344,57.516231461601,36.6726360405466,5.81113249785236,90.0,88.0
1991,1.82700002193451,57.2565049440389,36.9598484979626,5.7836465579985,88.0,88.0
1990,,56.9984418918499,37.2571878023197,5.74437030583039,88.0,88.0
1989,,56.6988945523467,37.596625129823,5.70448031783029,76.0,88.0
1988,,56.3846705640298,37.9589455777471,5.65638385822307,56.0,70.0
1987,,56.063959840992,38.3335809447155,5.60245921429246,36.0,50.0
1986,,55.7597991686371,38.690093289457,5.5501075419059,39.0,43.0
1985,,55.48715012094,39.0090724260835,5.50377745297649,19.0,42.0
1984,,55.1552637937174,39.377250394576,5.46748581170659,4.0,5.0
1983,,54.8377234352721,39.7209611190571,5.44131544567085,3.0,4.0
1982,,54.5250856360016,40.0561154438813,5.41879892011706,1.0,
1981,,54.1905224057222,40.4221307054689,5.38734688880891,,
1980,,53.8193708445361,40.8434543659403,5.33717478952356,,
1979,,53.5299493319648,41.1922816376136,5.27776903042161,,
1978,,53.2270771491723,41.5714250934126,5.20149775741515,,
1977,,52.9291308759324,41.957594283827,5.11327484024057,,
1976,,52.6694636378679,42.3058405092493,5.02469585288279,,
1975,,52.4722111488996,42.5843620747068,4.94342677639351,,
1974,,52.0387415545668,42.9201297145693,5.04112873086392,,
1973,,51.6455182306489,43.2083474372378,5.14613433211329,,
1972,,51.3038755915428,43.4463574513652,5.24976695709203,,
1971,,51.028176738014,43.6368733187086,5.3349499432774,,
1970,,50.8371045566327,43.7762576128401,5.38663783052715,,
1969,,50.6928664013403,43.9678062897459,5.33932730891372,,
1968,,50.6450916976159,44.0882796335285,5.26662866885563,,
1967,,50.7189812938145,44.1073040096775,5.17371469650798,,
1966,,50.9412945946368,43.9840723025959,5.07463310276737,,
1965,,51.3212951938367,43.6998505320446,4.97885427411869,,
1964,,51.8043951007176,43.2808739336834,4.91473096559899,,
1963,,52.4708886598125,42.663784383382,4.86532695680553,,
1962,,53.2918666265976,41.8833882150044,4.82474515839808,,
1961,,54.1980407002769,41.0217456070808,4.78021369264224,,
1960,,55.143659302029,40.1341822701834,4.72215842778761,,
