date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,26.1690006256104,,,,,
2018,26.2560005187988,57.9193329849872,38.9473612779327,3.13330573708009,,
2017,25.6770000457764,57.6431883286811,39.2627316957879,3.09407997553098,,
2016,23.9389991760254,57.3576457604472,39.5869924718281,3.05536176772468,,
2015,23.0049991607666,57.0805750992567,39.9030859102978,3.01633899044548,,
2014,20.5259990692139,56.7134056309399,40.314349397185,2.97224497187511,,
2013,19.8939990997314,56.3069816405728,40.7721615876967,2.92085677173053,,
2012,19.2019996643066,55.8685657420019,41.267190261726,2.86424399627214,,
2011,17.5970001220703,55.4124216289137,41.7802565951964,2.80732177588996,,
2010,21.4160003662109,54.9525338966982,42.2936899338229,2.75377616947893,,
2009,20.4519996643066,54.3821238253821,42.9138103985426,2.70406577607532,,
2008,22.9130001068115,53.7857311951552,43.5545193157118,2.65974948913301,,
2007,18.2819995880127,53.171949122312,44.2096015929891,2.61844928469889,,
2006,19.0139999389648,52.5575698267431,44.8682593103689,2.574170862888,,
2005,20.0160007476807,51.9563796251552,45.5200881172265,2.52353225761824,,
2004,23.2150001525879,51.4387689807758,46.0810601476668,2.48017087155734,,
2003,23.003999710083,50.9759970248688,46.5923271249744,2.43167585015682,,
2002,27.4650001525879,50.5858591476627,47.0339013136641,2.38023953867327,,
2001,21.4930000305176,50.2464417461502,47.4254586982728,2.32809955557704,,
2000,10.625,49.9187810929456,47.805972885261,2.2752460217934,,
1999,10.6440000534058,49.6445357874574,48.1235079477823,2.23195626476026,,
1998,10.5950002670288,49.4552125893982,48.3478414461011,2.19694596450067,,
1997,10.5989999771118,49.3262200705709,48.5050170508,2.16876287862908,,
1996,10.6110000610352,49.2662984424612,48.5862334514237,2.14746810611508,,
1995,10.5959997177124,49.3042646108632,48.5622461495692,2.1334892395676,,
1994,10.5909996032715,49.2856654672162,48.5915749093018,2.12275962348205,,
1993,10.5729999542236,49.2866927936653,48.5932066458253,2.12010056050943,,
1992,10.4759998321533,49.300464841397,48.5767128185894,2.12282234001352,,
1991,10.4270000457764,49.3217258587623,48.5512108158733,2.12706332536438,,
1990,,49.3527314049469,48.5188294155548,2.12843917949831,,
1989,,,,,,
1988,,,,,,
1987,,,,,,
1986,,,,,,
1985,,,,,,
1984,,,,,,
1983,,,,,,
1982,,,,,,
1981,,,,,,
1980,,,,,,
1979,,,,,,
1978,,,,,,
1977,,,,,,
1976,,,,,,
1975,,,,,,
1974,,,,,,
1973,,,,,,
1972,,,,,,
1971,,,,,,
1970,,,,,,
1969,,,,,,
1968,,,,,,
1967,,,,,,
1966,,,,,,
1965,,,,,,
1964,,,,,,
1963,,,,,,
1962,,,,,,
1961,,,,,,
1960,,,,,,
