date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,5.39434585757375,13.0,,,,,,
2018,5.39188896800973,13.3,86.30101,65.3311815119975,25.7953762440249,8.87344224397751,86.0449556338851,85.8697324787481
2017,5.56970135252954,13.6,86.12593,65.4192844339781,25.9348740321085,8.64584153391338,86.1025990931101,86.3992397976367
2016,5.66969437894162,13.9,85.89491,65.4993481400991,26.0737644010439,8.42688745885706,86.2407747850694,86.5265281330723
2015,5.63749003872706,14.3,85.59638,65.5616104012185,26.2154512173667,8.2229383814148,85.1571524308127,85.2557801069151
2014,5.63292182133044,14.7,85.28372,65.5760726019014,26.369229194905,8.05469820319356,84.4197908183843,84.5055648816116
2013,5.77322338218318,15.1,84.90292,65.5627112560346,26.5289937427067,7.90829500125871,84.3394994648321,84.1040893869705
2012,5.774086013327,15.5,84.72603,65.5252449697234,26.6938117367246,7.780943293552,84.4709597565422,84.6164852184709
2011,5.80358945279496,16.0,84.37161,65.4740712306852,26.8579621940905,7.66796657522427,84.8867283958345,84.9077221191764
2010,5.92220198758214,16.4,84.1044,65.4177385583077,27.0150307111871,7.56723073050512,84.3530540810717,83.748273255405
2009,6.00315178677526,,83.72041,65.2979045887085,27.2087693453797,7.49332606591178,83.5261363781797,83.2457549640424
2008,5.35253612423167,,83.4106,65.1588245817349,27.4063901474003,7.43478527086474,81.1246015218864,81.312641904418
2007,5.35351302155664,,83.00002,64.9952263313194,27.6212417362345,7.38353193244616,79.574060770367,78.7971165849106
2006,5.5940575230241,,82.41247,64.7970393219736,27.8752186946954,7.32774198333097,78.9402334439885,78.4967678774892
2005,5.90129841962123,18.7,82.41015,64.5651946206614,28.177024956044,7.25778042329461,77.235279490002,77.3318150578436
2004,6.01597236206962,,82.4534,64.2575672186704,28.5398652038646,7.20256757746503,75.9157901669338,76.5576838882342
2003,6.18853372134138,,81.94162,63.9063639497627,28.9629492800425,7.13068677019482,74.1018458678841,74.6278350854168
2002,6.11316280139046,,81.41222,63.5414568608208,29.412780120479,7.04576301870017,72.5517869224833,73.038153602503
2001,5.85395422135779,,81.01632,63.2175840472756,29.8239501347606,6.95846581796385,73.1081394719306,73.4278850574764
2000,5.77399842998654,20.8,80.77862,62.9680933664887,30.1575480186416,6.87435861486964,72.409939453934,72.8202162606752
1999,5.94183100824942,,80.55516,62.641514658842,30.5522130941279,6.8062722470301,71.8618699855108,72.1255091512524
1998,5.82797292800657,,80.20788,62.3824998884322,30.873173559052,6.74432655251577,71.2413021534229,72.1866805264539
1997,5.6900785458556,,78.9946,62.1746591247137,31.141644006186,6.68369686910032,71.5386408799782,71.8603852955419
1996,5.65524208648279,,76.95826,61.9636357169521,31.4226402699685,6.61372401307939,73.1837422340884,72.3321205836172
1995,5.57637943703884,22.8,76.53679,61.7086368082062,31.7653437350687,6.52601945672503,73.7766314308318,73.4942044776684
1994,5.4301566728668,,76.14729,61.5138974849264,32.0211323816857,6.46497013338796,71.9337303534838,73.175835268409
1993,5.2107139748513,,75.74469,61.3236460743204,32.2827879971717,6.39356592850793,70.4169891234868,70.9322671121185
1992,4.90035241236637,,75.33718,61.1499146793567,32.5348934214863,6.31519189915707,69.8140776338114,70.9471018367407
1991,4.75772449340522,,74.9117,61.0279333458449,32.7368329736876,6.23523368046749,69.773866963563,72.8338540540698
1990,,24.8,74.37037,60.9813987364363,32.8565710440912,6.16203021947256,73.6250807757063,76.8288893867933
1989,,,74.03584,60.8253241293607,33.0652039379998,6.10947193263948,68.3659999161924,69.6696702405562
1988,,,73.49045,60.6779809240533,33.2614887937032,6.06053028224349,62.7133244969336,64.486168157148
1987,,,71.67884,60.5350122844407,33.448847792924,6.01613992263527,52.8500474668981,55.2377283678765
1986,,,70.98042,60.3938079932478,33.6303771919026,5.97581481484959,45.4090919357373,51.012271928103
1985,,,70.41401,60.2611411238832,33.800046731315,5.93881214480181,45.4351838996536,47.7789549269737
1984,,,69.80885,59.9778594937745,34.091959844574,5.9301806616514,50.5843248622328,43.4724239943629
1983,,,69.14501,59.6810984496916,34.3869399222362,5.93196162807218,48.64396022496,38.4436440095784
1982,,,68.46584,59.3794849369658,34.6843049224562,5.936210140578,,
1981,,,67.82748,59.0770990846316,34.9953902165825,5.92751069878593,,
1980,,,67.13516,58.7765510479841,35.3305517326345,5.89289721938135,,
1979,,,66.73041,58.4579258991265,35.6815903532606,5.8604837476129,,
1978,,,66.11704,58.1633453318653,36.0297722979276,5.80688237020713,,
1977,,,65.50241,57.9086875684695,36.3548818599001,5.73643057163049,,
1976,,,65.19396,57.7095294247865,36.6318936414065,5.65857693380703,,
1975,,,,57.5763321956178,36.8444155423103,5.57925226207185,,
1974,,,,57.3966395454579,37.0736603446429,5.52970010989921,,
1973,,,,57.2756283832226,37.2448248751641,5.47954674161327,,
1972,,,,57.2064214110754,37.3661029661639,5.42747562276073,,
1971,,,,57.1656682137538,37.4655675880002,5.36876419824599,,
1970,,,,57.1557074804284,37.5422700944545,5.30202242511713,,
