date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,12.9099998474121,,,,,,,
2018,13.0019998550415,,,57.5088399699032,39.6148902740523,2.87626975604452,64.0,65.0
2017,13.1520004272461,,,57.1469676163513,40.0013953746205,2.85163700902815,65.0,68.0
2016,13.3070001602173,,,56.8101547220192,40.3641933247861,2.8256519531947,70.0,71.0
2015,13.3950004577637,,,56.512237635232,40.6918490752226,2.79591328954544,67.0,69.0
2014,13.4670000076294,,,56.1576681071513,41.0695690376415,2.77276285520719,67.0,73.0
2013,13.423999786377,39.9,,55.8309426343998,41.4220378175479,2.74701954805222,70.0,73.0
2012,13.2480001449585,,,55.5032207096275,41.7778107935144,2.71896849685807,63.0,67.0
2011,13.0799999237061,35.5,,55.1230557249227,42.1865037314994,2.69044054357796,66.0,69.0
2010,12.9320001602173,,,54.6638016087771,42.6731111034813,2.6630872877416,68.0,76.0
2009,12.6809997558594,,,54.0771373475227,43.2661217615913,2.65674089088604,65.0,76.0
2008,12.1009998321533,,,53.3856982316855,43.9589567875164,2.65534498079814,69.0,78.0
2007,12.0319995880127,,,52.6322946324718,44.7100965275955,2.65760883993269,71.0,79.0
2006,12.0880002975464,,,51.9080759599231,45.4303210718126,2.66160296826425,65.0,78.0
2005,12.1669998168945,36.7,,51.2770143582398,46.0576198554473,2.6653657863129,73.0,79.0
2004,12.1300001144409,,54.1,50.5735641653384,46.7361729710875,2.69026286357417,74.0,72.0
2003,12.0690002441406,45.3,,49.9572662628391,47.3257045035554,2.71702923360548,64.0,61.0
2002,11.9209995269775,,,49.4119804978299,47.8439863257306,2.74403317643957,62.0,65.0
2001,11.6999998092651,,,48.8704805955318,48.361706724154,2.76781268031422,72.0,73.0
2000,11.5670003890991,,,48.284291086854,48.9307184208325,2.78499049231343,70.0,74.0
1999,11.460000038147,,,47.7949222006141,49.36690764912,2.8381701502658,74.0,71.0
1998,10.7410001754761,,,47.33358824241,49.7758704851155,2.8905412724745,66.0,68.0
1997,10.1190004348755,43.0,,46.9391827621856,50.1183174312336,2.94249980658086,41.0,40.0
1996,9.52499961853027,34.2,,46.6842981771478,50.3195107928142,2.996191030038,43.0,47.0
1995,8.91699981689453,,,46.6200439003669,50.3274556998226,3.05250039981051,40.0,44.0
1994,8.34000015258789,,37.09,46.3313421618,50.7430715882434,2.92558624995655,31.0,33.0
1993,8.31999969482422,,,46.1526252310754,51.0360804795279,2.81129428939666,51.0,54.0
1992,8.21500015258789,,,46.0551460129974,51.2366958709387,2.70815811606392,46.0,50.0
1991,8.16100025177002,29.9,,45.9838398637504,51.4017741976914,2.61438593855825,53.0,47.0
1990,,,,45.8958515175884,51.5742409068904,2.52990757552118,69.0,84.0
1989,,,,45.9926230499348,51.4209668861258,2.58641006393947,48.0,56.0
1988,,,,46.0908079891438,51.2698141118579,2.63937789899824,34.0,36.0
1987,,,,46.204380276269,51.1073050170397,2.6883147066913,22.0,18.0
1986,,,,46.3655916055241,50.9009206115736,2.73348778290229,15.0,13.0
1985,,,,46.6009867140958,50.6244087681222,2.77460451778201,13.0,12.0
1984,,,,46.6989663830266,50.4651211255645,2.83591249140896,8.0,7.0
1983,,,,46.8251296315296,50.2817111023669,2.89315926610346,6.0,5.0
1982,,,,46.9828211442697,50.0722639363445,2.94491491938576,4.0,4.0
1981,,,,47.1706809233823,49.840146454468,2.98917262214966,4.0,3.0
1980,,,,47.3917947573741,49.5843562835987,3.02384895902718,2.0,1.0
1979,,,,47.5275806309874,49.3860250487177,3.08639432029492,,
1978,,,,47.6917270983435,49.1673363313811,3.14093657027541,,
1977,,,,47.901499928608,48.9113659554166,3.18713411597544,,
1976,,,,48.1801295389843,48.5945130706474,3.22535739036826,,
1975,,,,48.5525436294483,48.191923144666,3.25553322588561,,
1974,,,,49.0826620034181,47.6066135153263,3.31072448125558,,
1973,,,,49.6382454141142,47.0091293154582,3.35262527042759,,
1972,,,,50.2332341351497,46.385238634276,3.38152723057428,,
1971,,,,50.9023403252435,45.6986995190263,3.39896015573023,,
1970,,,,51.6748194524996,44.9191427497472,3.40603779775322,,
1969,,,,52.1063926974341,44.4329251841264,3.46068211843954,,
1968,,,,52.5980314076388,43.8968505054773,3.50511808688385,,
1967,,,,53.121901381106,43.3403454440633,3.53775317483074,,
1966,,,,53.626849066073,42.8172840665123,3.55586686741467,,
1965,,,,54.0961190526613,42.346009803848,3.5578711434907,,
1964,,,,54.1106711450676,42.2793758575808,3.60995299735164,,
1963,,,,54.0557223392167,42.2977141740358,3.64656348674751,,
1962,,,,53.9930331947243,42.336377177218,3.67058962805766,,
1961,,,,54.0423427546191,42.2688259451634,3.68883130021754,,
1960,,,,54.2878321391516,42.0064511213268,3.70571673952163,,
