date,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Prevalence of underweight, weight for age (% of children under 5)","Literacy rate, adult total (% of people ages 15 and above)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,11.4250001907349,,,,,,,
2018,11.5,11.8,86.74796,52.9641808172429,44.9361411568244,2.09967802593266,94.0,90.0
2017,11.6260004043579,,,52.5038242573589,45.4113688120858,2.08480693055531,96.0,94.0
2016,10.8819999694824,,,52.0909700137954,45.8383246377386,2.07070534846608,93.0,91.0
2015,10.1049995422363,,,51.7587640963638,46.1845158630753,2.05672004056083,90.0,90.0
2014,9.34000015258789,,,51.4266819777,46.5091467492929,2.06417127300713,85.0,86.0
2013,8.61800003051758,14.9,,51.1662780078228,46.7624923759981,2.07122961617907,80.0,79.0
2012,7.84999990463257,,,50.9649329595614,46.9578815290543,2.07718551138426,82.0,78.0
2011,10.3430004119873,,,50.79182694567,47.1270151334185,2.08115792091151,83.0,81.0
2010,13.1899995803833,,83.00767,50.6283852751848,47.2891119084074,2.08250281640784,96.0,83.0
2009,10.5059995651245,,,50.5870653346893,47.2897636566668,2.12317100864395,90.0,94.0
2008,7.92999982833862,,,50.5666406974183,47.2737425993479,2.15961670323376,87.0,87.0
2007,10.1829996109009,14.9,61.42829,50.5735282802678,47.2350622948585,2.1914094248737,93.0,80.0
2006,12.8529996871948,,,50.6271730578369,47.1545028000954,2.21832414206777,85.0,81.0
2005,15.8999996185303,,,50.7449279691963,47.0149786859198,2.24009334488392,85.0,82.0
2004,15.3800001144409,,,50.7839564242403,46.9301446620889,2.28589891367077,85.0,83.0
2003,14.8360004425049,,,50.8511032009881,46.8244144864993,2.3244823125126,84.0,83.0
2002,14.2069997787476,23.2,69.14922,50.9434911533292,46.7011851766244,2.35532367004633,84.0,84.0
2001,13.5150003433228,,,51.0587491265824,46.5631512637305,2.37809960968718,84.0,85.0
2000,12.9300003051758,,,51.198009513108,46.4095909117791,2.39239957511292,85.0,85.0
1999,12.5100002288818,19.6,68.00179,51.0610507643512,46.514566600408,2.42438263524079,85.0,84.0
1998,12.0,,,50.9353896973955,46.6152149967222,2.44939530588226,86.0,84.0
1997,13.5930004119873,,,50.8274300401277,46.7055075904843,2.46706236938804,86.0,83.0
1996,15.3000001907349,19.6,,50.7424355706956,46.7804700626881,2.47709436661626,86.0,84.0
1995,16.7029991149902,,,50.6894823531455,46.8313625069215,2.47915513993294,86.0,86.0
1994,18.1860008239746,,,50.5350100453903,46.9622446655708,2.50274528903891,96.0,90.0
1993,19.7000007629395,,,50.3884948234191,47.0914987906178,2.52000638596308,91.0,86.0
1992,19.2439994812012,21.2,,50.2673715799387,47.2017182586397,2.5309101614216,85.0,83.0
1991,18.8999996185303,,,50.199535423813,47.26485499092,2.53560958526705,80.0,79.0
1990,,,64.99826,50.2023368622886,47.2638952225656,2.53376791514581,90.0,91.0
1989,,,,49.9504552630014,47.5141380564832,2.53540668051541,80.0,83.0
1988,,,,49.7504762594141,47.7137771402062,2.53574660037969,80.0,83.0
1987,,,,49.6030768074759,47.8627969125046,2.53412628001948,80.0,83.0
1986,,,,49.5051678550726,47.9652982963827,2.52953384854475,58.0,66.0
1985,,,,49.4532473589692,48.0258333310463,2.52091930998452,58.0,66.0
1984,,,,49.2539625220472,48.2194689578813,2.52656852007151,57.0,59.0
1983,,,,49.1076249676793,48.360222502112,2.53215253020866,56.0,49.0
1982,,,,49.0102721667754,48.4532061340623,2.53652169916232,,
1981,,,,48.9534571485852,48.5080670598606,2.53847579155414,,
1980,,,,48.9371948067483,48.5261264648208,2.53667872843087,,
1979,,,,48.8809946148778,48.57196755596,2.54703782916226,,
1978,,,,48.8354252228587,48.6098325208265,2.55474225631471,,
1977,,,,48.8153109910302,48.6255443922211,2.55914461674863,,
1976,,,,48.8592701135948,48.5800505904468,2.56067929595842,,
1975,,,,49.0005124125,48.4400953779098,2.55939220959027,,
1974,,,,49.0066385922267,48.4276765094615,2.56568489831177,,
1973,,,,49.0748225042028,48.3547517440025,2.57042575179466,,
1972,,,,49.1978816767999,48.2297599690473,2.57235835415279,,
1971,,,,49.348887670563,48.0822712598374,2.56884106959954,,
1970,,,,49.5094479222276,47.9329477129704,2.557604364802,,
1969,,,,49.6034594412889,47.8350808504748,2.56145970823632,,
1968,,,,49.7139738169555,47.7247024143682,2.56132376867629,,
1967,,,,49.8568014254294,47.5861357133322,2.55706286123838,,
1966,,,,50.0603347949663,47.3902043887011,2.54946081633263,,
1965,,,,50.3489742509657,47.1127282056338,2.53829754340052,,
1964,,,,50.532034847409,46.9234494095512,2.54451574303977,,
1963,,,,50.7484589762698,46.7041496334637,2.54739139026649,,
1962,,,,50.9993099535369,46.4533451919096,2.54734485455354,,
1961,,,,51.2950454898969,46.1584746718815,2.54647983822163,,
1960,,,,51.6476942635998,45.805197122812,2.54710861358823,,
